CLOUDFLARENET	CLOUDFLARENET (AS13335)	14763
dnspod.net	Shenzhen Tencent Computer Systems Company Limited (AS45090)	43
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	7215
Host Europe GmbH	COGENT-174 (AS174)	6
AMAZON-02	AMAZON-02 (AS16509)	2677
Host Europe GmbH	AMAZON-02 (AS16509)	65432
LEASEWEB-USA-SFO	LeaseWeb Netherlands B.V. (AS60781)	67
cargo.site	AMAZON-AES (AS14618)	193
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	1236
nic.ru	Jsc ru-center (AS48287)	108
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	1051
IONOS SE	IONOS SE (AS8560)	6504
Unit D,E,F,G 28th Floor	Unit D,E,F,G 28th Floor (AS55547)	166
rzone.de	IONOS SE (AS8560)	110
Signet B.V.	Signet B.V. (AS20857)	1958
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	572
Hangzhou Alibaba Advertising Co.,Ltd.	Hangzhou Alibaba Advertising Co.,Ltd. (AS37963)	393
Host Europe GmbH	IT7NET (AS25820)	645
AMAZON-02	Hetzner Online GmbH (AS24940)	42
vsol-reg.com	Seflow s.r.l. (AS49367)	2
SECURITYSERVICES	EVERY DAY TECHNOLOGY CO. LIMITED (AS136251)	941
NSONE	AMAZON-02 (AS16509)	697
Safenames Ltd.	Safenames Ltd. (AS60819)	300
Hangzhou Alibaba Advertising Co.,Ltd.	UNIFIEDLAYER-AS-1 (AS46606)	2
Host Europe GmbH	ASN-CXA-ALL-CCI-22773-RDC (AS22773)	12
sedoparking.com	SEDO GmbH (AS47846)	1431
co.uk	IONOS SE (AS8560)	813
ipcom GmbH	AMAZON-02 (AS16509)	986
Host Europe GmbH	Host Europe GmbH (AS21499)	552
CLOUDFLARENET	DREAMHOST-AS (AS26347)	1248
prodns.de	IPB Internet Provider in Berlin GmbH (AS20647)	15
max1.bg	Vivacom Bulgaria EAD (AS8866)	1
AMAZON-02	ENDOFFICE (AS64249)	2
NUCDN	Datacenter Luxembourg S.A. (AS24611)	248
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	1025
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	3738
hyp.net	Domeneshop AS (AS12996)	244
GMO Internet Group, Inc.	GMO Internet Group, Inc. (AS7506)	494
AMAZON-02	Team Internet AG (AS61969)	74
domainers.de	Miss Hosting AB (AS200719)	1
perf1.com	Nameshield SAS (AS20756)	288
Hetzner Online GmbH	dogado GmbH (AS8648)	83
ipcom GmbH	Metaregistrar B.V. (AS42585)	381
anydns.com	TP (AS399522)	48
GOOGLE	Wix.com Ltd. (AS58182)	3496
CLOUDFLARENET	LeaseWeb Netherlands B.V. (AS60781)	26
MIDATL-3	MIDATL-3 (AS29914)	5
co.za	Web-Africa-Networks-AS (AS328453)	12
name-services.com	AMAZON-02 (AS16509)	1205
markmonitor.com	AMAZON-02 (AS16509)	1629
dodns.net	Contabo GmbH (AS51167)	1
meteonews.ch	MeteoNews AG (AS44238)	2
NSONE	SOFTLAYER (AS36351)	488
ipcom GmbH	AS-VULTR (AS20473)	61
NUCDN	Team Internet AG (AS61969)	121
OVH SAS	AMAZON-02 (AS16509)	51
