CLOUDFLARENET	CLOUDFLARENET (AS13335)	7728
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	604
glipac.ch	Bluewin (AS3303)	10
plusserver.com	Nawork Internet Informationssysteme GmbH (AS9211)	1
GANDI SAS	GANDI SAS (AS29169)	1351
Host Europe GmbH	AMAZON-02 (AS16509)	9455
hinoki.tw	Data Communication Business Group (AS3462)	1
net.tw	CLOUDFLARENET (AS13335)	7
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	29
NSS INTL CO., LTD.	NSS INTL CO., LTD. (AS131626)	202
ix1000.com	Data Communication Business Group (AS3462)	88
com.tw	Akamai Connected Cloud (AS63949)	33
combell.net	Combell NV (AS34762)	20
SECURITYSERVICES	CSC (AS19574)	1361
GANDI SAS	AMAZON-02 (AS16509)	68
net.tw	Digital United Inc. (AS4780)	32
AMAZON-02	Team Internet AG (AS206834)	143
CLOUDFLARENET	INCAPSULA (AS19551)	373
GANDI SAS	Infomaniak Network SA (AS29222)	4
com.tw	GOOGLE-CLOUD-PLATFORM (AS396982)	164
Safenames Ltd.	Safenames Ltd. (AS60819)	227
GOOGLE-CLOUD-PLATFORM	Taiwan Internet Gateway (AS10126)	4
sedoparking.com	SEDO GmbH (AS47846)	166
CLOUDFLARENET	AMAZON-02 (AS16509)	1009
GANDI SAS	CLOUDFLARENET (AS13335)	28
Data Communication Business Group	Data Communication Business Group (AS3462)	1798
co.uk	AMAZON-02 (AS16509)	204
CLOUDFLARENET	Scloud Pte Ltd (AS142002)	1
com.tw	Data Communication Business Group (AS3462)	398
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	438
OVH SAS	OVH SAS (AS16276)	364
ipcom GmbH	Akamai Connected Cloud (AS63949)	14
IONOS SE	united-domains GmbH (AS202108)	422
Host Europe GmbH	SQUARESPACE (AS53831)	37
Host Europe GmbH	National Chiao Tung University (AS9916)	2
AMAZON-02	AFFINITY-INTER (AS18447)	1
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	159
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	201
AMAZON-02	A2HOSTING (AS55293)	201
Yuan-Jhen Info., Co., Ltd	Yuan-Jhen Info., Co., Ltd (AS131149)	976
afraid.org	Data Communication Business Group (AS3462)	32
CLOUDFLARENET	Data Communication Business Group (AS3462)	338
nameshield.net	CSC Administrative Services Limited (AS34922)	1
quicns.cloud	AS-VULTR (AS20473)	4
Host Europe GmbH	GOOGLE (AS15169)	64
secserverpros.com	DFW-DATACENTER (AS30277)	24
GOOGLE	CSC (AS19574)	8
markmonitor.com	Alibaba US Technology Co., Ltd. (AS45102)	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	67
net.tw	Data Communication Business Group (AS3462)	348
nameshield.net	Nameshield SAS (AS20756)	131
AMAZON-02	CSC (AS19574)	12
linode.com	Akamai Connected Cloud (AS63949)	133
Host Europe GmbH	WEEBLY (AS27647)	18
Siamdata Communication Co.,Ltd.	Siamdata Communication Co.,Ltd. (AS56309)	10
CLOUDFLARENET	FD-298-8796 (AS8796)	36
CLOUDFLARENET	PONYNET (AS53667)	3
Host Europe GmbH	AMAZON-AES (AS14618)	422
GOOGLE	Wix.com Ltd. (AS58182)	532
BIZLAND-SD	AS-VULTR (AS20473)	1
GOOGLE-CLOUD-PLATFORM	Akamai Connected Cloud (AS63949)	48
GANDI SAS	LATITUDE-SH (AS396356)	85
Yuan-Jhen Info., Co., Ltd	ZEN-ECN (AS21859)	178
net.tw	New Century InfoComm Tech Co., Ltd. (AS9919)	4
communilink.net	CommuniLink Internet Limited. (AS38277)	1
GOOGLE-CLOUD-PLATFORM	OneAsiaHost (AS59211)	1
whoisdomain.kr	NAVER BUSINESS PLATFORM ASIA PACIFIC PTE. LTD. (AS135354)	74
lemarit.de	COLT Technology Services Group Limited (AS8220)	2
Host Europe GmbH	CLOUDFLARENET (AS13335)	250
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	273
AMAZON-02	AMAZON-02 (AS16509)	645
Host Europe GmbH	Akamai Connected Cloud (AS63949)	209
twmail.org	Data Communication Business Group (AS3462)	443
markmonitor.com	UUNET (AS701)	1
ne.jp	SAKURA Internet Inc. (AS9371)	19
AMAZON-02	OVH SAS (AS16276)	385
markmonitor.com	AMAZON-02 (AS16509)	915
Host Europe GmbH	AS-26496-GO-DADDY-COM-LLC (AS26496)	164
name-services.com	TUCOWS-3 (AS32491)	51
theology.tw	PUMO NETWORK DIGITAL TECHNOLOGY CO.,LTD (AS38843)	1
SECURITYSERVICES	AMAZON-02 (AS16509)	150
NUCDN	Team Internet AG (AS61969)	99
hostnet.nl	One.com A/S (AS51468)	38
ix1000.com	AMAZON-02 (AS16509)	24
GANDI SAS	SQUARESPACE (AS53831)	4
ilv.tw	Data Communication Business Group (AS3462)	77
dnspod.net	Alibaba US Technology Co., Ltd. (AS45102)	11
ipgo.eu	Hetzner Online GmbH (AS24940)	1
net.tw	Taiwan Fixed Network, Telco and Network Service Provider. (AS9924)	47
com.tw	WEEBLY (AS27647)	6
xnameserver.de	InterNetworX Management GmbH (AS48596)	2
AUTOMATTIC	AUTOMATTIC (AS2635)	101
ix1000.com	Yuan-Jhen Info., Co., Ltd (AS131149)	16
CLOUDFLARENET	CM Craft Aesthetic (AS18424)	11
rtpcompany.tw	HBCI-1999TA (AS14828)	1
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	138
NSONE	AMAZON-02 (AS16509)	154
hyp.net	Domeneshop AS (AS12996)	94
jks.tw	Data Communication Business Group (AS3462)	1
SkyExchange Internet Access	Alibaba US Technology Co., Ltd. (AS45102)	10
nadns1.com	Nameshield SAS (AS20756)	24
CLOUDFLARENET	NETLAB-SDN (AS979)	9
Host Europe GmbH	RENDER (AS397273)	7
GOOGLE-CLOUD-PLATFORM	Sony Network Taiwan Limited (AS18182)	9
NSONE	SEDO GmbH (AS47846)	97
CLOUDFLARENET	NewMedia Express Pte Ltd (AS38001)	1
hosting.de	Hosting.de GmbH (AS12574)	3
hostgator.com	NETWORK-SOLUTIONS-HOSTING (AS19871)	24
