Host Europe GmbH	AMAZON-02 (AS16509)	457288
CLOUDFLARENET	DIGITALOCEAN-ASN (AS14061)	3403
SECURITYSERVICES	NAMECHEAP-NET (AS22612)	43255
CLOUDFLARENET	BIZLAND-SD (AS29873)	3835
dnsiaas.com	MULTA-ASN1 (AS35916)	11
CLOUDFLARENET	Hostinger International Limited (AS47583)	11272
CLOUDFLARENET	CLOUDFLARENET (AS13335)	58706
SECURITYSERVICES	AMAZON-02 (AS16509)	2406
AMAZON-02	AMAZON-02 (AS16509)	5887
CLOUDFLARENET	UNIFIEDLAYER-AS-1 (AS46606)	7556
Host Europe GmbH	CLOUDFLARENET (AS13335)	7668
hostgator.com	UNIFIEDLAYER-AS-1 (AS46606)	1666
CLOUDFLARENET	Alibaba US Technology Co., Ltd. (AS45102)	461
SECURITYSERVICES	CSC (AS19574)	7659
AMAZON-02	GOOGLE-CLOUD-PLATFORM (AS396982)	2154
NSONE	SEDO GmbH (AS47846)	2582
AMAZON-02	WHG Hosting Services Ltd (AS36454)	222
GOOGLE	CLOUDFLARENET (AS13335)	16818
managed-ip.com	Equinix (EMEA) Acquisition Enterprises B.V. (AS15830)	2
Host Europe GmbH	AMAZON-AES (AS14618)	2269
hostresolver.com	LIMESTONENETWORKS (AS46475)	43
Akamai International B.V.	Akamai International B.V. (AS20940)	180
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	7121
Xserver Inc.	Xserver Inc. (AS131965)	49
CLOUDFLARENET	A2HOSTING (AS55293)	80
CLOUDFLARENET	AMAZON-02 (AS16509)	18700
GOOGLE	SQUARESPACE (AS53831)	12811
Host Europe GmbH	IONOS SE (AS8560)	243
CLOUDFLARENET	CONFLUENCE-NETWORK-INC (AS40034)	17524
Nessus GmbH	Nessus GmbH (AS47692)	90
SECURITYSERVICES	CENTURYLINK-US-LEGACY-QWEST (AS209)	37
bodis.com	AMAZON-02 (AS16509)	1120
CLOUDFLARENET	OIS1 (AS26337)	566
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	7741
name-services.com	AMAZON-02 (AS16509)	1899
SECURITYSERVICES	Akamai Connected Cloud (AS63949)	5856
markmonitor.com	AMAZON-02 (AS16509)	5203
ezydomain.com	AMAZON-02 (AS16509)	8
CLOUDFLARENET	ORACLE-BMC-31898 (AS31898)	272
CLOUDFLARENET	NAMECHEAP-NET (AS22612)	263
GOOGLE	COMCAST-7922 (AS7922)	68
schlundtech.de	IONOS SE (AS8560)	26
Host Europe GmbH	GO-DADDY-COM-LLC (AS400754)	1709
CLOUDFLARENET	UUNET (AS701)	267
GOOGLE	Wix.com Ltd. (AS58182)	7327
GANDI SAS	GANDI SAS (AS29169)	3725
taku-adtech.com	DIGITALOCEAN-ASN (AS14061)	8
inmotionhosting.com	IMH-IAD (AS54641)	1255
idcicpdns.com	Alibaba US Technology Co., Ltd. (AS45102)	14
ipcom GmbH	IONOS SE (AS8560)	143
Contabo GmbH	Contabo GmbH (AS51167)	83
hostgator.com	CONFLUENCE-NETWORK-INC (AS40034)	205
AMAZON-AES	AMAZON-AES (AS14618)	5664
MICROSOFT-CORP-MSN-AS-BLOCK	LEVEL3 (AS3356)	1
SECURITYSERVICES	RENDER (AS397273)	78
Host Europe GmbH	SUCURI-SEC (AS30148)	599
Dattatec.com	GO-DADDY-COM-LLC (AS398101)	1
CLOUDFLARENET	PONYNET (AS53667)	1254
AITNET	AITNET (AS10843)	94
CLOUDFLARENET	Fastmail Pty Ltd (AS151847)	493
directnic.com	AS-26496-GO-DADDY-COM-LLC (AS26496)	7
iwantmyname.net	SQUARESPACE (AS53831)	14
CLOUDFLARENET	LEVELONESERVERS (AS398395)	4
IONOS SE	IONOS SE (AS8560)	16104
Host Europe GmbH	GOOGLE-CLOUD-PLATFORM (AS396982)	2441
com.mx	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	4
SECURITYSERVICES	GCI (AS8047)	1
IONOS SE	united-domains GmbH (AS202108)	2421
SOFTLAYER	SOFTLAYER (AS36351)	193
CLOUDFLARENET	HVC-AS (AS29802)	128
hover.com	TUCOWS (AS15348)	2974
GOOGLE	Taiwan Intelligent Fiber Optic Network Co.,Ltd. (AS131584)	1
GOOGLE	FASTLY (AS54113)	460
AMAZON-02	Akamai Connected Cloud (AS63949)	678
CLOUDFLARENET	GO-DADDY-COM-LLC (AS398101)	151
CLOUDFLARENET	NETWORK-SOLUTIONS-HOSTING (AS19871)	5882
AMAZON-02	INFOR-AS13483 (AS13483)	15
CLOUDFLARENET	AMAZON-AES (AS14618)	754
CLOUDFLARENET	GOOGLE (AS15169)	426
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL (AS57910)	330
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	1415
OMNI-FIBER	OMNI-FIBER (AS15081)	5
ipcom GmbH	AMAZON-02 (AS16509)	1205
sedoparking.com	SEDO GmbH (AS47846)	4617
DIGICERT	TWC-11427-TEXAS (AS11427)	5
