ngoisaoso.net	UNIFIEDLAYER-AS-1 (AS46606)	1
telnet.vn	CHT Compamy Ltd (AS38731)	15
inet.vn	VIETNAM POSTS AND TELECOMMUNICATIONS GROUP (AS135905)	7230
matbao.vn	ODS Joint Stock Company (AS45538)	1426
SECURITYSERVICES	OVH SAS (AS16276)	3
pavietnam.vn	SUPERDATA (AS45544)	10468
matbao.vn	Masters Technology Corporation (AS131404)	5
pavietnam.vn	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	49
inet.vn	VNPT Corp (AS45899)	177
VIETNAM POSTS AND TELECOMMUNICATIONS GROUP	VNPT Corp (AS45899)	411
CLOUDFLARENET	Hostinger International Limited (AS47583)	1237
CLOUDFLARENET	CLOUDFLARENET (AS13335)	15761
dotvndns.vn	CMC Telecom Infrastructure Company (AS38733)	22
zonedns.vn	VNPT Corp (AS45899)	276
zonedns.vn	NhanHoa Software company (AS131353)	3609
matbao.vn	CMC Telecom Infrastructure Company (AS45903)	452
GMO-Z.com Runsystem Joint Stock Company	VIETNAM POSTS AND TELECOMMUNICATIONS GROUP (AS135905)	1222
pavietnam.vn	iNET software one member company limited (AS149068)	21
CLOUDFLARENET	Webico Company Limited (AS135951)	166
matbao.vn	AZDIGI Corporation (AS63760)	1155
inet.vn	HARAVAN TECHNOLOGY CORPORATION (AS140801)	246
tino.vn	Webico Company Limited (AS135951)	216
inet.vn	FPT Telecom Company (AS18403)	368
matbao.vn	Viet Solutions Services Trading Company Limited (AS56150)	90
dotvndns.vn	SUPERDATA (AS45544)	3191
CLOUDFLARENET	Viettel Group (AS7552)	228
pavietnam.vn	VNPT Corp (AS45899)	724
fumo.im	VIET DIGITAL TECHNOLOGY LIABILITY COMPANY (AS135918)	1
pavietnam.vn	Thien Quang Digital technology joint stock company (AS140825)	65
Cloud DNS Ltd	CHT Compamy Ltd (AS38731)	119
CLOUDFLARENET	VIETNAM POSTS AND TELECOMMUNICATIONS GROUP (AS135905)	775
pavietnam.vn	FPT Telecom Company (AS18403)	1313
