safenames.com	Safenames Ltd. (AS60819)	3
CLOUDFLARENET	CLOUDFLARENET (AS13335)	283
Host Europe GmbH	AMAZON-02 (AS16509)	337
CLOUDFLARENET	AMAZON-02 (AS16509)	39
net.au	SYNERGY WHOLESALE PTY LTD (AS45638)	3
FACEBOOK	FACEBOOK (AS32934)	3
plusserver.com	PlusServer GmbH (AS61157)	1
SECURITYSERVICES	CSC (AS19574)	33
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
ipcom GmbH	InterNetworX Management GmbH (AS48596)	9
Host Europe GmbH	GO-DADDY-COM-LLC (AS398101)	2
DIGICERT	SOFTLAYER (AS36351)	1
SECURITYSERVICES	Vanuatu Government (AS132228)	1
markmonitor.com	AMAZON-02 (AS16509)	35
combell.net	Combell NV (AS34762)	1
Host Europe GmbH	AROSS-AS (AS400619)	2
awsdns-25.net	AMAZON-02 (AS16509)	3
GANDI SAS	GANDI SAS (AS29169)	6
variomedia.de	ScaleUp Technologies GmbH & Co. KG (AS29014)	2
registrar-servers.com	OVH SAS (AS16276)	1
co.nz	Dreamscape Networks Limited (AS38719)	1
CLOUDFLARENET	Digicel Vanuatu LTD (AS132429)	2
awsdns-01.net	Cloudflare London, LLC (AS209242)	1
Host Europe GmbH	CLOUDFLARENET (AS13335)	3
CLOUDFLARENET	AS-VULTR (AS20473)	2
hostyourservices.net	SQUARESPACE (AS53831)	1
awsdns-34.org	UK-2 Limited (AS13213)	1
co.uk	AMAZON-AES (AS14618)	2
3m.com	AMAZON-02 (AS16509)	2
Host Europe GmbH	Hetzner Online GmbH (AS24940)	1
routing.net	Hosting.de GmbH (AS12574)	1
awsdns-17.com	ORACLE-BMC-31898 (AS31898)	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02 (AS16509)	2
CLOUDFLARENET	Hostinger International Limited (AS47583)	11
nameshield.net	AMAZON-02 (AS16509)	1
AMAZON-02	OVH SAS (AS16276)	9
domserver.de	InterNetX GmbH (AS15456)	1
Dreamscape Networks Limited	Dreamscape Networks Limited (AS38719)	17
porsche.asia	Dr. Ing. h.c. F. Porsche AG (AS33848)	2
udag.de	united-domains GmbH (AS202108)	6
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	3
cloudpit.com	green.ch AG (AS1836)	2
ui-dns.biz	IONOS SE (AS8560)	3
Telecom Vanuatu Limited	Telecom Vanuatu Limited (AS9249)	16
CLOUDFLARENET	DREAMHOST-AS (AS26347)	11
bosch.de	Robert Bosch Gesellschaft mit Beschraenkter Haftung (AS9183)	1
GOOGLE	Wix.com Ltd. (AS58182)	7
Host Europe GmbH	DIGITALOCEAN-ASN (AS14061)	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
Host Europe GmbH	Wholesale Services Provider (AS45671)	1
sedoparking.com	SEDO GmbH (AS47846)	31
Host Europe GmbH	FASTLY (AS54113)	1
messagingengine.com	Fastmail Pty Ltd (AS151847)	1
easydns.ca	UK-2 Limited (AS13213)	1
co.nz	GlobiCom Limited (AS132692)	1
awsdns-15.com	CLOUDFLARENET (AS13335)	1
AMAZON-02	A2HOSTING (AS55293)	5
AMAZON-02	WHG Hosting Services Ltd (AS216180)	6
Host Europe GmbH	Telecom Vanuatu Limited (AS9249)	2
credit-suisse.com	UBS Group AG (AS8729)	5
markmonitor.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	1
whirlpool.com	ATT-INTERNET4 (AS7018)	1
registrar-servers.com	TIER-NET (AS397423)	2
Host Europe GmbH	Kualo Limited (AS204436)	1
AMAZON-02	Hetzner Online GmbH (AS24940)	1
netim.net	Eurofiber France SAS (AS24935)	15
NUCDN	DNIC-AS-00749 (AS749)	1
SECURITYSERVICES	AFFILIATED (AS13913)	1
NUCDN	Datacenter Luxembourg S.A. (AS24611)	1
scannet2.dk	team.blue Denmark A/S (AS48854)	1
CLOUDFLARENET	INCAPSULA (AS19551)	5
