GANDI SAS	GANDI SAS (AS29169)	154
OVH SAS	OVH SAS (AS16276)	646
Gransy s.r.o.	Gransy s.r.o. (AS60592)	98
epag.net	EPAG Domainservices GmbH (AS12915)	1
CLOUDFLARENET	GOOGLE (AS15169)	1
CLOUDFLARENET	DREAMHOST-AS (AS26347)	29
hyp.net	Domeneshop AS (AS12996)	35
CLOUDFLARENET	CLOUDFLARENET (AS13335)	266
NUCDN	Team Internet AG (AS61969)	30
iwantmyname.net	InterNetX GmbH (AS15456)	2
CLOUDFLARENET	AMAZON-02 (AS16509)	69
one.com	One.com A/S (AS51468)	90
ipcom GmbH	ATT-INTERNET4 (AS7018)	1
Trellian Pty. Limited	Trellian Pty. Limited (AS133618)	8
fgpt.com	ADISTA SAS (AS16347)	1
lwsdns.com	Groupe LWS SARL (AS210403)	84
register.it	Register S.p.A. (AS39729)	17
m-d.net	DIGITALOCEAN-ASN (AS14061)	1
NForce Entertainment B.V.	NForce Entertainment B.V. (AS43350)	11
myown.be	OVH SAS (AS16276)	1
CLOUDFLARENET	Hostinger International Limited (AS47583)	133
zumedns.com	Alpha Internet Limited (AS58051)	1
lwsdns.com	Free SAS (AS12322)	1
1and1.com	IONOS SE (AS8560)	1
perf1.com	Nameshield SAS (AS20756)	36
freehostia.com	LIQUIDNETLTD1 (AS14555)	1
Hetzner Online GmbH	Hetzner Online GmbH (AS24940)	6
CLOUDFLARENET	AMAZON-AES (AS14618)	3
OVH SAS	netcup GmbH (AS197540)	15
loopiagroup.com	Loopia AB (AS41528)	2
NSONE	GOOGLE (AS15169)	3
SEDO GmbH	SEDO GmbH (AS47846)	50
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM (AS396982)	16
CLOUDFLARENET	OVH SAS (AS16276)	30
superhosting.bg	SuperHosting.BG Ltd. (AS201200)	1
lws-hosting.biz	GTT Communications Inc. (AS3257)	1
wtservers.com	Dream Fusion - IT Services, Lda (AS39384)	2
cloudns.net	netcup GmbH (AS197540)	1
ui-dns.biz	IONOS SE (AS8560)	6
routing.net	Eurofiber France SAS (AS24935)	2
trilon.eu	VNET a.s. (AS29405)	3
sedoparking.com	SEDO GmbH (AS47846)	82
SERVERSTACK-ASN	SERVERSTACK-ASN (AS46652)	6
OVH SAS	Wix.com Ltd. (AS58182)	1
Groupe LWS SARL	Groupe LWS SARL (AS210403)	9
NUCDN	Datacenter Luxembourg S.A. (AS24611)	6
host.yt	WHG Hosting Services Ltd (AS209341)	1
GANDI SAS	Hetzner Online GmbH (AS24940)	3
NSONE	AMAZON-02 (AS16509)	13
renault.fr	Register S.p.A. (AS39729)	2
CLOUDFLARENET	Scalaxy B.V. (AS58061)	1
doedns.de	Hetzner Online GmbH (AS24940)	2
idp365.net	Safenames Ltd. (AS60819)	2
savana.cz	Webglobe, s.r.o. (AS29134)	1
O2switch SAS	O2switch SAS (AS50474)	70
dns1.de	Key-Systems GmbH (AS13246)	1
NSONE	SOFTLAYER (AS36351)	5
AMAZON-AES	AMAZON-AES (AS14618)	6
infomaniak.com	Infomaniak Network SA (AS29222)	25
SECURITYSERVICES	CSC (AS19574)	20
ipcom GmbH	InterNetworX Management GmbH (AS48596)	20
greengeeks.net	SINGLEHOP-LLC (AS32475)	1
markmonitor.zone	AMAZON-02 (AS16509)	1
one.com	AMAZON-02 (AS16509)	2
GOOGLE	GOOGLE-CLOUD-PLATFORM (AS396982)	4
GOOGLE	Wix.com Ltd. (AS58182)	6
Scaleway S.a.s.	Scaleway S.a.s. (AS12876)	25
n0c.com	PLANETHOSTER-8 (AS53589)	15
MICROSOFT-CORP-MSN-AS-BLOCK	Groupe LWS SARL (AS210403)	3
netim.net	FASTLY (AS54113)	1
AMAZON-02	OVH SAS (AS16276)	4
IONOS SE	united-domains GmbH (AS202108)	7
OVH SAS	Kamatera Inc (AS204548)	2
OVH SAS	ORACLE-BMC-31898 (AS31898)	3
iptwins.com	OVH SAS (AS16276)	3
ipcom GmbH	AMAZON-02 (AS16509)	25
netim.net	Eurofiber France SAS (AS24935)	41
CLOUDFLARENET	Telia Company AB (AS3301)	1
co.at	Cyberse GmbH & Co. KG (AS208208)	1
alidns.com	China Mobile Communications Group Co., Ltd. (AS9808)	1
CLOUDFLARENET	Scaleway S.a.s. (AS12876)	1
datasferix.pl	ZETO-RZESZOW Sp. z o.o. (AS42490)	2
njalla.fo	PONYNET (AS53667)	1
netsto.net	XTOM (AS6233)	1
hostnet.nl	One.com A/S (AS51468)	6
zomro.net	Green Floid LLC (AS21100)	1
cyberfolks.pl	Cyber_Folks S.A. (AS41079)	1
scw.cloud	Scaleway S.a.s. (AS12876)	2
CLOUDFLARENET	INCAPSULA (AS19551)	17
web-mayotte.org	OVH SAS (AS16276)	4
CLOUDFLARENET	METANET AG (AS21069)	1
Signet B.V.	Combell NV (AS34762)	2
lwsdns.com	Clever Cloud SAS (AS213394)	1
zenbox.pl	Beyond.pl sp. z o.o. (AS31229)	1
Scaleway S.a.s.	NFrance Conseil (AS15826)	1
sdv.fr	CSC Administrative Services Limited (AS34922)	2
lcube-ns.de	kyberio GmbH (AS24679)	1
nameshield.net	Nameshield SAS (AS20756)	12
OVH SAS	FASTLY (AS54113)	5
AMAZON-02	ORACLE-BMC-31898 (AS31898)	1
kasserver.com	Neue Medien Muennich GmbH (AS34788)	3
AMAZON-02	Team Internet AG (AS61969)	9
Scaleway S.a.s.	OVH SAS (AS16276)	4
ncad.yt	OVH SAS (AS16276)	2
Scaleway S.a.s.	Free SAS (AS12322)	2
cronon.de	Strato GmbH (AS6724)	2
dnspod.net	HUAWEI CLOUDS (AS136907)	1
markmonitor.com	AMAZON-02 (AS16509)	17
cloudns.net	RoyaleHosting BV (AS212477)	1
Aqua Ray SAS	Aqua Ray SAS (AS41653)	5
mijnserver.be	Infopact Netwerkdiensten B.V. (AS21221)	1
porsche.asia	AMAZON-02 (AS16509)	2
dnsip.com	MICROSOFT-CORP-MSN-AS-BLOCK (AS8075)	9
domainoffensive.de	webgo GmbH (AS48324)	1
safenames.com	Safenames Ltd. (AS60819)	2
ithub.xyz	GORILLASERVERS (AS53850)	1
ipcom GmbH	Viettel Group (AS7552)	1
mydevil.net	Atman Sp. z o.o. (AS57367)	2
OVH SAS	AMAZON-02 (AS16509)	10
GANDI SAS	GANDI SAS (AS203476)	2
CLOUDFLARENET	Ani Network Pvt Ltd (AS132116)	1
NSONE	AMAZON-AES (AS14618)	2
CLOUDFLARENET	IQ PL Sp. z o.o. (AS47544)	1
infomaniak.com	wilhelm.tel GmbH (AS15943)	1
dnsdienst.de	dogado GmbH (AS8648)	2
egensajt.se	Tele2 SWIPnet (AS1257)	1
netim.net	FORCE-BROADBAND (AS395559)	1
register.it	Retelit Digital Services S.p.A. (AS5602)	1
iwantmyname.net	AMAZON-AES (AS14618)	3
O2switch SAS	WIIT AG (AS24961)	1
gransy.com	CASABLANCA INT a.s. (AS15685)	2
websitestore.org	NAMECHEAP-NET (AS22612)	2
OVH SAS	AMAZON-AES (AS14618)	2
tinyurl.com	HURRICANE (AS6939)	1
CLOUDFLARENET	Akamai Connected Cloud (AS63949)	1
porkbun.com	GOOGLE-CLOUD-PLATFORM (AS396982)	1
hyp.net	AMAZON-AES (AS14618)	1
lwsdns.com	AMAZON-02 (AS16509)	1
CLOUDFLARENET	Free SAS (AS12322)	2
toshiba-europe.com	CLOUDFLARENET (AS13335)	1
ns1-tec.de	SYNLINQ (AS44486)	2
dnsmadeeasy.com	SOFTLAYER (AS36351)	1
