SECURITYSERVICES	NAMECHEAP-NET	1499
iseek.host	dairygold.ad	1
CLOUDFLARENET	CLOUDFLARENET	141
xundns.com	92kun.com	10
DinaHosting S.L.	gesta.ad	1
SECURITYSERVICES	GOOGLE	42
NSONE	GOOGLE	3
IONOS SE	IONOS SE	76
suinsa.ad	suinsa.ad	1
SECURITYSERVICES	feishu.cn	1
Soluciones Corporativas IP, SL	Soluciones Corporativas IP, SL	36
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH	14
solidhosting.pro	MICROSOFT-CORP-MSN-AS-BLOCK	1
IONOS SE	MICROSOFT-CORP-MSN-AS-BLOCK	21
SECURITYSERVICES	AMAZON-02	228
CLOUDFLARENET	trendmicro.eu	6
CLOUDFLARENET	GANDI SAS	2
DinaHosting S.L.	m22.ad	1
CLOUDFLARENET	GOOGLE	112
andornet.ad	SUCURI-SEC	44
sedoparking.com	localhost	59
CLOUDFLARENET	aria.ad	1
xundns.com	cjahjqve.com	4
cdmon.net	cdmon.net	2
SEDO GmbH	localhost	31
GANDI SAS	GANDI SAS	99
basic.ad	OVH SAS	4
Cloud DNS Ltd	trendmicro.eu	1
GOOGLE	Proton AG	1
NUCDN	GOOGLE	13
awsdns-02.net	MICROSOFT-CORP-MSN-AS-BLOCK	1
xundns.com	3bcncdn.com	6
identitat.es	styland.ad	1
DinaHosting S.L.	mrbricolage.ad	1
NUCDN	x-ion GmbH	13
r9.agency	hollywood.ad	1
CLOUDFLARENET	NAMECRANE	3
DinaHosting S.L.	amura.ad	1
srv60.com	zenith.ad	1
CLOUDFLARENET	OVH SAS	7
OVH SAS	GOOGLE	7
amenworld.com	securemail.pro	1
awsdns-03.net	MICROSOFT-CORP-MSN-AS-BLOCK	1
masonserver.com	mason.ad	1
catiasl.net	IONOS SE	1
G-Core Labs S.A.	mssfnsupercdns.top	11
DinaHosting S.L.	MICROSOFT-CORP-MSN-AS-BLOCK	18
OVH SAS	MICROSOFT-CORP-MSN-AS-BLOCK	37
SECURITYSERVICES	ZOHO-AS	9
OVH SAS	selectrentals.ad	1
lordserials.ad	lordserials.ad	1
Adam EcoTech, S.A	gropius.ad	1
andornet.ad	OVH SAS	5
awsdns-25.org	canillo.ad	1
andornet.ad	MICROSOFT-CORP-MSN-AS-BLOCK	32
DinaHosting S.L.	aeat.ad	1
OVH SAS	ena.ad	1
netim.net	ZOHO Corporation B.V	1
OVH SAS	tecob.ad	1
Host Europe GmbH	GOOGLE	5
xundns.com	ZEN-ECN	52
weblium.com	NAMECHEAP-NET	1
planethoster.net	sonos.ad	1
CLOUDFLARENET	scope.ad	1
CLOUDFLARENET	NAMECHEAP-NET	140
fxs.se	amazonaws.com	2
OVH SAS	OVH SAS	31
gigas.com	MICROSOFT-CORP-MSN-AS-BLOCK	3
dnsip.com	longteng-cdn.com	3
Hetzner Online GmbH	GOOGLE	2
DinaHosting S.L.	GOOGLE	3
CLOUDFLARENET	ontoponline.ad	1
reg.ru	reg.ru	1
OVH SAS	universal.earth	1
GANDI SAS	mailinblack.com	1
hiverinfini.ad	hiverinfini.ad	1
CLOUDFLARENET	mailchannels.net	4
Combell NV	amma.ad	1
cdmon.net	explorya.ad	1
dnsip.com	egns.eu	29
lanbcn.com	MICROSOFT-CORP-MSN-AS-BLOCK	2
CLOUDFLARENET	feishu.cn	1
xena.ad	xena.ad	1
xundns.com	dljxoooocdn.com	6
OVH SAS	reveplus.ad	1
SECURITYSERVICES	Zoho Corporation Pvt. Ltd	1
SECURITYSERVICES	Proton AG	12
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	53
OVH SAS	cass.ad	1
CLOUDFLARENET	SECURITYSERVICES	1
xundns.com	admingamex.com	4
CLOUDFLARENET	amazing.ad	1
ascio.com	pphosted.com	1
Host Europe GmbH	localhost	2
CLOUDFLARENET	hhh.ad	1
MICROSOFT-CORP-MSN-AS-BLOCK	unilever.com	1
Xtudio Networks S.L.U.	frozencryoterapia.ad	1
serviciodns.es	Proton AG	2
dnsexterno.com	MICROSOFT-CORP-MSN-AS-BLOCK	1
Andorra Telecom, S.a.u.	GOOGLE	1
SECURITYSERVICES	SECURITYSERVICES	56
DinaHosting S.L.	arada.ad	1
nominalia.com	nominalia.com	3
G-Core Labs S.A.	cdnzhukong.com	26
AMAZON-02	GOOGLE-CLOUD-PLATFORM	43
Soluciones Corporativas IP, SL	GOOGLE	5
my-control-panel.com	wonder.ad	1
Cloud DNS Ltd	Fastmail Pty Ltd	9
netim.net	Eurofiber France SAS	22
afraid.org	Proton AG	1
CLOUDFLARENET	rtb.ad	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK	18
awsdns-07.com	dnssw.net	1
NSONE	pphosted.com	7
prodomaines.com	eleclerc.ad	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	30
CLOUDFLARENET	Proton AG	17
CLOUDFLARENET	hostinger.my	4
Hetzner Online GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	3
awsdns-00.net	GOOGLE	2
SECURITYSERVICES	OVH SAS	1
andornet.ad	83.125	1
dyn.com	MICROSOFT-CORP-MSN-AS-BLOCK	1
Andorra Telecom, S.a.u.	MICROSOFT-CORP-MSN-AS-BLOCK	13
prodomaines.com	e-leclerc.ad	1
acens Technologies, S.L.	finter.ad	1
themagicserver.net	ucx.ad	1
raiolanetworks.es	aquafides.ad	1
cdmon.net	msv1.invalid	1
servidoreslatecla.com	MICROSOFT-CORP-MSN-AS-BLOCK	1
CLOUDFLARENET	arc-sistemes.com	5
iptwins.com	iptwins.com	7
cdmon.net	medisport.ad	1
OVH SAS	otk.ad	1
G-Core Labs S.A.	ccpoint.net	16
dnsimple.com	GOOGLE	2
CLOUDFLARENET	hostinger.mx	2
acens Technologies, S.L.	MICROSOFT-CORP-MSN-AS-BLOCK	7
CLOUDFLARENET	com.hk	1
second-ns.com	MICROSOFT-CORP-MSN-AS-BLOCK	2
hostgator.com	bradvocats.ad	1
SECURITYSERVICES	QUICKPACKET	3
andornet.ad	capitalcultural.ad	1
sintecsl.com	IONOS SE	4
cdmon.net	soak.ad	1
nscluster.ee	nameweb.biz	2
cdmon.net	ZOHO Corporation B.V	1
bluehost.com	ZOHO Corporation B.V	1
DinaHosting S.L.	finver.ad	1
as60427.net	news-serv.net	1
cloudhosting.uk	cloudhosting.uk	1
pavand.ad	MICROSOFT-CORP-MSN-AS-BLOCK	1
CLOUDFLARENET	shorturl.ad	1
CLOUDFLARENET	adnocoffshore.ad	1
AMAZON-02	CLOUDFLARENET	1
cdmon.net	duplex.ad	1
ifastnet.com	nds.ad	1
cag.es	MICROSOFT-CORP-MSN-AS-BLOCK	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	4
Adam EcoTech, S.A	evergreencorporation.ad	1
