CLOUDFLARENET	GOOGLE	1084
Viva Armenia CJSC	mrov.am	1
CLOUDFLARENET	YANDEX LLC	591
CLOUDFLARENET	teamextension.am	1
sprinthost.net	grillvett.am	1
EuroByte LLC	environment.am	1
OVH SAS	OVH SAS	124
G-Core Labs S.A.	jdg.im	2
CLOUDFLARENET	ZOHO-AS	251
reg.ru	GOOGLE	21
sedoparking.com	localhost	838
host.am	GOOGLE	42
CLOUDFLARENET	asba.am	1
CLOUDFLARENET	CLOUDFLARENET	455
OVH SAS	LLC VK	20
Arpinet LLC	YANDEX LLC	5
Hetzner Online GmbH	loropiana.am	1
Hetzner Online GmbH	LLC VK	24
host.am	printinfo.am	1
CLOUDFLARENET	Telecom Armenia OJSC	18
GNC-Alfa CJSC	GOOGLE	5
hostland.ru	whoopstore.am	1
CLOUDFLARENET	waybo.ru	1
CLOUDFLARENET	joyfood.am	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	308
WEB LLC	ton.am	1
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	120
xundns.com	ns01.ru	1
OVH SAS	complex.am	1
NSONE	GOOGLE	23
CLOUDFLARENET	LLC VK	345
reg.am	abovyan.am	1
econ.am	econ.am	1
Hetzner Online GmbH	evq.am	1
host.am	aeba.am	1
netim.net	Eurofiber France SAS	74
reg.am	hr.am	1
host.am	ddd.am	1
host.am	shinmaster.am	1
Hetzner Online GmbH	xmor.am	1
Hetzner Online GmbH	open-data.am	1
Host Europe GmbH	GOOGLE	175
YANDEX LLC	YANDEX LLC	106
phtco.com	armco.am	1
AMAZON-02	GOOGLE	50
CLOUDFLARENET	legexgroup.am	1
SECURITYSERVICES	SECURITYSERVICES	147
netafraz.com	pail.am	1
OVH SAS	YANDEX LLC	25
Hetzner Online GmbH	delta-consulting.am	1
CLOUDFLARENET	binam.am	1
Hetzner Online GmbH	zacompany.am	1
Contabo GmbH	ZOHO-AS	5
reg.ru	Domain names registrar REG.RU, Ltd	196
Hetzner Online GmbH	ecohub.am	1
reg.am	dyson.am	1
NETWORK-SOLUTIONS-HOSTING	betnahrain.am	1
CLOUDFLARENET	mx.services	1
CLOUDFLARENET	itfllc.am	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	25
GNC-Alfa CJSC	financebi.am	1
CLOUDFLARENET	finport.am	1
Beget LLC	Beget LLC	254
CLOUDFLARENET	webassistant.am	1
CLOUDFLARENET	dvh.am	1
ns1global.org	sspeeddns.com	1
reg.am	GOOGLE	39
PONYNET	homezone.am	1
Beget LLC	YANDEX LLC	6
hostgator.com	retekess.am	1
Hetzner Online GmbH	gpg.am	1
Hetzner Online GmbH	GOOGLE	53
asue.am	asue.am	1
guide.am	guide.am	1
SECURITYSERVICES	chevrolet.am	1
iptwins.com	iptwins.com	7
SCAAM0001	ngninfra.net	10
Arvid Logicum OU	cdtravel.am	1
reg.ru	futurisarchitects.am	1
fasthost7.info	fwtech.am	1
Hetzner Online GmbH	fspharma.am	1
dns.com	bck-bet.com	10
reg.am	hotelbatumi.am	1
reg.am	YANDEX LLC	35
CLOUDFLARENET	Beget LLC	35
CLOUDFLARENET	animation.am	1
Hetzner Online GmbH	math.am	1
timeweb.org	HLL LLC	184
CLOUDFLARENET	edumedu.am	1
CLOUDFLARENET	amreco.am	1
CLOUDFLARENET	name.am	4
CLOUDFLARENET	Fastmail Pty Ltd	34
Hetzner Online GmbH	lineup.am	1
CLOUDFLARENET	msv1.invalid	5
DIGICERT	APPLE-ENGINEERING	1
CLOUDFLARENET	AUTOMATTIC	132
CLOUDFLARENET	safesoldiers.am	1
Host Europe GmbH	GO-DADDY-COM-LLC	310
CLOUDFLARENET	walnuts.am	2
awsdns-02.com	GOOGLE	2
Hetzner Online GmbH	primesystems.am	1
reg.am	theacademy.am	1
Arvid Logicum OU	powerenergy.am	1
xundns.com	ZEN-ECN	62
host.am	algare.am	1
SECURITYSERVICES	OVH SAS	4
reliabledns.org	GOOGLE	1
pq.hosting	robosoft.am	1
ascio.com	ascio.com	5
WEB LLC	wasabi.am	1
GOOGLE-CLOUD-PLATFORM	YANDEX LLC	1
gossamerhost.com	ianph.am	1
Ucom CJSC	personalsecurity.am	1
reg.am	ice-berg.am	1
OVH SAS	activecitizen.am	1
automas.am	automas.am	1
CLOUDFLARENET	aaa.am	1
proservice.ge	biotop.am	1
KIM-RAY Ltd.	KIM-RAY Ltd.	14
IONOS SE	ionos.de	2
CLOUDFLARENET	ayo.am	1
CLOUDFLARENET	404.am	1
Scalaxy B.V.	LLC VK	2
CLOUDFLARENET	mailchannels.net	16
IONOS SE	NorthC Deutschland GmbH	72
GANDI SAS	GOOGLE	12
Hetzner Online GmbH	xatutik.am	1
yerphi.am	aanl.am	1
kattare.com	GOOGLE	1
CLOUDFLARENET	ZOHO Corporation B.V	32
EuroByte LLC	YANDEX LLC	6
Hetzner Online GmbH	newday.am	1
EuroByte LLC	gamezz.am	1
CLOUDFLARENET	NAMECHEAP-NET	26
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	45
Arpinet LLC	nurtv.am	1
sprinthost.net	maletti.am	1
Hetzner Online GmbH	babol.am	1
CLOUDFLARENET	Proton AG	59
SECURITYSERVICES	barni.am	1
Hetzner Online GmbH	shok.am	1
Akamai International B.V.	iphmx.com	2
GANDI SAS	nexans.am	1
reg.am	ZOHO-AS	5
co.uk	calzedonia.com	2
artfiles.de	dcpserver.de	1
Host Europe GmbH	YANDEX LLC	3
GANDI SAS	GANDI SAS	95
JSC IOT	deltaconsulting.am	1
OVH SAS	armbiz.am	1
host.am	temeo.am	1
OVH SAS	nomadtax.am	1
Arvid Logicum OU	art-expertise.am	1
ipcom GmbH	CLOUDFLARENET	1
Hetzner Online GmbH	dosatak.am	1
Hetzner Online GmbH	metalprof.am	1
sprinthost.net	investreet.am	1
BIZLAND-SD	football.am	1
GNC-Alfa CJSC	livenewsmedia.am	1
awsdns-08.org	YANDEX LLC	1
