Hetzner Online GmbH	wsport.ao	1
cloudns.net	MICROSOFT-CORP-MSN-AS-BLOCK	4
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	108
Hetzner Online GmbH	capfa.ao	1
Almouroltec Servicos De Informatica E Internet Lda	Almouroltec Servicos De Informatica E Internet Lda	71
cloudns.net	ZOHO-AS	6
Hetzner Online GmbH	fcsa.ao	1
GOOGLE-CLOUD-PLATFORM	20i Limited	8
Hetzner Online GmbH	Hetzner Online GmbH	22
Hetzner Online GmbH	eagletec.ao	1
Hetzner Online GmbH	sslogistics.ao	1
Paratus	bodiva.ao	1
EGATE-CLOUD	palacelounge.ao	1
CLOUDFLARENET	GOOGLE	41
ANGOLA-CABLES	edupath.ao	1
Hetzner Online GmbH	getsmart.ao	1
Hetzner Online GmbH	fgacademy.ao	1
server343.com	hcga.ao	1
co.ao	dualpersona.ao	1
dnspax.com	ticmeta.ao	1
Hetzner Online GmbH	edgb.ao	1
NAMECHEAP-NET	milatos.ao	1
Hetzner Online GmbH	angonet.ao	1
dnspax.com	supraweb-angola.ao	1
Hetzner Online GmbH	hotelmonalisa.ao	1
SECURITYSERVICES	NAMECHEAP-NET	19
CLOUDFLARENET	CLOUDFLARENET	201
unknown	baikasaude.ao	1
Hetzner Online GmbH	pregao.ao	1
CLOUDFLARENET	AUTOMATTIC	48
cloudns.net	gov.ao	2
com.br	AUTOMATTIC	21
unknown	cprapid.com	3
Hetzner Online GmbH	omercado.ao	1
Hetzner Online GmbH	tecnogil.ao	1
Hetzner Online GmbH	batucada.ao	1
cloudns.net	Almouroltec Servicos De Informatica E Internet Lda	1
Hetzner Online GmbH	eszi.ao	1
CLOUDFLARENET	imaginerealize.ao	1
Hetzner Online GmbH	anaia.ao	1
Hetzner Online GmbH	digitallex.ao	1
Hetzner Online GmbH	smarkmedia.ao	1
CLOUDFLARENET	pguedes.ao	1
IOFLOOD	kimbo.ao	1
togooh.com	parallelos.ao	1
hostgator.com	joec.ao	1
Hetzner Online GmbH	chavenova.ao	1
CLOUDFLARENET	sensorial.pt	1
EGATE-CLOUD	egatecloud.ao	1
Hetzner Online GmbH	jornadacapilar.ao	1
CLOUDFLARENET	kairos.ao	1
bpc.ao	MICROSOFT-CORP-MSN-AS-BLOCK	1
Hetzner Online GmbH	solara.ao	1
Wildcard UK Limited	globallearning.ao	1
Hetzner Online GmbH	slimeland.ao	1
Comercio e Prestacao de Servicos Informaticos, Lda	Comercio e Prestacao de Servicos Informaticos, Lda	27
mydnspt.net	Almouroltec Servicos De Informatica E Internet Lda	79
CLOUDFLARENET	doge.ss	1
AS-COLOCROSSING	mailbox.ao	9
it.ao	dilvy.ao	1
Hetzner Online GmbH	mamelia.ao	1
contabo.net	wilcre.ao	1
Hetzner Online GmbH	select-email.co	2
CLOUDFLARENET	mutue.ao	1
mydnspt.net	dafil.ao	1
Hetzner Online GmbH	happy.ao	1
Hetzner Online GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	47
CLOUDFLARENET	pagina.ao	1
host-ww.net	nsn.ao	1
Hetzner Online GmbH	fenix.ao	1
mydnspt.net	cognitus.ao	1
Hetzner Online GmbH	srep.ao	1
Hetzner Online GmbH	cetim.ao	1
Hydra Communications Ltd	chicco.ao	1
EGATE-CLOUD	smartcare.ao	1
oea.ao	oea.ao	1
dnscpanel.com	kbd.ao	1
Hetzner Online GmbH	cvassociates.ao	1
unknown	20i Limited	4
Hetzner Online GmbH	kirene.ao	1
Hetzner Online GmbH	dmim.ao	1
CLOUDFLARENET	newcloudservices.ao	1
Hetzner Online GmbH	mister-e.ao	1
CENTRAL-8	quantus.ao	1
mkool.ao	mkool.ao	1
Hetzner Online GmbH	personalize.ao	1
NAMECHEAP-NET	quetel.ao	1
Hetzner Online GmbH	cgeventos.ao	1
unknown	fmadvogados.ao	1
Hetzner Online GmbH	check-in.ao	1
OVH SAS	orcamentoparticipativo.ao	1
CLOUDFLARENET	angohost.email	22
Hetzner Online GmbH	mtgservice.ao	1
Host Europe GmbH	co.ao	1
inmotionhosting.com	oneproperty.ao	1
unknown	itzone.ao	1
CLOUDFLARENET	serverhs.org	2
CLOUDFLARENET	oprivado.ao	1
OVH SAS	nilsoneventos.ao	1
Hetzner Online GmbH	GOOGLE	14
aliancaseguros.ao	MICROSOFT-CORP-MSN-AS-BLOCK	1
Hetzner Online GmbH	unitv.ao	1
Hetzner Online GmbH	koshi.ao	1
da.direct	GOOGLE	1
Edgoo Networks Unipessoal Lda	energiaeluz.ao	1
site4now.net	site4now.net	7
Hetzner Online GmbH	openwave.ao	1
gov.ao	gov.ao	3
Hetzner Online GmbH	filtrek.ao	1
CLOUDFLARENET	NAMECHEAP-NET	4
Hydra Communications Ltd	exotica.ao	1
OVH SAS	gruposodata.ao	1
Hetzner Online GmbH	ecsa.ao	1
Hetzner Online GmbH	opine.ao	1
Hetzner Online GmbH	pepnet.ao	1
wtservers.com	thisisit.ao	1
co.ao	emailsrvr.com	2
finalwebsite.com	MICROSOFT-CORP-MSN-AS-BLOCK	1
Hetzner Online GmbH	vafish.ao	1
lucushost.com	soprema.ao	1
Dominios, S.A.	freshar.ao	1
contabo.net	bibliotecanacional.ao	1
Hetzner Online GmbH	aifa.ao	1
dnscpanel.com	orbisat.ao	1
cleveris.tech	unipet.ao	1
Hetzner Online GmbH	mlsecurity.ao	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	50
vqpf.ao	vqpf.ao	1
co.ao	sacassa.ao	1
inmotionhosting.com	foreverliving.ao	1
SECURITYSERVICES	SECURITYSERVICES	16
mydnspt.net	sdg.ao	1
Hetzner Online GmbH	gedom.ao	1
Hetzner Online GmbH	thegym.ao	1
arseg.ao	arseg.ao	1
Hetzner Online GmbH	globalinvestment.ao	1
CLOUDFLARENET	one.ao	1
Hetzner Online GmbH	gpds.ao	1
beeangola.com	batota.ao	1
Hetzner Online GmbH	parallel.ao	1
co.ao	netpoint.ao	1
Hetzner Online GmbH	akitem.ao	1
IOFLOOD	vidaactiva.ao	1
Hetzner Online GmbH	okuti.ao	1
cloudns.net	mercado18.ao	1
CLOUDFLARENET	ZOHO-AS	42
com.br	cegna.ao	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM	18
com.br	inov.ao	1
Hetzner Online GmbH	movemind.ao	1
Hetzner Online GmbH	zemasolutions.ao	1
jumpvps.org	betpower.ao	1
Hetzner Online GmbH	nova.ao	1
Dominios, S.A.	ethos.ao	1
hostgator.com	autospect.ao	1
Hydra Communications Ltd	cmcsi.ao	1
gfireservers.in	trocadero.ao	1
com.br	kiese.ao	1
Hetzner Online GmbH	edificiovictoria.ao	1
Hetzner Online GmbH	aiue.ao	1
mydnspt.net	ziolink.ao	1
Almouroltec Servicos De Informatica E Internet Lda	MICROSOFT-CORP-MSN-AS-BLOCK	2
Hetzner Online GmbH	clube-s.ao	1
Hetzner Online GmbH	portalmarketing.ao	1
CLOUDFLARENET	novaweb.ao	1
Hetzner Online GmbH	kalebe.ao	1
Hetzner Online GmbH	alcmena.ao	1
CLOUDFLARENET	dkveiculos.ao	1
inmotionhosting.com	algeo.ao	1
awardspace.com	yahoodns.net	2
namhost.com	fwander.ao	1
Hetzner Online GmbH	grupo-simples.ao	1
Hetzner Online GmbH	ffjb.ao	1
