=== 数据来源: ar ===
NS 域名数: 13813
MX 域名数: 13906
NS+MX 交集: 13813

=== NS -> MX 条件分布 ===

[NS 提供商] CLOUDFLARENET，域名数 3527
  MX: CLOUDFLARENET                  1171  33.20%
  MX: com.ar                         1143  32.41%
  MX: GOOGLE                          604  17.13%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK     171   4.85%
  MX: ZOHO-AS                         113   3.20%

[NS 提供商] Dattatec.com，域名数 2958
  MX: com.ar                         2479  83.81%
  MX: GOOGLE                          249   8.42%
  MX: net.ar                           72   2.43%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      63   2.13%
  MX: org.ar                           63   2.13%

[NS 提供商] com.ar，域名数 884
  MX: com.ar                          635  71.83%
  MX: GOOGLE                          123  13.91%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      43   4.86%
  MX: org.ar                           19   2.15%
  MX: net.ar                           18   2.04%

[NS 提供商] AMAZON-02，域名数 736
  MX: GOOGLE                          217  29.48%
  MX: com.ar                          147  19.97%
  MX: GOOGLE-CLOUD-PLATFORM           129  17.53%
  MX: ZOHO-AS                         123  16.71%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      39   5.30%

[NS 提供商] servidoraweb.net，域名数 424
  MX: com.ar                          354  83.49%
  MX: GOOGLE                           39   9.20%
  MX: org.ar                           10   2.36%
  MX: net.ar                            9   2.12%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       8   1.89%

[NS 提供商] aliasdns.net，域名数 365
  MX: com.ar                          301  82.47%
  MX: GOOGLE                           39  10.68%
  MX: org.ar                           13   3.56%
  MX: net.ar                            4   1.10%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       3   0.82%

[NS 提供商] godns.net，域名数 284
  MX: com.ar                          239  84.15%
  MX: GOOGLE                           27   9.51%
  MX: org.ar                            9   3.17%
  MX: net.ar                            4   1.41%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       3   1.06%

[NS 提供商] Host Europe GmbH，域名数 234
  MX: GOOGLE                           96  41.03%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      52  22.22%
  MX: com.ar                           41  17.52%
  MX: GO-DADDY-COM-LLC                 22   9.40%
  MX: ZOHO-AS                           6   2.56%

[NS 提供商] GOOGLE，域名数 233
  MX: GOOGLE                          142  60.94%
  MX: com.ar                           59  25.32%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      11   4.72%
  MX: ZOHO-AS                           9   3.86%
  MX: org.ar                            4   1.72%

[NS 提供商] wiroos.com，域名数 204
  MX: com.ar                          158  77.45%
  MX: GOOGLE                           24  11.76%
  MX: org.ar                            8   3.92%
  MX: net.ar                            7   3.43%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       5   2.45%

[NS 提供商] IFX18747，域名数 192
  MX: com.ar                          155  80.73%
  MX: GOOGLE                           22  11.46%
  MX: org.ar                            8   4.17%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       5   2.60%
  MX: toservers.com                     1   0.52%

[NS 提供商] sedoparking.com，域名数 158
  MX: localhost                       158 100.00%

[NS 提供商] MICROSOFT-CORP-MSN-AS-BLOCK，域名数 141
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      94  66.67%
  MX: GOOGLE                           13   9.22%
  MX: com.ar                           10   7.09%
  MX: unileverservices.com              5   3.55%
  MX: AS2-TRENDMICRO-COM                3   2.13%

[NS 提供商] NSS S.A.，域名数 138
  MX: com.ar                          112  81.16%
  MX: GOOGLE                           12   8.70%
  MX: org.ar                            5   3.62%
  MX: net.ar                            5   3.62%
  MX: wn-power.com                      2   1.45%

[NS 提供商] SERVERCENTRAL，域名数 107
  MX: com.ar                           94  87.85%
  MX: net.ar                            6   5.61%
  MX: GOOGLE                            4   3.74%
  MX: banahosting.com                   1   0.93%
  MX: ZOHO-AS                           1   0.93%

[NS 提供商] SECURITYSERVICES，域名数 106
  MX: SECURITYSERVICES                 66  62.26%
  MX: com.ar                           11  10.38%
  MX: NAMECHEAP-NET                    11  10.38%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       4   3.77%
  MX: register.com                      2   1.89%

[NS 提供商] avnam.net，域名数 98
  MX: com.ar                           88  89.80%
  MX: GOOGLE                            4   4.08%
  MX: org.ar                            3   3.06%
  MX: net.ar                            3   3.06%

[NS 提供商] afraid.org，域名数 86
  MX: GOOGLE                           34  39.53%
  MX: com.ar                           30  34.88%
  MX: ZOHO-AS                           6   6.98%
  MX: net.ar                            3   3.49%
  MX: org.ar                            3   3.49%

[NS 提供商] NETWORK-SOLUTIONS-HOSTING，域名数 85
  MX: com.ar                           65  76.47%
  MX: GOOGLE                            9  10.59%
  MX: net.ar                            4   4.71%
  MX: AUTOMATTIC                        4   4.71%
  MX: org.ar                            2   2.35%

[NS 提供商] lineadns.com，域名数 80
  MX: com.ar                           65  81.25%
  MX: GOOGLE                            8  10.00%
  MX: org.ar                            3   3.75%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2   2.50%
  MX: net.ar                            2   2.50%

[NS 提供商] webhosting-network-services.com，域名数 79
  MX: com.ar                           69  87.34%
  MX: GOOGLE                            4   5.06%
  MX: org.ar                            2   2.53%
  MX: odoo.com                          1   1.27%
  MX: net.ar                            1   1.27%

[NS 提供商] net.ar，域名数 78
  MX: net.ar                           49  62.82%
  MX: com.ar                           19  24.36%
  MX: GOOGLE                            5   6.41%
  MX: pphosted.com                      2   2.56%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       1   1.28%

[NS 提供商] AS17378，域名数 78
  MX: com.ar                           67  85.90%
  MX: GOOGLE                            5   6.41%
  MX: org.ar                            4   5.13%
  MX: net.ar                            2   2.56%

[NS 提供商] hostgator.com，域名数 75
  MX: com.ar                           58  77.33%
  MX: GOOGLE                            9  12.00%
  MX: org.ar                            4   5.33%
  MX: net.ar                            3   4.00%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       1   1.33%

[NS 提供商] duplika.com，域名数 74
  MX: com.ar                           49  66.22%
  MX: GOOGLE                           13  17.57%
  MX: org.ar                            9  12.16%
  MX: net.ar                            3   4.05%

[NS 提供商] zoneedit.com，域名数 70
  MX: GOOGLE                           36  51.43%
  MX: EDNS                             18  25.71%
  MX: com.ar                            6   8.57%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       5   7.14%
  MX: ZOHO-AS                           3   4.29%

[NS 提供商] cdmon.net，域名数 59
  MX: GOOGLE                           38  64.41%
  MX: ZOHO-AS                           6  10.17%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       6  10.17%
  MX: com.ar                            5   8.47%
  MX: org.ar                            1   1.69%

[NS 提供商] OVH SAS，域名数 54
  MX: com.ar                           35  64.81%
  MX: GOOGLE                            5   9.26%
  MX: net.ar                            5   9.26%
  MX: Allytech S.A.                     4   7.41%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       3   5.56%

[NS 提供商] ELSERVER S.R.L，域名数 51
  MX: com.ar                           38  74.51%
  MX: GOOGLE                            9  17.65%
  MX: org.ar                            2   3.92%
  MX: net.ar                            2   3.92%

[NS 提供商] Hetzner Online GmbH，域名数 49
  MX: com.ar                           37  75.51%
  MX: org.ar                            5  10.20%
  MX: GOOGLE                            5  10.20%
  MX: net.ar                            2   4.08%

[NS 提供商] NSONE，域名数 47
  MX: GOOGLE                           16  34.04%
  MX: ZOHO-AS                           9  19.15%
  MX: Cloudflare London, LLC            4   8.51%
  MX: com.ar                            3   6.38%
  MX: GOOGLE-CLOUD-PLATFORM             2   4.26%

[NS 提供商] InterBS S.R.L. BAEHOST，域名数 45
  MX: com.ar                           35  77.78%
  MX: net.ar                            6  13.33%
  MX: GOOGLE                            2   4.44%
  MX: org.ar                            1   2.22%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       1   2.22%

[NS 提供商] cloudns.net，域名数 41
  MX: GOOGLE                           19  46.34%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      10  24.39%
  MX: ZOHO-AS                           5  12.20%
  MX: com.ar                            2   4.88%
  MX: kitsunecloud.net                  1   2.44%

[NS 提供商] Combell NV，域名数 41
  MX: com.ar                           31  75.61%
  MX: GOOGLE                            5  12.20%
  MX: org.ar                            2   4.88%
  MX: net.ar                            1   2.44%
  MX: ZOHO-AS                           1   2.44%

[NS 提供商] hosting-ar.com，域名数 40
  MX: com.ar                           33  82.50%
  MX: GOOGLE                            4  10.00%
  MX: hosting-ar.com                    1   2.50%
  MX: org.ar                            1   2.50%
  MX: net.ar                            1   2.50%

[NS 提供商] DIMENOC，域名数 35
  MX: com.ar                           34  97.14%
  MX: GOOGLE                            1   2.86%

[NS 提供商] HURRICANE，域名数 35
  MX: GOOGLE                           16  45.71%
  MX: com.ar                            7  20.00%
  MX: ZOHO-AS                           4  11.43%
  MX: net.ar                            3   8.57%
  MX: clandestineargentina.com          1   2.86%

[NS 提供商] Allytech S.A.，域名数 34
  MX: com.ar                           28  82.35%
  MX: org.ar                            2   5.88%
  MX: net.ar                            2   5.88%
  MX: GOOGLE                            2   5.88%

[NS 提供商] DIGICERT，域名数 34
  MX: GOOGLE                           14  41.18%
  MX: com.ar                            9  26.47%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       5  14.71%
  MX: hardrock.com                      1   2.94%
  MX: hornetsecurity.com                1   2.94%

[NS 提供商] Gigared S.A.，域名数 32
  MX: com.ar                           27  84.38%
  MX: GOOGLE                            3   9.38%
  MX: net.ar                            2   6.25%

[NS 提供商] inmotionhosting.com，域名数 32
  MX: com.ar                           26  81.25%
  MX: GOOGLE                            3   9.38%
  MX: org.ar                            2   6.25%
  MX: net.ar                            1   3.12%

[NS 提供商] netim.net，域名数 29
  MX: Eurofiber France SAS             27  93.10%
  MX: ovh.net                           1   3.45%
  MX: GOOGLE                            1   3.45%

[NS 提供商] Akamai Connected Cloud，域名数 28
  MX: Akamai Connected Cloud           11  39.29%
  MX: com.ar                            8  28.57%
  MX: fcomet.com                        6  21.43%
  MX: GOOGLE                            3  10.71%

[NS 提供商] digitar.net，域名数 26
  MX: com.ar                           11  42.31%
  MX: RACKSPACE                         7  26.92%
  MX: GOOGLE                            4  15.38%
  MX: org.ar                            2   7.69%
  MX: planisys.net                      1   3.85%

[NS 提供商] registrar-servers.com，域名数 25
  MX: GOOGLE                           11  44.00%
  MX: NAMECHEAP-NET                     6  24.00%
  MX: privateemail.com                  3  12.00%
  MX: ZOHO-AS                           2   8.00%
  MX: com.ar                            2   8.00%

[NS 提供商] rednetargentina.net，域名数 23
  MX: Gigared S.A.                     18  78.26%
  MX: GOOGLE                            5  21.74%

[NS 提供商] ORACLE-BMC-31898，域名数 22
  MX: GOOGLE                           12  54.55%
  MX: com.ar                            7  31.82%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2   9.09%
  MX: APPLE-ENGINEERING                 1   4.55%

[NS 提供商] linode.com，域名数 22
  MX: GOOGLE                           10  45.45%
  MX: com.ar                            6  27.27%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       3  13.64%
  MX: mailchannels.net                  1   4.55%
  MX: Cloudflare London, LLC            1   4.55%

[NS 提供商] GANDI SAS，域名数 21
  MX: GANDI SAS                        16  76.19%
  MX: co.il                             1   4.76%
  MX: ZOHO-AS                           1   4.76%
  MX: zeni.fr                           1   4.76%
  MX: te-dns.net                        1   4.76%

[NS 提供商] nameshield.net，域名数 20
  MX: INCAPSULA                        14  70.00%
  MX: nameshield.com                    4  20.00%
  MX: iptwins.com                       1   5.00%
  MX: mimecast.com                      1   5.00%

[NS 提供商] DIGITALOCEAN-ASN，域名数 20
  MX: com.ar                           18  90.00%
  MX: GOOGLE                            2  10.00%

[NS 提供商] PONYNET，域名数 17
  MX: com.ar                           14  82.35%
  MX: GOOGLE                            1   5.88%
  MX: org.ar                            1   5.88%
  MX: net.ar                            1   5.88%

[NS 提供商] Hostinger International Limited，域名数 16
  MX: com.ar                           13  81.25%
  MX: GOOGLE                            2  12.50%
  MX: CLOUDFLARENET                     1   6.25%

[NS 提供商] dnsmisitio.net，域名数 16
  MX: com.ar                           15  93.75%
  MX: net.ar                            1   6.25%

[NS 提供商] Akamai International B.V.，域名数 15
  MX: pphosted.com                      3  20.00%
  MX: frontbridge.com                   2  13.33%
  MX: AMAZON-02                         2  13.33%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2  13.33%
  MX: GOOGLE                            1   6.67%

[NS 提供商] Safenames Ltd.，域名数 15
  MX: Safenames Ltd.                   14  93.33%
  MX: com.ar                            1   6.67%

[NS 提供商] BIZLAND-SD，域名数 15
  MX: com.ar                           10  66.67%
  MX: GOOGLE                            3  20.00%
  MX: josteando.net                     1   6.67%
  MX: ZOHO-AS                           1   6.67%

[NS 提供商] LIQUIDWEB，域名数 15
  MX: com.ar                            8  53.33%
  MX: RACKSPACE                         4  26.67%
  MX: GOOGLE                            3  20.00%

[NS 提供商] stabletransit.com，域名数 14
  MX: GOOGLE                            6  42.86%
  MX: RACKSPACE                         4  28.57%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2  14.29%
  MX: APPLE-ENGINEERING                 1   7.14%
  MX: com.ar                            1   7.14%

[NS 提供商] site4now.net，域名数 13
  MX: AMAZON-02                        11  84.62%
  MX: GOOGLE                            2  15.38%

[NS 提供商] AS-30083-US-VELIA-NET，域名数 13
  MX: com.ar                            9  69.23%
  MX: GOOGLE                            4  30.77%

[NS 提供商] org.ar，域名数 13
  MX: org.ar                            9  69.23%
  MX: GOOGLE                            2  15.38%
  MX: palermo.edu                       1   7.69%
  MX: com.ar                            1   7.69%

[NS 提供商] register.it，域名数 12
  MX: AMAZON-02                        11  91.67%
  MX: register.it                       1   8.33%

[NS 提供商] G2K ARGENTINA S.A.，域名数 12
  MX: com.ar                            6  50.00%
  MX: GOOGLE                            3  25.00%
  MX: net.ar                            1   8.33%
  MX: g2kcloud.com                      1   8.33%
  MX: g2khosting.com                    1   8.33%

[NS 提供商] wizhosting.com，域名数 12
  MX: com.ar                           12 100.00%

[NS 提供商] AS-NETZERO，域名数 12
  MX: AS-NETZERO                        8  66.67%
  MX: bluetie.com                       4  33.33%

[NS 提供商] contabo.net，域名数 12
  MX: com.ar                            8  66.67%
  MX: ZOHO-AS                           3  25.00%
  MX: org.ar                            1   8.33%

[NS 提供商] freehosting.com，域名数 11
  MX: freehosting.com                   4  36.36%
  MX: com.ar                            3  27.27%
  MX: GOOGLE                            2  18.18%
  MX: org.ar                            1   9.09%
  MX: ZOHO-AS                           1   9.09%

[NS 提供商] PRIVATESYSTEMS，域名数 11
  MX: com.ar                           10  90.91%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       1   9.09%

[NS 提供商] SEDO GmbH，域名数 11
  MX: localhost                        11 100.00%

[NS 提供商] dnsexit.com，域名数 10
  MX: GOOGLE                            4  40.00%
  MX: com.ar                            3  30.00%
  MX: ZOHO-AS                           2  20.00%
  MX: CLOUDFLARENET                     1  10.00%

[NS 提供商] AUTOMATTIC，域名数 10
  MX: GOOGLE                            8  80.00%
  MX: ZOHO-AS                           1  10.00%
  MX: wordpress.com                     1  10.00%

[NS 提供商] markmonitor.com，域名数 10
  MX: markmonitor.com                   6  60.00%
  MX: com.ar                            2  20.00%
  MX: giorgioarmani.it                  1  10.00%
  MX: pphosted.com                      1  10.00%

[NS 提供商] nuthost.com，域名数 10
  MX: com.ar                            9  90.00%
  MX: spamexperts.com                   1  10.00%

=== 数据来源: ar ===
NS 域名数: 13813
MX 域名数: 13906
NS+MX 交集: 13813

=== MX -> NS 条件分布 ===

[MX 提供商] com.ar，域名数 7700
  NS: Dattatec.com                   2479  32.19%
  NS: CLOUDFLARENET                  1143  14.84%
  NS: com.ar                          635   8.25%
  NS: servidoraweb.net                354   4.60%
  NS: aliasdns.net                    301   3.91%

[MX 提供商] GOOGLE，域名数 2112
  NS: CLOUDFLARENET                   604  28.60%
  NS: Dattatec.com                    249  11.79%
  NS: AMAZON-02                       217  10.27%
  NS: GOOGLE                          142   6.72%
  NS: com.ar                          123   5.82%

[MX 提供商] CLOUDFLARENET，域名数 1186
  NS: CLOUDFLARENET                  1171  98.74%
  NS: AMAZON-02                         3   0.25%
  NS: Dattatec.com                      3   0.25%
  NS: NSONE                             2   0.17%
  NS: quicns.cloud                      1   0.08%

[MX 提供商] MICROSOFT-CORP-MSN-AS-BLOCK，域名数 583
  NS: CLOUDFLARENET                   171  29.33%
  NS: MICROSOFT-CORP-MSN-AS-BLOCK      94  16.12%
  NS: Dattatec.com                     63  10.81%
  NS: Host Europe GmbH                 52   8.92%
  NS: com.ar                           43   7.38%

[MX 提供商] ZOHO-AS，域名数 321
  NS: AMAZON-02                       123  38.32%
  NS: CLOUDFLARENET                   113  35.20%
  NS: Dattatec.com                     13   4.05%
  NS: GOOGLE                            9   2.80%
  NS: NSONE                             9   2.80%

[MX 提供商] net.ar，域名数 318
  NS: Dattatec.com                     72  22.64%
  NS: net.ar                           49  15.41%
  NS: CLOUDFLARENET                    45  14.15%
  NS: com.ar                           18   5.66%
  NS: AMAZON-02                         9   2.83%

[MX 提供商] org.ar，域名数 267
  NS: Dattatec.com                     63  23.60%
  NS: CLOUDFLARENET                    30  11.24%
  NS: com.ar                           19   7.12%
  NS: aliasdns.net                     13   4.87%
  NS: servidoraweb.net                 10   3.75%

[MX 提供商] localhost，域名数 169
  NS: sedoparking.com                 158  93.49%
  NS: SEDO GmbH                        11   6.51%

[MX 提供商] GOOGLE-CLOUD-PLATFORM，域名数 150
  NS: AMAZON-02                       129  86.00%
  NS: CLOUDFLARENET                    11   7.33%
  NS: NSONE                             2   1.33%
  NS: afraid.org                        2   1.33%
  NS: silicanetworks.com                1   0.67%

[MX 提供商] mailchannels.net，域名数 70
  NS: CLOUDFLARENET                    69  98.57%
  NS: linode.com                        1   1.43%

[MX 提供商] SECURITYSERVICES，域名数 69
  NS: SECURITYSERVICES                 66  95.65%
  NS: GOOGLE                            1   1.45%
  NS: domainnetwork.se                  1   1.45%
  NS: AMAZON-02                         1   1.45%

[MX 提供商] AMAZON-02，域名数 56
  NS: CLOUDFLARENET                    13  23.21%
  NS: register.it                      11  19.64%
  NS: site4now.net                     11  19.64%
  NS: AMAZON-02                         7  12.50%
  NS: enter-system.com                  3   5.36%

[MX 提供商] RACKSPACE，域名数 40
  NS: CLOUDFLARENET                    17  42.50%
  NS: digitar.net                       7  17.50%
  NS: stabletransit.com                 4  10.00%
  NS: LIQUIDWEB                         4  10.00%
  NS: Host Europe GmbH                  3   7.50%

[MX 提供商] GO-DADDY-COM-LLC，域名数 34
  NS: Host Europe GmbH                 22  64.71%
  NS: CLOUDFLARENET                     5  14.71%
  NS: AMAZON-02                         3   8.82%
  NS: afraid.org                        1   2.94%
  NS: Dattatec.com                      1   2.94%

[MX 提供商] Eurofiber France SAS，域名数 27
  NS: netim.net                        27 100.00%

[MX 提供商] AUTOMATTIC，域名数 25
  NS: CLOUDFLARENET                    17  68.00%
  NS: NETWORK-SOLUTIONS-HOSTING         4  16.00%
  NS: hostgator.net                     3  12.00%
  NS: bunny.net                         1   4.00%

[MX 提供商] NAMECHEAP-NET，域名数 23
  NS: SECURITYSERVICES                 11  47.83%
  NS: registrar-servers.com             6  26.09%
  NS: CLOUDFLARENET                     4  17.39%
  NS: sonvisiones.website               1   4.35%
  NS: rdgmedia.com                      1   4.35%

[MX 提供商] pphosted.com，域名数 21
  NS: Akamai International B.V.         3  14.29%
  NS: SECURITYSERVICES                  2   9.52%
  NS: net.ar                            2   9.52%
  NS: AMAZON-02                         2   9.52%
  NS: NSONE                             2   9.52%

[MX 提供商] Safenames Ltd.，域名数 18
  NS: Safenames Ltd.                   14  77.78%
  NS: safenames.com                     2  11.11%
  NS: SECURITYSERVICES                  1   5.56%
  NS: Host Europe GmbH                  1   5.56%

[MX 提供商] EDNS，域名数 18
  NS: zoneedit.com                     18 100.00%

[MX 提供商] Gigared S.A.，域名数 18
  NS: rednetargentina.net              18 100.00%

[MX 提供商] Cloudflare London, LLC，域名数 18
  NS: NSONE                             4  22.22%
  NS: CLOUDFLARENET                     4  22.22%
  NS: AMAZON-02                         3  16.67%
  NS: Dattatec.com                      2  11.11%
  NS: linode.com                        1   5.56%

[MX 提供商] Delta HighTech Ltd.，域名数 17
  NS: AMAZON-02                        16  94.12%
  NS: abovedomains.com                  1   5.88%

[MX 提供商] AS2-TRENDMICRO-COM，域名数 17
  NS: AMAZON-02                         5  29.41%
  NS: Host Europe GmbH                  3  17.65%
  NS: MICROSOFT-CORP-MSN-AS-BLOCK       3  17.65%
  NS: com.ar                            3  17.65%
  NS: Dattatec.com                      2  11.76%

[MX 提供商] GANDI SAS，域名数 16
  NS: GANDI SAS                        16 100.00%

[MX 提供商] APPLE-ENGINEERING，域名数 16
  NS: CLOUDFLARENET                     9  56.25%
  NS: afraid.org                        2  12.50%
  NS: stabletransit.com                 1   6.25%
  NS: ORACLE-BMC-31898                  1   6.25%
  NS: zoneedit.com                      1   6.25%

[MX 提供商] INCAPSULA，域名数 14
  NS: nameshield.net                   14 100.00%

[MX 提供商] Akamai Connected Cloud，域名数 12
  NS: Akamai Connected Cloud           11  91.67%
  NS: CLOUDFLARENET                     1   8.33%

[MX 提供商] 101domain.com，域名数 10
  NS: CLOUDFLARENET                     9  90.00%
  NS: fasttrackdns.com                  1  10.00%
