IONOS SE	IONOS SE	36712
Host Europe GmbH	GO-DADDY-COM-LLC	5944
T-Mobile Austria GmbH	T-Mobile Austria GmbH	1759
one.com	One.com A/S	2406
world4you.at	aaronclean.at	1
hosttech.at	hosttech GmbH	1583
GOOGLE	GOOGLE	2510
IONOS SE	MICROSOFT-CORP-MSN-AS-BLOCK	1823
world4you.at	familycherries.at	1
INTERNET CZ, a.s.	MICROSOFT-CORP-MSN-AS-BLOCK	20
world4you.at	Nessus GmbH	31
Hetzner Online GmbH	kravmaga-salzburg.at	1
BK-DAT Electronics e.U.	BK-DAT Electronics e.U.	65
Nessus GmbH	Nessus GmbH	22461
Host Europe GmbH	Host Europe GmbH	9867
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH	36238
ascio.com	Cloudflare London, LLC	38
Hetzner Online GmbH	dogado GmbH	7100
a1.net	Telekom Austria	9491
sedoparking.com	localhost	10668
world4you.at	MICROSOFT-CORP-MSN-AS-BLOCK	4443
internex.at	kleeblattcampings.at	1
ipax.at	IPAX GmbH	954
internex.at	archimedline.at	1
Hostpoint AG	Hostpoint AG	5528
Hetzner Online GmbH	Hetzner Online GmbH	12397
world4you.at	erlebnistouren.at	1
domainers.de	saugroboter.at	1
checkdomain.de	dogado GmbH	690
hotdomains2.at	relex.at	1
Neue Medien Muennich GmbH	23M GmbH	36
a1.net	MICROSOFT-CORP-MSN-AS-BLOCK	3158
OVH SAS	OVH SAS	3297
Hostpoint AG	MICROSOFT-CORP-MSN-AS-BLOCK	102
NSONE	CLOUDFLARENET	4176
ipcom GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	1953
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	1694
internex.at	bauhuette.at	1
T-Mobile Austria GmbH	mymagenta.business	8429
world4you.at	robert-hager.at	1
ewdns.ch	everyware.ch	1
world4you.at	medimundus.at	1
hoststar.hosting	laurakamhuber.at	1
IForce IT GmbH	kondition.at	1
hoststar.hosting	kalidesign.at	1
CLOUDFLARENET	lagerplatz.at	1
robotindustries.com	robotindustries.at	1
internex.at	wepingit.at	1
ACTIVE 24, s.r.o.	WebSupport s.r.o.	1064
world4you.at	walkyourdog.at	1
ipcom GmbH	pichlerpharma.at	1
SECURITYSERVICES	SECURITYSERVICES	2134
hostprofis.com	kapitalvermehrung.at	1
schlundtech.de	InterNetX GmbH	277
23M GmbH	23M GmbH	312
Hetzner Online GmbH	centre.at	1
Nessus GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	2377
AUTOMATTIC	AUTOMATTIC	85
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	6870
world4you.at	epassbild.at	1
NETPLANET GmbH	net-shop.at	1
ANEXIA Internetdienstleistungs GmbH	apanet.at	37
ronet.de	KOMRO Gesellschaft fuer Telekommunikation mit beschraenkter Haftung	172
Hetzner Online GmbH	23M GmbH	73
CLOUDFLARENET	octosuite.at	1
ipcom GmbH	mail-redirect.de	794
Core-Backbone GmbH	Mittwald CM Service GmbH & Co. KG	3110
Host Europe GmbH	famai.at	1
