systemdns.com	MICROSOFT-CORP-MSN-AS-BLOCK	29
Dreamscape Networks Limited	com.au	2755
CLOUDFLARENET	com.au	2772
com.au	MICROSOFT-CORP-MSN-AS-BLOCK	1266
SECURITYSERVICES	GOOGLE	180
AMAZON-02	5G NETWORK OPERATIONS PTY LTD	425
Host Europe GmbH	GO-DADDY-COM-LLC	1785
Dreamscape Networks Limited	ds.network	479
AMAZON-02	GOOGLE-CLOUD-PLATFORM	1974
CLOUDFLARENET	CLOUDFLARENET	1472
Dreamscape Networks Limited	GOOGLE	1408
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	2978
CLOUDFLARENET	net.au	328
net.au	com.au	3144
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	5356
Host Europe GmbH	GOOGLE	4050
GOOGLE	GOOGLE	3196
net.au	ZOHO-AS	58
CLOUDFLARENET	GOOGLE	3442
myhostmate.net	myhostmate.net	2
AMAZON-02	MICROSOFT-CORP-MSN-AS-BLOCK	5252
net.au	MICROSOFT-CORP-MSN-AS-BLOCK	2969
CLOUDFLARENET	msv1.invalid	18
AMAZON-02	GOOGLE	2810
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	10163
AMAZON-02	netregistry.net	874
net.au	GOOGLE	1759
Trellian Pty. Limited	Trellian Pty. Limited	2810
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02	18
AMAZON-02	mymailhosting.com	124
AMAZON-02	mail-forwarder.io	1527
Wholesale Services Provider	com.au	145
Akamai International B.V.	fireeyecloud.com	1
Akamai International B.V.	AMAZON-02	9
AMAZON-02	com.au	3015
CLOUDFLARENET	AMAZON-AES	19
com.au	AMAZON-02	46
net.au	AMAZON-02	64
SECURITYSERVICES	com.au	108
GOOGLE	MICROSOFT-CORP-MSN-AS-BLOCK	1115
AMAZON-02	h-email.net	796
net.au	net.au	1944
dnspackage.com	GOOGLE	326
AMAZON-02	CLOUDFLARENET	31
net.au	msv1.invalid	20
Wholesale Services Provider	MICROSOFT-CORP-MSN-AS-BLOCK	31
sedoparking.com	localhost	383
DATACOM SYSTEMS AU PTY LTD	com.au	4
DIGICERT	GOOGLE	88
Host Europe GmbH	com.au	588
SECURITYSERVICES	Forcepoint Cloud Ltd	2
com.au	GOOGLE	697
CLOUDFLARENET	org.au	132
edu.au	MICROSOFT-CORP-MSN-AS-BLOCK	5
com.au	x-ion GmbH	2
CLOUDFLARENET	AUTOMATTIC	344
SECURITYSERVICES	NAMECHEAP-NET	749
Host Universal Pty Ltd	Host Universal Pty Ltd	107
hostgator.com	com.au	339
com.au	com.au	4065
NSONE	GOOGLE	404
CLOUDFLARENET	Fastmail Pty Ltd	191
Dreamscape Networks Limited	id.au	59
clusterdns.net	com.au	97
GOOGLE	com.au	474
Host Universal Pty Ltd	com.au	321
NETWORK-SOLUTIONS-HOSTING	com.au	129
axisonlineservices.com	com.au	1
dnspackage.com	MICROSOFT-CORP-MSN-AS-BLOCK	327
hoster912.com	com.au	1
Dreamscape Networks Limited	AUTOMATTIC	400
Host Europe GmbH	APPLE-ENGINEERING	88
CLOUDFLARENET	no-ip.org	1
Dreamscape Networks Limited	Chinanet	8
BIZLAND-SD	org.au	6
CLOUDFLARENET	id.au	56
net.au	Proton AG	45
Dreamscape Networks Limited	MICROSOFT-CORP-MSN-AS-BLOCK	637
dnspackage.com	AUTOMATTIC	20
SECURITYSERVICES	SECURITYSERVICES	531
net.au	USINTERNET	4
dnspackage.com	Dreamscape Networks Limited	87
hover.com	MICROSOFT-CORP-MSN-AS-BLOCK	7
hover.com	hostedemail.com	84
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	141
iseek Communications Pty Ltd	MICROSOFT-CORP-MSN-AS-BLOCK	67
hostgator.com	net.au	46
NETWORK-SOLUTIONS-HOSTING	GOOGLE	167
com.au	ppe-hosted.com	28
AMAZON-02	net.au	543
AMAZON-02	AMAZON-02	515
UNIFIEDLAYER-AS-1	com.au	64
SYNERGY WHOLESALE PTY LTD	MICROSOFT-CORP-MSN-AS-BLOCK	361
NSONE	GOOGLE-CLOUD-PLATFORM	17
Host Europe GmbH	ppe-hosted.com	455
CLOUDFLARENET	APPLE-ENGINEERING	76
GOOGLE	Proton AG	15
Cloud DNS Ltd	MICROSOFT-CORP-MSN-AS-BLOCK	101
ozevisionwebhosting.com	LIQUIDNETLTD1	5
AMAZON-02	pphosted.com	91
Host Universal Pty Ltd	MICROSOFT-CORP-MSN-AS-BLOCK	83
typicalhosting.com	com.au	1
CLOUDFLARENET	QUICKPACKET	35
AMAZON-02	DIGITALOCEAN-ASN	11
DIGICERT	AMAZON-02	9
SECURITYSERVICES	SQUIXA PTY LIMITED	45
AMAZON-02	ppe-hosted.com	84
GOOGLE	m2bp.com	1
Dreamscape Networks Limited	AMAZON-02	11
noc83.com	com.au	2
supremepanel.com	com.au	7
net.au	NAMECHEAP-NET	6
MICROSOFT-CORP-MSN-AS-BLOCK	SECURITYSERVICES	3
systemdns.com	hostedemail.com	102
AMAZON-02	AS2-TRENDMICRO-COM	121
SECURITYSERVICES	AMAZON-02	39
CLOUDFLARENET	AMAZON-02	216
AUTOMATTIC	com.au	34
CLOUDFLARENET	RACKSPACE	78
AUTOMATTIC	AUTOMATTIC	61
SYNERGY WHOLESALE PTY LTD	com.au	890
CLOUDFLARENET	Cloudflare London, LLC	23
net.au	Mammoth Media Pty Ltd	84
NSONE	MICROSOFT-CORP-MSN-AS-BLOCK	53
com.au	org.au	109
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK	177
dnspackage.com	id.au	2
Host Universal Pty Ltd	GOOGLE	75
sphost7.com	com.au	1
AMAZON-02	id.au	105
GOOGLE	APPLE-ENGINEERING	12
AMAZON-02	org.au	153
AMAZON-02	ZOHO-AS	75
net.au	id.au	126
Dreamscape Networks Limited	org.au	122
CLOUDFLARENET	mailchannels.net	189
AMAZON-02	WHG Hosting Services Ltd	120
jagoanhosting.com	com.au	1
CLOUDFLARENET	SQUIXA PTY LIMITED	124
SOFTLAYER	GOOGLE	6
Dreamscape Networks Limited	net.au	252
