BIT BV	CLDIN B.V.	1397
auto-dns.com	MICROSOFT-CORP-MSN-AS-BLOCK	137
lwsdns.com	relation-ing.be	1
combell.net	mailprotect.be	35768
combell.net	MICROSOFT-CORP-MSN-AS-BLOCK	9224
Host Europe GmbH	sovisol.be	1
dovendi.eu	m2bp.com	9562
GOOGLE	GOOGLE	3776
Cloud DNS Ltd	GOOGLE	199
keepalive.be	alta-uitgeverij.be	1
combell.net	outofthecrowd.com	1
one.com	One.com A/S	34275
OVH SAS	OVH SAS	73050
CLOUDFLARENET	OVH SAS	1022
mijndnsserver.nl	MICROSOFT-CORP-MSN-AS-BLOCK	149
destiny.be	MICROSOFT-CORP-MSN-AS-BLOCK	29
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	8184
easyhost.be	MICROSOFT-CORP-MSN-AS-BLOCK	1192
GOOGLE	MICROSOFT-CORP-MSN-AS-BLOCK	1234
Telenet BV	MICROSOFT-CORP-MSN-AS-BLOCK	3612
Maehdros S.A.	maehdros.com	4
CLOUDFLARENET	takano.be	1
COGENT-174	COGENT-174	206
CLDIN B.V.	CLDIN B.V.	7459
ipcom GmbH	GOOGLE	223
lwsdns.com	mp-concept.be	1
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	4110
CLDIN B.V.	MICROSOFT-CORP-MSN-AS-BLOCK	727
Akamai International B.V.	GANDI SAS	33
JWE S.a r.l.	doclertv.be	1
lwsdns.com	easyfleet.be	1
NordNet SA	Petit Press, a.s.	93
level27.eu	Level 27 BVBA	1140
Scaleway S.a.s.	MICROSOFT-CORP-MSN-AS-BLOCK	31
DIGITALOCEAN-ASN	Stichting DIGI NL	3758
hix.nl	harrisboats.be	1
Signet B.V.	Signet B.V.	3492
Hetzner Online GmbH	GOOGLE	197
CLDIN B.V.	black-leo.be	1
GANDI SAS	GANDI SAS	7294
Tilaa B.V.	pizzanostra.be	1
CLOUDFLARENET	NorthC Deutschland GmbH	22
Telenet BV	AMAZON-02	84
lwsdns.com	blinkping.be	1
e-net-b.net	xn--terwagne-levage-jnb.be	1
dlbv.be	dlbv.be	1
rzone.de	rzone.de	9437
Signet B.V.	dronegraphy.be	1
easyhost.be	mailprotect.be	11441
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	5010
CLOUDFLARENET	dean-barlage.be	1
Telenet BV	GOOGLE	266
neostrada.nl	aanrechtdirect.be	1
Signet B.V.	e-powerlocker.be	1
ns14.net	MICROSOFT-CORP-MSN-AS-BLOCK	365
Signet B.V.	GOOGLE	1036
CLOUDFLARENET	GOOGLE	4571
AMAZON-02	GOOGLE-CLOUD-PLATFORM	2371
Contabo GmbH	dreamteamflanders.be	1
european-server.com	mailprotect.be	16463
Host Europe GmbH	GO-DADDY-COM-LLC	2388
m2ict.com	Tigron bv	15
DIGITALOCEAN-ASN	MICROSOFT-CORP-MSN-AS-BLOCK	1441
Vautron Rechenzentrum AG	WIIT AG	49
LeaseWeb Netherlands B.V.	edc.nl	2
Eurofiber Cloud Infra B.V.	steflibbrecht.be	1
Solcon Internetdiensten B.V.	jansen-noy.be	1
CLOUDFLARENET	polykrom.be	1
IONOS SE	IONOS SE	3834
IONOS SE	NorthC Deutschland GmbH	3804
Signet B.V.	uwkerstpakket.be	1
dnsnode.net	fediap.be	13
cloud86.nl	MICROSOFT-CORP-MSN-AS-BLOCK	127
SECURITYSERVICES	CLOUDFLARENET	12
NUCDN	MICROSOFT-CORP-MSN-AS-BLOCK	1422
combell.net	GOOGLE	2235
hosteur.com	autosprint.be	1
NetBase BV	NetBase BV	1405
WIN S.A.	WIN S.A.	86
one.com	ppe-hosted.com	1
Signet B.V.	MICROSOFT-CORP-MSN-AS-BLOCK	1861
Hetzner Online GmbH	computools-distribution.com	6
Combell NV	MICROSOFT-CORP-MSN-AS-BLOCK	325
Host Europe GmbH	GOOGLE	1694
LeaseWeb Netherlands B.V.	dotcoach.be	1
OVH SAS	MICROSOFT-CORP-MSN-AS-BLOCK	9941
register.be	mailprotect.be	3113
dotroll.com	CLOUDFLARENET	14
infomaniak.com	Infomaniak Network SA	3064
exsilia.net	textilearchitecture.be	1
