Knipp Medien und Kommunikation GmbH	ScaleUp Technologies GmbH & Co. KG	79
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK	47
ventohost.com	alto.cx	1
SECURITYSERVICES	NAMECHEAP-NET	2395
nyx.cx	nyx.cx	1
ad.jp	ne.jp	1
CLOUDFLARENET	sper.cx	1
SECURITYSERVICES	proton.me	1
CLOUDFLARENET	CLOUDFLARENET	365
1233dns.com	outcfdns000.com	1
SECURITYSERVICES	Fastmail Pty Ltd	19
SECURITYSERVICES	GOOGLE	213
NForce Entertainment B.V.	topdns.com	8
CLOUDFLARENET	APPLE-ENGINEERING	62
cloudpit.com	secure-mailgate.com	2
liquidweb.com	RACKSPACE	1
CLOUDFLARENET	fudun.net	1
surgespace.net	bn.cx	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	11
dns.com	4f555.com	4
CLOUDFLARENET	OVH SAS	10
CLOUDFLARENET	GOOGLE	273
alfahosting.info	moebius.cx	1
xundns.com	xg-6-cdn.com	28
dnspod.net	cn2.hk	1
CLOUDFLARENET	ZOHO-AS	28
CLOUDFLARENET	alder.cx	1
CLOUDFLARENET	Proton AG	120
calibour.com	lyratris.net	1
CLOUDFLARENET	AMAZON-02	130
xundns.com	92kun.com	101
online.net	online.net	2
hostgator.com	hto.cx	1
christoph.cx	christoph.cx	3
xundns.com	aisdun-cname.com	38
awsdns-17.net	AMAZON-02	1
CLOUDFLARENET	NAMECHEAP-NET	136
ab stract ltd	Proton AG	14
NForce Entertainment B.V.	ZOHO Corporation B.V	2
NSONE	GOOGLE	18
CLOUDFLARENET	AUTOMATTIC	11
bonzahosting.com	mmc.cx	1
NetActuate, Inc	GOOGLE	13
CLOUDFLARENET	karpenoktem.nl	1
NSONE	Cloudflare London, LLC	2
OVH SAS	OVH SAS	41
awsdns-37.org	AMAZON-02	1
bupropion.org	mailfence.com	1
AMAZON-02	a24a.cx	1
xundns.com	dnscdn188.com	10
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	24
sedoparking.com	localhost	119
Akamai Connected Cloud	pandimensional.net	5
CLOUDFLARENET	AMAZON-AES	16
VITAL-DNS	GOOGLE	1
ORACLE-BMC-31898	mailhop.org	3
NSONE	hey.com	1
CLOUDFLARENET	ticktoo.net	1
IONOS SE	mjs.cx	1
PONYNET	gootse.cx	1
hexon-is.nl	hexon-is.nl	2
simply.com	simply.com	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM	16
afraid.org	GOOGLE	5
cloudns.net	neoraptor.cx	1
