CLOUDFLARENET	hostinger.es	3
Magticom Ltd.	GOOGLE	34
CLOUDFLARENET	ZOHO-AS	136
proservice.ge	hoponhopoffbus.ge	1
CLOUDFLARENET	CLOUDFLARENET	578
netim.net	Eurofiber France SAS	73
CLOUDFLARENET	NAMECHEAP-NET	23
AMAZON-02	GOOGLE-CLOUD-PLATFORM	58
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	64
proservice.ge	GOOGLE	145
Host Europe GmbH	GOOGLE	29
Magticom Ltd.	online.ge	3
proservice.ge	igs.ge	1
AMAZON-02	GOOGLE	488
Hetzner Online GmbH	GOOGLE	48
CLOUDFLARENET	AUTOMATTIC	107
CLOUDFLARENET	brother.ge	1
Magticom Ltd.	itsl.ge	1
registrar-servers.com	GOOGLE	6
proservice.ge	geeg.ge	1
CLOUDFLARENET	YANDEX LLC	29
Hetzner Online GmbH	Georgian Research and Educational Networking Association (GRENA)	1
Caucasus Online Ltd.	GOOGLE	6
unknown	GOOGLE	11
CLOUDFLARENET	GOOGLE	641
proservice.ge	demasi.ge	1
CLOUDFLARENET	luxweb.ge	1
CLOUDFLARENET	Hetzner Online GmbH	6
AMAZON-02	hostedemail.com	50
proservice.ge	style-distribution.ge	1
Cloud 9 Ltd.	calm.ge	1
greengeeks.net	verum.ge	1
CLOUDFLARENET	qboxmail.com	1
site4now.net	AMAZON-02	9
Proservice LLC	cohen.ge	1
Hetzner Online GmbH	sellers.ge	1
CLOUDFLARENET	dpt.ge	1
proservice.ge	gg-group.ge	1
Magticom Ltd.	libra.ge	1
GOOGLE	GOOGLE	164
CLOUDFLARENET	fantasy.ge	1
proservice.ge	3d-tours.ge	1
AMAZON-02	materiali.ge	1
AMAZON-02	Delta HighTech Ltd.	25
Cavea Plus LLC	atmos.ge	1
cpanel.ge	MICROSOFT-CORP-MSN-AS-BLOCK	32
Proservice LLC	gaige.ge	1
proservice.ge	ns.ge	1
proservice.ge	wewillwin.ge	1
proservice.ge	tcs.ge	1
Georgian Research and Educational Networking Association (GRENA)	Georgian Research and Educational Networking Association (GRENA)	534
hostgator.com	absaudit.ge	1
Hetzner Online GmbH	usashop.ge	1
routing.net	ZOHO Corporation B.V	1
JSC Silknet	GOOGLE	8
Magticom Ltd.	alc.ge	1
proservice.ge	azure.ge	1
Proservice LLC	gorimarket.ge	1
Proservice LLC	luminex.ge	1
fastcloud.ge	solvi.ge	1
gnerc.ge	gnerc.ge	1
CLOUDFLARENET	Beget LLC	6
Proservice LLC	lilia.ge	1
SECURITYSERVICES	NAMECHEAP-NET	93
Hetzner Online GmbH	ZOHO-AS	12
cpanel.ge	twitch.ge	1
radiomaestro.ge	radiomaestro.ge	1
JSCB Bank of Georgia	JSCB Bank of Georgia	16
Proservice LLC	keeper.ge	1
Proservice LLC	GOOGLE	115
Georgian Research and Educational Networking Association (GRENA)	GOOGLE	126
CLOUDFLARENET	flink.ge	1
cpanel.ge	ZOHO-AS	14
Hetzner Online GmbH	cworks.ge	1
proservice.ge	fcsioni.ge	1
proservice.ge	gttv.ge	1
JSC Silknet	csrdg.ge	1
AMAZON-02	MICROSOFT-CORP-MSN-AS-BLOCK	55
proservice.ge	wre.ge	1
hostarmada.net	hostarmada.net	1
OVH SAS	mondo.ge	1
proservice.ge	tbstravel.ge	1
Hetzner Online GmbH	cinexpress.ge	1
cloudns.net	MICROSOFT-CORP-MSN-AS-BLOCK	18
proservice.ge	oldschool.ge	1
GANDI SAS	GANDI SAS	39
gransy.com	tedom.ge	1
Hetzner Online GmbH	tbf.ge	1
MICROSOFT-CORP-MSN-AS-BLOCK	bas.ge	1
CLOUDFLARENET	Caucasus Online Ltd.	1
proservice.ge	luko.ge	1
proservice.ge	asati.ge	1
Proservice LLC	grandzone.ge	1
proservice.ge	alvazi.ge	1
register.it	Register S.p.A.	16
Proservice LLC	MICROSOFT-CORP-MSN-AS-BLOCK	25
Proservice LLC	gts.ge	1
gransy.com	tld.ge	1
Hetzner Online GmbH	bosch-home.ge	1
IONOS SE	IONOS SE	12
JSC Silknet	outbox.ge	2
proservice.ge	hemaco.ge	1
Proservice LLC	altaexpert.ge	1
supremedns.com	supremebox.com	3
Magticom Ltd.	YANDEX LLC	1
linode.com	cca.ge	1
OVH SAS	uniforma.ge	1
cpanel.ge	am-com.ge	1
AMAZON-02	banovani.ge	1
JSC Silknet	bta.ge	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	206
OVH SAS	GOOGLE	7
proservice.ge	megako.ge	1
proservice.ge	gemrieli.ge	1
proservice.ge	baden.ge	1
Georgian Research and Educational Networking Association (GRENA)	cleanings.ge	1
proservice.ge	easyhandling.ge	1
Georgian Research and Educational Networking Association (GRENA)	MICROSOFT-CORP-MSN-AS-BLOCK	23
.	mynotary.ge	1
cpanel.ge	gehouse.ge	1
speedydns.net	mylexus.ge	1
Magticom Ltd.	supply.ge	1
com.ua	kmk.ge	1
edrive-hosting.cz	GOOGLE	1
absecurity.lv	absecurity.lv	1
Hetzner Online GmbH	finders.ge	1
LLC VK	LLC VK	9
Proservice LLC	craftory.ge	1
proservice.ge	clarks.ge	1
fastcloud.ge	automani.ge	1
proservice.ge	titanhq.com	1
proservice.ge	stateless.ge	1
Hetzner Online GmbH	dmnotary.ge	1
Magticom Ltd.	paragongroup.ge	1
Georgian Research and Educational Networking Association (GRENA)	omniconnect.ge	1
bsgeorgia.ge	bsgeorgia.ge	1
cpanel.ge	aba.ge	1
proservice.ge	photoboothinc.ge	1
Proservice LLC	masterclass.ge	1
beeline.ge	MICROSOFT-CORP-MSN-AS-BLOCK	2
cpanel.ge	thc.ge	1
kasperskylabs.net	kaspersky-labs.com	1
reg.ru	Domain names registrar REG.RU, Ltd	15
hostgator.com	cozy.ge	1
Caucasus Digital Network LTD	cdn.ge	7
geopay.ge	viko.ge	1
proservice.ge	lasocki.ge	1
Hetzner Online GmbH	bucho.ge	1
proservice.ge	navitas.ge	1
proservice.ge	hyundaipower.ge	1
Magticom Ltd.	crafts.ge	1
Proservice LLC	sio.ge	1
tinyurl.com	tinyurl.com	1
proservice.ge	gsg-ff.ge	1
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	13
CLOUDFLARENET	imss.ge	1
CLOUDFLARENET	jabaservices.ge	1
proservice.ge	komorebi.ge	1
twincloudhost.com	LLC VK	1
CLOUDFLARENET	host.mw	1
Proservice LLC	innovatis.ge	1
proservice.ge	ZOHO-AS	23
nic.ru	Jsc ru-center	5
cpanel.ge	godoli.ge	1
CLOUDFLARENET	princes-nobles.ge	1
JSC Silknet	indent.ge	1
Alternet Ltd	hfu.ge	1
umi.ru	YANDEX LLC	1
hostings.ge	gsp.ge	1
Proservice LLC	lagidze.ge	1
Cloud 9 Ltd.	solomedia.ge	1
proservice.ge	cabp.ge	1
Hetzner Online GmbH	kargo.ge	1
Hetzner Online GmbH	Hetzner Online GmbH	50
Host Europe GmbH	Caucasus Online Ltd.	23
hostgator.com	topwed.ge	1
JSC Silknet	geographic.ge	1
webpouyan.com	ezdevaj.ge	1
PONYNET	techmart.ge	1
CLOUDFLARENET	nailedit.ge	1
proservice.ge	khaledalrajhi.ge	1
Georgian Research and Educational Networking Association (GRENA)	mixtourism.ge	1
CLOUDFLARENET	ZOHO Corporation B.V	62
proservice.ge	erigi.ge	1
cpanel.ge	zega.ge	1
Magticom Ltd.	cityheart.ge	1
G-Core Labs S.A.	netease.com	1
AUTOMATTIC	GOOGLE	2
OVH SAS	vitamarket.ge	1
Proservice LLC	atstore.ge	1
proservice.ge	LLC VK	6
proservice.ge	ifs.ge	1
geopay.ge	gala.ge	1
cpanel.ge	flytravel.ge	1
gear.host	gearhost.com	1
sprinthost.net	motosystems.ge	1
proservice.ge	yourcorner.ge	1
inmotionhosting.com	ilearn.ge	1
cpanel.ge	flax.ge	1
cpanel.ge	GOOGLE	86
SECURITYSERVICES	SECURITYSERVICES	53
CLOUDFLARENET	SpaceWeb Ltd	1
Hetzner Online GmbH	advocats.ge	1
fastcloud.ge	westinvest.ge	1
AMAZON-02	com.ua	1
proservice.ge	geography.ge	1
cpanel.ge	rheinol.ge	1
inet.ge	parlament.ge	1
cpanel.ge	mybox.ge	1
hostven07.com	economist.ge	1
Beget LLC	Beget LLC	47
Hetzner Online GmbH	multibuild.ge	1
Proservice LLC	onair.ge	1
Magticom Ltd.	ZOHO-AS	6
contabo.net	kbb.ge	1
CLOUDFLARENET	mailchannels.net	11
Georgian Research and Educational Networking Association (GRENA)	service-lab.ge	1
Magticom Ltd.	avangardltd.ge	1
CLOUDFLARENET	gogex.ge	1
proservice.ge	rebirth.ge	1
CLOUDFLARENET	Georgian Research and Educational Networking Association (GRENA)	31
bot.local	batumioilterminal.com	1
turhanserver.com	GOOGLE	1
cpanel.ge	uta.ge	1
Proservice LLC	mylands.ge	1
proservice.ge	str-consulting.ge	1
AMAZON-02	gemtechs.ge	1
Proservice LLC	hotelabanotubani.ge	1
proservice.ge	masterdesign.ge	1
spaceweb.pro	SpaceWeb Ltd	10
proservice.ge	ergo.ge	1
CLOUDFLARENET	alta.ge	2
Hetzner Online GmbH	mycafe.ge	1
CLOUDFLARENET	carsphere.ge	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	19
singleplan.com	games.ge	1
Magticom Ltd.	gg2011.ge	1
Leaseweb Deutschland GmbH	ogresidence.ge	1
atakdomain.com	MICROSOFT-CORP-MSN-AS-BLOCK	2
Hetzner Online GmbH	lionterminals.ge	1
Hetzner Online GmbH	blog.ge	1
geopay.ge	genc.ge	1
cpanel.ge	pneuma.ge	1
proservice.ge	span.ge	1
proservice.ge	andromed.ge	1
proservice.ge	agagi.ge	1
Host Europe GmbH	etoro.ge	1
Proservice LLC	manutd.ge	1
UNIFIEDLAYER-AS-1	coalition.ge	1
proservice.ge	myoffice24.ge	1
proservice.ge	piko.ge	1
HURRICANE	mm.ge	3
Akamai Connected Cloud	harmonia.ge	1
fastcloud.ge	masoft.ge	1
euralb.net	vidora.ge	1
twincloudhost.com	southvalley.ge	1
Hangzhou Alibaba Advertising Co.,Ltd.	Tencent Building, Kejizhongyi Avenue	2
proservice.ge	cyber.ge	1
Georgian Research and Educational Networking Association (GRENA)	ecivics.ge	1
hostgator.com	ucmas.ge	1
Georgian Research and Educational Networking Association (GRENA)	geomade.ge	1
guzelhosting.com	wetranslate.ge	1
cloudns.net	ZOHO Corporation B.V	2
Georgian Research and Educational Networking Association (GRENA)	sono.ge	1
proservice.ge	smsplatform.ge	1
truehostdns.com	rera.ge	1
cpanel.ge	smssoft.ge	1
NSONE	GOOGLE	19
alnadeko.com	cupidon.ge	1
Cloud 9 Ltd.	mwp.ge	1
ico.ge	ico.ge	1
proservice.ge	ecovis.ge	1
CLOUDFLARENET	megatron.ge	1
CLOUDFLARENET	tcv.ge	1
proservice.ge	mcb.ge	1
hms.ge	wescan.ge	1
proservice.ge	MICROSOFT-CORP-MSN-AS-BLOCK	80
Georgian Research and Educational Networking Association (GRENA)	newspress.ge	2
Hetzner Online GmbH	gfspace.ge	1
CLOUDFLARENET	amsgroup.ge	1
Georgian Research and Educational Networking Association (GRENA)	barron.ge	1
Proservice LLC	horoskop.ge	1
CLOUDFLARENET	mydoc.ge	1
papiliogroup.ge	papiliogroup.ge	1
liuhua.net	APPLE-ENGINEERING	1
Proservice LLC	dekader.ge	1
Proservice LLC	tec.ge	1
iptwins.com	iptwins.com	6
cpanel.ge	smarthome.ge	1
Georgian Research and Educational Networking Association (GRENA)	realestate.ge	1
proservice.ge	perspectiva.ge	1
proservice.ge	scb.ge	1
domainoo.fr	domainoo.fr	2
Hetzner Online GmbH	hangebi.ge	1
CLOUDFLARENET	1and1.com	1
Georgian Research and Educational Networking Association (GRENA)	evim.ge	1
Proservice LLC	itcore.ge	1
cpanel.ge	aupair.ge	1
Georgian Research and Educational Networking Association (GRENA)	terranet.ge	1
sedoparking.com	localhost	121
fastcloud.ge	mozaiko.ge	1
Proservice LLC	ZOHO-AS	12
cyberia.com	midi.ge	1
cpanel.ge	mgmotors.ge	1
Hetzner Online GmbH	acmilan.ge	1
Cloud 9 Ltd.	aerp.ge	1
proservice.ge	fan.ge	1
404.name	404.name	1
proservice.ge	scanscope.net	1
garmtech.com	garmtech.net	1
GOOGLE	Georgian Research and Educational Networking Association (GRENA)	7
DIGITALOCEAN-ASN	ZOHO Corporation B.V	1
JSC Silknet	mymobile.ge	1
Proservice LLC	comfortmix.ge	1
WorldStream B.V.	squid.ge	1
cpanel.ge	militaria.ge	1
Connect Ltd.	GOOGLE	10
