CLOUDFLARENET	GOOGLE	12
CLOUDFLARENET	ptv.gm	1
AMAZON-02	grb.gm	1
DIGICERT	QUICKPACKET	14
SECURITYSERVICES	SECURITYSERVICES	20
unique.gm	MICROSOFT-CORP-MSN-AS-BLOCK	1
Strato GmbH	GOOGLE	11
CLOUDFLARENET	therepublic.gm	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM	9
CLOUDFLARENET	igf.gm	1
AMAZON-02	basse.gm	1
Cloud DNS Ltd	zoho.eu	1
CLOUDFLARENET	CLOUDFLARENET	25
hostgator.com	cjma.gm	1
CLOUDFLARENET	101domain.com	5
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	6
Wildcard UK Limited	mentalhealth.gm	1
dell.com	dell.com	1
vercel-dns.com	GOOGLE	1
CLOUDFLARENET	ferries.gm	1
CLOUDFLARENET	market.gm	1
Wildcard UK Limited	ccconstruction.gm	1
AMAZON-02	bankersassociation.gm	1
Wildcard UK Limited	believe.gm	1
Wildcard UK Limited	mentalcare.gm	1
GOOGLE-CLOUD-PLATFORM	MICROSOFT-CORP-MSN-AS-BLOCK	5
AMAZON-02	ZOHO-AS	1
hostgator.com	farmfresh.gm	1
CLOUDFLARENET	landmark.gm	1
linode.com	GOOGLE	2
AMAZON-02	techhive.gm	1
AMAZON-02	GOOGLE	3
CLOUDFLARENET	adequate.gm	2
Cloud DNS Ltd	MICROSOFT-CORP-MSN-AS-BLOCK	3
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	1
unique.gm	uniquemail.gm	1
eurodns.com	MICROSOFT-CORP-MSN-AS-BLOCK	1
ipower.com	salam.gm	1
MICROSOFT-CORP-MSN-AS-BLOCK	ko.com	7
QCell	QCell	11
GOOGLE-CLOUD-PLATFORM	20i Limited	27
AMAZON-02	bbhotel.gm	1
bb-online.biz	co.uk	1
AMAZON-02	bac.gm	1
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK	1
GOOGLE	extremeonly.com	1
CLOUDFLARENET	sukuta.gm	1
hostgator.com	MICROSOFT-CORP-MSN-AS-BLOCK	3
webhostbox.net	gla.gm	1
satserver.nl	insight.gm	1
GANDI SAS	GANDI SAS	7
unique.gm	rotaryclub.gm	1
AMAZON-02	easytech.gm	1
co.uk	rainbow.gm	1
CLOUDFLARENET	ute.gm	1
SECURITYSERVICES	GOOGLE	3
loopiagroup.com	websupport.se	1
Safenames Ltd.	idp365.net	3
ascio.com	ascio.com	2
rapidswitch.com	holiday.gm	1
localhost.com	solacefoundation.gm	1
cypdom.com	GOOGLE	1
BIZLAND-SD	safaro.gm	1
unique.gm	cbg.gm	1
BIZLAND-SD	jula.gm	1
AMAZON-02	spamexperts.com	1
AMAZON-02	MICROSOFT-CORP-MSN-AS-BLOCK	7
CLOUDFLARENET	paradisefm.gm	1
hi5work.app	udp.gm	1
supremecenter.com	supremecenter.com	3
AMAZON-02	gtu.gm	1
co.uk	fishing.gm	1
netpagedns.net	mimecast.com	1
BIZLAND-SD	MICROSOFT-CORP-MSN-AS-BLOCK	3
mwebdns.de	leos.gm	1
namehero.net	eno.gm	1
GOOGLE	GOOGLE	5
Contabo GmbH	gpc.gm	1
perf1.com	nameshield.com	2
AMAZON-02	jac.gm	1
SECURITYSERVICES	NAMECHEAP-NET	7
DIGICERT	allgood.gm	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	4
BIZLAND-SD	ysd.gm	1
CLOUDFLARENET	aom.gm	1
Cloud DNS Ltd	webmail.gm	7
SECURITYSERVICES	volvo.se	1
nameshield.net	gmessaging.net	1
AMAZON-02	cdt.gm	1
AMAZON-02	elite.gm	1
onlinq.net	MICROSOFT-CORP-MSN-AS-BLOCK	1
atakdomain.com	atakmail.com	2
AMAZON-02	gnpc.gm	1
hostgator.com	moneyfarm.gm	1
CLOUDFLARENET	nursingcouncil.gm	1
webhostbox.net	uss.gm	1
hostgator.com	abc.gm	1
AMAZON-02	brandr.gm	1
ngninfra.net	ngninfra.net	2
AMAZON-02	rcsl.gm	1
CLOUDFLARENET	isoc.gm	1
co.uk	airporttransfer.gm	1
AMAZON-02	taskcrown.gm	1
Akamai International B.V.	messagelabs.com	1
AMAZON-02	appletreeschool.gm	1
CLOUDFLARENET	AUTOMATTIC	6
AMAZON-02	nakala.gm	1
AMAZON-02	vdf.gm	1
hostry.com	pesapay.gm	1
CLOUDFLARENET	namehero.net	9
NSONE	t-msedge.net	1
netnames.net	speednames.com	1
readyhosting.com	hello.gm	1
AMAZON-02	tmmotors.gm	1
GOOGLE	soun.gm	1
LIQUIDWEB	gtac.gm	1
gamtel.gm	gamtel.gm	1
SECURITYSERVICES	netnames.net	2
tmpw.net	monster.com	1
BIZLAND-SD	kafa.gm	1
yourwebhosting.com	globalproperties.gm	1
turbify.com	yahoodns.net	1
MICROSOFT-CORP-MSN-AS-BLOCK	mimecast.com	1
AMAZON-02	platinumconstruction.gm	1
LIQUIDWEB	oga.gm	1
AMAZON-02	mdcg.gm	1
CLOUDFLARENET	ZOHO-AS	8
africell.gm	africell.gm	1
jumpvps.org	foroyaa.gm	1
solidhosting.pro	gampay.gm	1
itsfogo.com	idatanet.com	1
perf1.com	canalplus.gm	1
Contabo GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	3
SECURITYSERVICES	print.gm	1
BIZLAND-SD	techplus.gm	1
AMAZON-02	odoosoft.gm	1
AMAZON-02	connekt.gm	1
CLOUDFLARENET	news.gm	1
webhostbox.net	dla.gm	1
LIQUIDWEB	nafgp.gm	1
nameshield.net	nameshield.com	4
LIQUIDWEB	wac.gm	1
mybluehost.me	mylumo.gm	1
CLOUDFLARENET	ajr.gm	1
ipower.com	supersonicz.gm	1
linode.com	zoho.eu	1
dreamhost.com	mailchannels.net	1
hostingdunyam.net	istanbul.gm	1
CLOUDFLARENET	nspa.gm	1
AMAZON-02	binos.gm	1
readyhosting.com	local.gm	1
firstfind.nl	yourfilter.nl	1
CLOUDFLARENET	mdi.gm	1
SECURITYSERVICES	dnsassurance.com	1
Akamai International B.V.	frontbridge.com	2
gamtel.gm	gaf.gm	1
CLOUDFLARENET	citizensalliance.gm	1
CLOUDFLARENET	express.gm	1
CLOUDFLARENET	tenders.gm	1
awsdns-47.org	domainnetwork.net	1
CLOUDFLARENET	gica.gm	1
CLOUDFLARENET	nsps.gm	1
site4now.net	ZOHO-AS	1
SECURITYSERVICES	privateemail.com	1
BIZLAND-SD	blueocean.gm	1
CLOUDFLARENET	class.gm	1
safebrands.com	mazars.gm	1
GOOGLE-CLOUD-PLATFORM	onice.io	3
CLOUDFLARENET	googlemail.com	2
markmonitor.com	markmonitor.com	4
AMAZON-02	premiumtv.gm	1
CLOUDFLARENET	mxrounting.net	1
CLOUDFLARENET	agrimart.gm	1
BIZLAND-SD	lmis.gm	1
Strato GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	1
CLOUDFLARENET	hcaps.gm	1
AMAZON-02	eicg.gm	1
Contabo GmbH	orthosurgeon.gm	1
SECURITYSERVICES	electrolux.se	2
markmonitor.com	bose.com	1
CLOUDFLARENET	arch.gm	1
co.uk	santana.gm	1
gamtel.gm	ovp.gm	1
AMAZON-02	synergygroup.gm	1
CLOUDFLARENET	allstars.gm	1
co.uk	blackandwhite.gm	1
adequate.gm	gieda.gm	1
CLOUDFLARENET	alive.gm	1
linode.com	glabs.gm	1
microsoftonline.com	MICROSOFT-CORP-MSN-AS-BLOCK	1
perf1.com	canalsat.gm	1
AMAZON-02	elegance.gm	1
QCell	MICROSOFT-CORP-MSN-AS-BLOCK	1
GOOGLE-CLOUD-PLATFORM	adequate.gm	1
CLOUDFLARENET	cloudflare.net	1
samaops.app	primestone.gm	1
readyhosting.com	businesspages.gm	1
CLOUDFLARENET	oxcs.net	1
AMAZON-02	rent.gm	1
whirlpool.com	whirlpool.com	1
totalenergies.biz	135.129	1
ipower.com	lastingsolutions.gm	1
safenames.com	idp365.net	1
Contabo GmbH	lpm.gm	1
wachost.com	GOOGLE	1
scania.com	scania.com	1
AMAZON-02	casd.gm	1
udag.de	udag.de	2
CLOUDFLARENET	saywow.gm	1
yourwebhosting.com	core.gm	1
Host Europe GmbH	GOOGLE	2
radio.gm	GOOGLE	1
comium.gm	iphmx.com	1
CLOUDFLARENET	anything.gm	1
regery.net	MICROSOFT-CORP-MSN-AS-BLOCK	1
Wildcard UK Limited	MICROSOFT-CORP-MSN-AS-BLOCK	1
Wildcard UK Limited	fpag.gm	1
gov.gm	gov.gm	1
mybluehost.me	bfs.gm	1
linode.com	gsportal.gm	1
AMAZON-02	discoverytours.gm	1
awsdns-17.net	turner.com	1
GOOGLE	mymangomail.com	1
CLOUDFLARENET	yoba.gm	1
webhostbox.net	aiis.gm	1
CLOUDFLARENET	netlabs.gm	1
linode.com	protonmail.ch	1
jumpvps.org	betpower.gm	1
safenames.net	QCell	1
byethost46.org	events.gm	1
faalentech.com	skills.gm	1
hostgator.com	microtech.gm	1
SECURITYSERVICES	joblink.gm	1
CLOUDFLARENET	cashup.gm	1
CLOUDFLARENET	timelapse.gm	1
Contabo GmbH	mib.gm	1
Wildcard UK Limited	rohi.gm	1
BIZLAND-SD	nao.gm	1
AMAZON-02	pcam.gm	1
faalentech.com	sttc.gm	1
CLOUDFLARENET	maafoundation.gm	1
NSONE	ibm.com	1
inmotionhosting.com	crime.gm	1
linode.com	MICROSOFT-CORP-MSN-AS-BLOCK	1
AMAZON-02	assistdesk.gm	1
CLOUDFLARENET	QUICKPACKET	1
BIZLAND-SD	GOOGLE	1
AMAZON-02	taxifm.gm	1
linode.com	chop.gm	1
CLOUDFLARENET	ggg.gm	1
DIGICERT	ndma.gm	1
faalentech.com	gycc.gm	1
AMAZON-02	ais.gm	1
CLOUDFLARENET	skygam.gm	1
AMAZON-02	cityscape.gm	1
superdomainzone.com	GOOGLE	1
