unknown	booze.je	1
SECURITYSERVICES	SECURITYSERVICES	117
ORACLE-BMC-31898	weston.je	1
blacknight.com	87.235	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	189
AMAZON-02	GOOGLE	35
CLOUDFLARENET	CLOUDFLARENET	41
cloudhosting.uk	cloudhosting.uk	4
Awareness Software Limited	MICROSOFT-CORP-MSN-AS-BLOCK	6
1984.is	MICROSOFT-CORP-MSN-AS-BLOCK	17
co.uk	MICROSOFT-CORP-MSN-AS-BLOCK	50
sui-inter.net	ph.je	1
Akamai Connected Cloud	MICROSOFT-CORP-MSN-AS-BLOCK	81
IONOS SE	MICROSOFT-CORP-MSN-AS-BLOCK	11
CLOUDFLARENET	Fastmail Pty Ltd	10
co.uk	GOOGLE	21
Sure (Guernsey) Limited	MICROSOFT-CORP-MSN-AS-BLOCK	7
cihdns.net	MICROSOFT-CORP-MSN-AS-BLOCK	56
nameshield.net	nameshield.com	4
co.uk	mimecast-offshore.com	6
GANDI SAS	Proton AG	1
CLOUDFLARENET	GOOGLE	168
GANDI SAS	GANDI SAS	49
AMAZON-02	fca.je	1
cloudhosting.uk	MICROSOFT-CORP-MSN-AS-BLOCK	1
GOOGLE	GOOGLE	73
CLOUDFLARENET	AMAZON-02	8
ngninfra.net	ngninfra.net	3
Akamai Connected Cloud	GOOGLE	17
powweb.com	co.uk	1
Sure (Guernsey) Limited	mimecast-offshore.com	2
Iomart Cloud Services Limited	iomart.com	1
OVH SAS	OVH SAS	21
AMAZON-02	AUTOMATTIC	1
Cloud DNS Ltd	mx.microsoft	5
GOOGLE-CLOUD-PLATFORM	20i Limited	45
CLOUDFLARENET	mailchannels.net	7
channelislandhosting.net	cloudhosting.uk	35
cihdns.net	GOOGLE	37
Cloud DNS Ltd	MICROSOFT-CORP-MSN-AS-BLOCK	61
co.uk	co.uk	17
Buy Limited	co.uk	6
neostrada.nl	thomas.je	1
xundns.com	xmocloud01.com	1
inmotionhosting.com	medilab.je	1
netim.net	co.uk	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	193
AUTOMATTIC	wordpress.com	1
Enix Ltd	nes.je	1
AMAZON-02	sportwinbet.je	1
Logicalis Guernsey Ltd	liberationgroup.com	1
swizzonic.ch	swizzonic.email	2
DIGICERT	MICROSOFT-CORP-MSN-AS-BLOCK	54
netim.net	Eurofiber France SAS	56
CLOUDFLARENET	mangetout.je	1
tele3.cz	cloudsystem.cz	2
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	11
uk2.net	ZOHO-AS	1
afraid.org	GOOGLE	2
SERVERSTACK-ASN	xvideos.je	1
cihdns.net	lauberge.je	1
sedoparking.com	localhost	10
CLOUDFLARENET	simplelogin.co	4
co.uk	I.T. Consultancy Limited	4
co.uk	hostedemail.com	13
mybluehost.me	indianocean.je	1
CLOUDFLARENET	quanloop.cloud	1
EDNS	MICROSOFT-CORP-MSN-AS-BLOCK	16
GOOGLE	MICROSOFT-CORP-MSN-AS-BLOCK	35
Ans Academy Limited	GOOGLE	30
awsdns-12.org	GOOGLE	2
Iomart Cloud Services Limited	MICROSOFT-CORP-MSN-AS-BLOCK	2
