SECURITYSERVICES	SECURITYSERVICES	1069
co.kr	GOOGLE	2843
cafe24.com	Korea Telecom	15934
co.kr	Kakao Corp	3077
ac.kr	MICROSOFT-CORP-MSN-AS-BLOCK	10
nsgodo.com	NAVER Cloud Corp.	46
AMAZON-02	Kakao Corp	410
co.kr	Korea Telecom	645
Hostway IDC	ysinternational.kr	1
AS-VULTR	co.kr	4
co.kr	GOOGLE-CLOUD-PLATFORM	368
Signet B.V.	GOOGLE	5
AMAZON-02	h-email.net	1455
cafe24.com	GOOGLE	1226
cafe24.com	xengine.kr	1
GOOGLE	GOOGLE	352
AMAZON-02	icoop.kr	1
cafe24.com	carple.kr	1
Hostway IDC	stressn.kr	1
Korea Telecom	okdr.kr	1
AMAZON-02	exbit.kr	1
co.kr	HyosungITX	249
simplexi.com	hadi.kr	1
CLOUDFLARENET	CLOUDFLARENET	1463
co.kr	NAVER Cloud Corp.	1525
cafe24.com	AMAZON-02	158
inhaus.kr	Korea Telecom	1
co.kr	LG DACOM Corporation	68
Korea Telecom	136.42	6
CLOUDFLARENET	Datacamp Limited	20
co.kr	jeg.kr	1
co.kr	mapoil.kr	1
co.kr	co.kr	3456
or.jp	GOOGLE	2
co.kr	36kr.kr	1
LG DACOM Corporation	sungallery.kr	1
nsgodo.com	morimoto.kr	1
AMAZON-02	YANDEX LLC	2
cafe24.com	Kakao Corp	889
co.kr	hph.kr	1
selfdns.net	prudentialfinancial.kr	1
SHINSEGAE I C Co., Ltd.	xn--jx2b54wqew6b.kr	1
co.kr	MICROSOFT-CORP-MSN-AS-BLOCK	422
whoisdomain.kr	NAVER Cloud Corp.	803
SHINSEGAE I C Co., Ltd.	antifraud.kr	1
cafe24.com	globalmarine.kr	1
co.kr	thezip.kr	1
Korea Telecom	haim.kr	1
whoisdomain.kr	AMAZON-02	101
dnszi.com	Kakao Corp	135
co.kr	bmkorea.kr	1
Korea Telecom	xn--bb0b44mb8pfwi.kr	1
AMAZON-02	AMAZON-02	114
ktpusan.com	Korea Telecom	1
Rackspace Ltd.	CLOUDFLARENET	1
co.kr	ORACLE-BMC-31898	210
SECURITYSERVICES	CLOUDFLARENET	12
AS-VULTR	CLOUDFLARENET	7
cafe24.com	ftss.kr	1
nsgodo.com	co.kr	13
mailplug.com	Korea Telecom	5
Host Europe GmbH	GO-DADDY-COM-LLC	336
co.kr	ggurugi.kr	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	129
GOOGLE	ORACLE-BMC-31898	23
domainca.com	domainca.com	5
SK Broadband Co Ltd	Kakao Corp	52
CLOUDFLARENET	tumblr.com	1
cafe24.com	co.kr	279
GOOGLE	Korea Telecom	60
AMAZON-02	GOOGLE	1310
jps.kr	Korea Telecom	1
SECURITYSERVICES	NAMECHEAP-NET	14
cargo.site	GOOGLE	64
tad.cc	Korea Telecom	54
Korea Telecom	goodseller.kr	1
IONOS SE	NorthC Deutschland GmbH	177
paludarium.kr	AMAZON-02	1
AMAZON-02	audepart.kr	1
whoisdomain.kr	all-care.kr	1
co.kr	ZOHO-AS	93
whoisdomain.kr	cfnews.kr	1
co.kr	cloudfront.net	50
AMAZON-02	hassell.kr	1
dnszi.com	GOOGLE	141
xn--vk1b75o00p9td.kr	Korea Telecom	1
CLOUDFLARENET	AMAZON-AES	3
CLOUDFLARENET	a1partners.kr	1
AMAZON-02	corecollective.kr	1
gaseol.kr	Korea Telecom	1
LG DACOM Corporation	chamfoods.kr	1
GANDI SAS	GANDI SAS	290
Korea Telecom	aircontrol.kr	1
bonoya.kr	Korea Telecom	1
co.kr	xn--hq1bs5yn4o.kr	1
sgtmail.com	sgt.kr	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM	191
co.kr	AMAZON-02	406
sedoparking.com	localhost	1356
mailplug.com	HyosungITX	673
simplexi.com	lucehotel.kr	1
domainoo.fr	Planet Service SARL	54
hangulkeyword.com	jennyu.kr	1
cafe24.com	NAVER Cloud Corp.	891
FAMOUS WORKER	FAMOUS WORKER	40
nurihosting.com	schroff.kr	1
co.kr	ilmack.kr	1
CLOUDFLARENET	Kakao Corp	300
sun60.kr	Korea Telecom	1
whoisdomain.kr	Kakao Corp	409
co.kr	designx2.kr	1
LG DACOM Corporation	withbible.kr	1
DAOU TECHNOLOGY	Kakao Corp	70
eflix.kr	KOREA CABLE TELECOM	1
co.kr	magnatek.kr	1
markmonitor.com	CLOUDFLARENET	28
whoisdomain.kr	uniqueco.kr	1
OVH SAS	Korea Telecom	3
simplexi.com	Kakao Corp	14
nsgodo.com	enfren.kr	1
whoisdomain.kr	ZOHO-AS	9
vshosting.cloud	vshosting.cloud	1
whoisdomain.kr	HyosungITX	81
nsgodo.com	campusnews.kr	1
Safenames Ltd.	Safenames Ltd.	88
cargo.site	NAVER Cloud Corp.	16
MICROSOFT-CORP-MSN-AS-BLOCK	Akenes SA	48
AMAZON-02	acclime.kr	1
LG DACOM Corporation	LG DACOM Corporation	619
smate.kr	HyosungITX	1
irondns.de	man.de	4
CLOUDFLARENET	GOOGLE	769
co.kr	travelnote.kr	1
whoisdomain.kr	antcorp.kr	1
selfdns.net	antihansolinticube.kr	1
CLOUDFLARENET	mxhichina.com	3
cargo.site	ORACLE-BMC-31898	2
CLOUDFLARENET	Fastmail Pty Ltd	6
nsgodo.com	xn--9i1br4knyk7qaz2z0mk.kr	1
win-72v2fp1t4uf.	Korea Telecom	1
AMAZON-02	amanzi.kr	1
DAOU TECHNOLOGY	co.kr	5
iwk.kr	iwk.kr	1
cafe24cloud.com	Kakao Corp	2
co.kr	tppartners.kr	1
LG DACOM Corporation	HyosungITX	28
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	133
wowplaza.com	GOOGLE	1
goldbook.kr	goldbook.kr	1
co.kr	winnerskorea.kr	1
whoisdomain.kr	shiggy.kr	1
nsgodo.com	onepack.kr	1
donga.com	donga.com	3
cafe24.com	wooderfullife.kr	1
cafe24.com	HyosungITX	233
AMAZON-02	celgene.kr	1
co.kr	ddns.net	4
Korea Telecom	jbit.kr	1
Korea Telecom	HyosungITX	69
LG DACOM Corporation	NAVER Cloud Corp.	44
AMAZON-02	NAVER Cloud Corp.	396
SHINSEGAE I C Co., Ltd.	xn--t60b053bj1g32a99e.kr	1
dgte.kr	Korea Telecom	1
dns.kr	kr	289
co.kr	132.28	1
fonts.kr	fonts.kr	1
nsgodo.com	beneficoco.kr	1
softcan.net	phic.kr	1
LG DACOM Corporation	bksafety.kr	1
simplexi.com	redblue.kr	1
nsgodo.com	decafree.kr	1
co.kr	re.kr	4
whoisdomain.kr	GOOGLE	633
whoisdomain.kr	MICROSOFT-CORP-MSN-AS-BLOCK	127
cscudns.com	SECURITYSERVICES	1
AMAZON-02	hungrymind.kr	1
co.kr	recyclecity.kr	1
Register S.p.A.	Register S.p.A.	19
Korea Telecom	co.kr	49
co.kr	bweng.kr	1
Korea Telecom	tomatodream.kr	1
bnbtech.kr	Kakao Corp	1
cafe24.com	silverart.kr	1
co.kr	motioncontrol.kr	1
co.kr	labzone.kr	1
DOUZONEBIZON	mediuminc.kr	1
makeshop.com	rubia.kr	1
AMAZON-02	co.kr	230
OVH SAS	GOOGLE	125
nsgodo.com	isupply.kr	1
co.kr	dld.kr	1
AMAZON-02	rovensa.kr	1
KOREA CABLE TELECOM	KOREA CABLE TELECOM	152
co.kr	oiltop.kr	1
nsgodo.com	laam.kr	1
cafe24.com	nownet.kr	1
GOOGLE	NAVER Cloud Corp.	129
co.kr	xn--jb0b06id7t3fj6mc.kr	1
whoisdomain.kr	ORACLE-BMC-31898	767
gwdo.kr	Korea Telecom	1
co.kr	stonekids.kr	1
CLOUDFLARENET	NAVER Cloud Corp.	156
0701.kr	Kakao Corp	1
nurihosting.com	smart-call.kr	1
dnszi.com	suwonapo.kr	1
co.kr	koznok.kr	1
LG DACOM Corporation	jeongam.kr	1
co.kr	devsandbox.kr	1
netim.net	Eurofiber France SAS	130
CLOUDFLARENET	Korea Telecom	121
LG DACOM Corporation	hcsys.kr	1
DREAMMARK1	GOOGLE	9
nsgodo.com	eballetshop.kr	1
ksdom.kr	Kakao Corp	33
SMILESERV	xn--2j1br5x.kr	1
Korea Telecom	plumbago.kr	1
24livehost.com	carbon-clean.kr	1
CLOUDFLARENET	s-lab.kr	1
softcan.net	pulsar.kr	1
230.44	NAVER Cloud Corp.	8
register.it	Register S.p.A.	171
co.kr	hchknews.kr	1
sclbmt.kr	Korea Telecom	1
LG DACOM Corporation	ns27.kr	1
co.kr	mscs.kr	1
Hostway IDC	slowtriathlon.kr	1
