serveriai.lt	UAB Interneto vizija	26984
CLOUDFLARENET	CLOUDFLARENET	9813
hostex.lt	sander.lt	1
GANDI SAS	MICROSOFT-CORP-MSN-AS-BLOCK	6
SECURITYSERVICES	SECURITYSERVICES	650
UAB Interneto vizija	soundspot.lt	1
hostingpalvelu.fi	hostingpalvelu.fi	1
serveriai.lt	localhost.localdomain	743
serveriai.lt	safnar.lt	1
mail.ru	LLC VK	1
IONOS SE	NorthC Deutschland GmbH	387
serveriai.lt	bellapelle.lt	1
OVH SAS	OVH SAS	781
gmc.lt	Telia Lietuva, AB	21
Telia Lietuva, AB	eman.lt	1
serveriai.lt	animatika.lt	1
CLOUDFLARENET	UAB Interneto vizija	1217
serveriai.lt	baltasnamas.lt	1
CLOUDFLARENET	Proton AG	84
serveriai.lt	pmgroup.lt	1
domenai.lt	UAB Bartus pro	1633
SECURITYSERVICES	idatanet.com	7
OVH SAS	kraftler.lt	1
GOOGLE	CLOUDFLARENET	62
serveriai.lt	MICROSOFT-CORP-MSN-AS-BLOCK	1945
CLOUDFLARENET	fixy.lt	1
serveriai.lt	andesa.lt	1
xundns.com	xmocloud02.com	34
serveriai.lt	hotelskick.lt	1
GOOGLE	UAB Interneto vizija	307
serveriai.lt	denojs.lt	1
Telia Lietuva, AB	2bricks.lt	1
latgrupe.lt	MICROSOFT-CORP-MSN-AS-BLOCK	1
interconnect-dns.be	Signet B.V.	4
Telia Lietuva, AB	laukobaldis.lt	1
serveriai.lt	franklincovey.lt	1
Sia Nano IT	labamaja.lt	1
AUTOMATTIC	UAB Interneto vizija	10
CLOUDFLARENET	GOOGLE	1511
ltmd.net	reznik.lt	1
UAB Diginet LTU	vmedija.lt	1
IONOS SE	GOOGLE-CLOUD-PLATFORM	13
bacloud.com	kuhnt.lt	1
domenai.lt	UAB Interneto vizija	25
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	1308
Telia Lietuva, AB	sport1tv.lt	1
Telia Lietuva, AB	naturfloor.lt	1
kir.lt	kir.lt	1
CLOUDFLARENET	blogorama.lt	1
Hetzner Online GmbH	everventas.lt	1
serveriai.lt	merakiskincare.lt	1
serveriai.lt	cxdesign.lt	1
interna.me	guaca-mole.lt	1
Telia Eesti AS	Elkdata OU	387
bacloud.com	lavaprojects.lt	1
AMAZON-02	GOOGLE	64
Telia Lietuva, AB	MICROSOFT-CORP-MSN-AS-BLOCK	408
domenai.lt	flatrent.lt	1
serveriai.lt	ballare.lt	1
bacloud.com	netoks.lt	1
UAB Interneto vizija	autos24.lt	1
serveriai.lt	databank.lt	3
CLOUDFLARENET	vedela.lt	1
serveriai.lt	printagram.lt	1
serveriai.lt	GOOGLE	2004
serveriai.lt	bdev.lt	1
danego.net	danego.net	3
Penkiu kontinentu komunikaciju centras, Ltd.	edipas.lt	1
serveriai.lt	opensoft.lt	1
domenai.lt	ikivelomaratonas.lt	1
netim.net	Eurofiber France SAS	436
Hostinger International Limited	CLOUDFLARENET	56
nameshield.net	Nameshield SAS	64
CLOUDFLARENET	advokataikaune.lt	1
serveriai.lt	amberlaser.lt	1
yra.lt	yra.lt	2
contabo.net	akeloteirko.lt	1
SECURITYSERVICES	fashion-digital.de	13
serveriai.lt	wakeway.lt	1
UAB Interneto vizija	imoro.lt	1
bhosted.nl	bhosted.nl	2
Telia Lietuva, AB	motorida.lt	1
Kauno Technologijos Universitetas	ddf.lt	1
serveriai.lt	xoxoxo.lt	1
domains.lt	CLOUDFLARENET	17
serveriai.lt	granto.lt	1
Hetzner Online GmbH	v-tac.lt	1
UAB Interneto vizija	los-santos.lt	1
sedoparking.com	localhost	158
serveriai.lt	itrent.lt	1
Telia Lietuva, AB	griovimas.lt	1
serveriai.lt	buta.lt	1
serveriai.lt	qs.lt	1
CLOUDFLARENET	UAB Bartus pro	39
ACTIVE 24, s.r.o.	WebSupport s.r.o.	44
getspace.us	healthcoach.lt	1
domains.lt	terralt.lt	1
serveriai.lt	rytojus.lt	1
serveriai.lt	apctooling.lt	1
eric.lt	lawonline24.lt	1
webiso.pl	greensteam.lt	1
serveriai.lt	ekoterma.lt	1
serveriai.lt	translotus.lt	1
Hosting Ukraine LTD	Hosting Ukraine LTD	368
CLOUDFLARENET	amberis.lt	2
topsec.com	emailantidote.com	2
balt.net	UAB Baltnetos komunikacijos	545
serveriai.lt	sutemos.lt	3
CLOUDFLARENET	fbihosting.com	3
CLOUDFLARENET	ZOHO-AS	66
UAB Interneto vizija	kelmina.lt	1
shockmedia.nl	auping.lt	1
Telia Lietuva, AB	hannainst.lt	1
serveriai.lt	ekaina.lt	1
serveriai.lt	weldingservices.lt	1
hostex.lt	ziedu.lt	1
hostex.lt	laminox.lt	1
Telia Lietuva, AB	gurmanija.lt	1
serveriai.lt	iceland.lt	1
UAB Nacionalinis Telekomunikaciju Tinklas	COGENT-174	2
Zone Media OU	Zone Media OU	211
