ACTIVE 24, s.r.o.	WebSupport s.r.o.	29
OVH SAS	OVH SAS	9524
Telkea Telecom SA	Telkea Soft S.A.	107
Core-Backbone GmbH	Mittwald CM Service GmbH & Co. KG	59
synergia.lu	MICROSOFT-CORP-MSN-AS-BLOCK	85
CLOUDFLARENET	Proton AG	46
NUCDN	MICROSOFT-CORP-MSN-AS-BLOCK	1811
NetBase BV	NetBase BV	18
WHG Hosting Services Ltd	CLOUDFLARENET	100
schlund.de	MICROSOFT-CORP-MSN-AS-BLOCK	2
blackpoint GmbH	rentabox.lu	1
Hostpoint AG	Hostpoint AG	133
sedoparking.com	localhost	540
lwsdns.com	ortiz.lu	1
Infomaniak Network SA	APPLE-ENGINEERING	5
dns.lu	GOOGLE	93
OVH SAS	MICROSOFT-CORP-MSN-AS-BLOCK	1102
NUCDN	detack.de	1
SECURITYSERVICES	SECURITYSERVICES	1148
effix.be	rassecurity.com	5
NUCDN	x-ion GmbH	1013
Signet B.V.	Signet B.V.	52
estugo-webhosting.com	waltener.lu	1
domainit.de	Hetzner Online GmbH	3
elcanet.nl	fundseminar.lu	1
IONOS SE	x-ion GmbH	2
MICROSOFT-CORP-MSN-AS-BLOCK	pro-install.nl	8
Edgoo Networks Unipessoal Lda	beauty4you.lu	1
CLOUDFLARENET	bandu.lu	1
CLOUDFLARENET	checkyourlevel.lu	1
GANDI SAS	GANDI SAS	2423
perf1.com	Nameshield SAS	56
checkdomain.de	primeon.lu	1
GOOGLE	OVH SAS	97
DIGICERT	mail-hero.lu	1
globe.lu	Hetzner Online GmbH	300
nvision.lu	MICROSOFT-CORP-MSN-AS-BLOCK	24
NUCDN	GOOGLE	438
CLOUDFLARENET	CLOUDFLARENET	659
CLOUDFLARENET	ZOHO Corporation B.V	40
hoststar.hosting	haefliger.lu	1
OVH SAS	setup.lu	1
Visual Online S.A.	GOOGLE	42
register.it	Register S.p.A.	120
Visual Online S.A.	Visual Online S.A.	1398
High5! B.V.	Cyso Group B.V.	23
PLANETHOSTER-8	GOOGLE	5
netim.net	Eurofiber France SAS	351
OVH SAS	GANDI SAS	76
lwsdns.com	rosk.lu	1
