one.com	One.com A/S	8
mdnsservice.com	hostedemail.com	81
sedoparking.com	localhost	125
ui-dns.biz	IONOS SE	658
Safenames Ltd.	idp365.net	6
Xserver Inc.	nj.ms	1
IONOS SE	NorthC Deutschland GmbH	247
iwantmyname.net	OVH SAS	1
dnshosting.me	iso.ms	1
Host Europe GmbH	ppe-hosted.com	17
Trellian Pty. Limited	Trellian Pty. Limited	19
Host Europe GmbH	GO-DADDY-COM-LLC	236
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	234
netmask.hu	ZOHO Corporation B.V	1
net.au	ppe-hosted.com	1
AMAZON-02	h-email.net	20
CLOUDFLARENET	GOOGLE	130
CLOUDFLARENET	x-ion GmbH	34
SECURITYSERVICES	SECURITYSERVICES	64
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	88
Neue Medien Muennich GmbH	Neue Medien Muennich GmbH	64
profinance.ru	profinance.ru	1
Hetzner Online GmbH	thanks.ms	1
Host Europe GmbH	GOOGLE	102
CLOUDFLARENET	socketlabs.com	1
avency GmbH	avency GmbH	6
CLOUDFLARENET	Mittwald CM Service GmbH & Co. KG	2
OVH SAS	closarbaumont.fr	2
G-Core Labs S.A.	buyusdt.me	11
netim.net	Eurofiber France SAS	24
site.be	site.eu	1
Host Europe GmbH	AMAZON-02	7
Host Europe GmbH	APPLE-ENGINEERING	8
1and1.com	gotdns.com	1
gestiondecuenta.com	koala.ms	1
CLOUDFLARENET	QUICKPACKET	3
Hetzner Online GmbH	Hetzner Online GmbH	32
co.jp	ooo.ms	1
Hetzner Online GmbH	kleinert.systems	2
CLOUDFLARENET	crs.ms	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	55
AUTOMATTIC	GO-DADDY-COM-LLC	1
interna.me	maem.ms	1
awsdns-02.org	GOOGLE	1
Hetzner Online GmbH	dogado GmbH	9
gn2.hosting	privatecollection.ms	1
Neue Medien Muennich GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	7
CLOUDFLARENET	CLOUDFLARENET	70
CLOUDFLARENET	Cloudflare London, LLC	2
dnspod.net	1rtb.com	3
ffi.ms	freifunk-muensterland.de	1
alfahosting.info	beermann.ms	1
checkdomain.de	alter-ego.ms	1
IONOS SE	APPLE-ENGINEERING	4
Knipp Medien und Kommunikation GmbH	ScaleUp Technologies GmbH & Co. KG	79
DTS Systeme Muenster GmbH	expurgate.net	9
CLOUDFLARENET	luftlinie.org	1
alfahosting.info	MICROSOFT-CORP-MSN-AS-BLOCK	8
CLOUDFLARENET	netcup.net	1
IONOS SE	MICROSOFT-CORP-MSN-AS-BLOCK	23
CLOUDFLARENET	com.br	4
awsdns-14.com	ili.ms	1
Iomart Cloud Services Limited	Iomart Cloud Services Limited	2
OVH SAS	OVH SAS	13
ipcom GmbH	malphas.de	1
sergas.es	sergas.ms	1
Host Europe GmbH	arsmtp.com	2
Core-Backbone GmbH	Mittwald CM Service GmbH & Co. KG	9
ui-dns.biz	MICROSOFT-CORP-MSN-AS-BLOCK	3
