afeeshost.ltd	com.ng	332
OVH SAS	com.ng	1098
SECURITYSERVICES	NAMECHEAP-NET	765
CLOUDFLARENET	NAMECHEAP-NET	147
OVH SAS	ZOHO-AS	20
TIER-NET	com.ng	575
AMAZON-02	com.ng	276
unknown	com.ng	86
awsdns-30.com	MICROSOFT-CORP-MSN-AS-BLOCK	1
DIGITALOCEAN-ASN	com.ng	1128
netlightsystems.com	com.ng	15
UNIFIEDLAYER-AS-1	com.ng	144
NAMECHEAP-NET	NAMECHEAP-NET	5
realhostnow.com	com.ng	2
ORANGEHOST	com.ng	12
host-ww.net	GOOGLE	10
SECURITYSERVICES	com.ng	101
CLOUDFLARENET	CLOUDFLARENET	507
hostgator.com	GOOGLE	2
PRIVATESYSTEMS	com.ng	16
CLOUDFLARENET	is.cc	1
CLOUDFLARENET	com.ng	447
host-ww.net	com.ng	680
BrainStorm Network, Inc	com.ng	5
freehosting.com	com.ng	2
TIER-NET	MICROSOFT-CORP-MSN-AS-BLOCK	23
NETWORK-SOLUTIONS-HOSTING	com.ng	30
tukulo.com	com.ng	1
contabo.net	com.ng	24
UNIFIEDLAYER-AS-1	MICROSOFT-CORP-MSN-AS-BLOCK	10
kwikaweb.com	com.ng	33
smartwebng.com	com.ng	66
vps.net	com.ng	1
inbuiltweb.org	xwire.ng	1
DIGITALOCEAN-ASN	ZOHO-AS	105
NSONE	amazonaws.com	1
GOOGLE-CLOUD-PLATFORM	20i Limited	94
ui-dns.biz	IONOS SE	5
IS-AS-1	com.ng	323
CLOUDFLARENET	GOOGLE	52
com.ng	com.ng	164
host-ww.net	ZOHO-AS	29
netvoizesolutions.com	com.ng	1
serverhostgroup.com	com.ng	14
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	31
AMAZON-02	GOOGLE-CLOUD-PLATFORM	43
rochendns.com	directrouter.com	1
Hydra Communications Ltd	com.ng	126
CLOUDFLARENET	ZOHO-AS	166
hostinger.com	CLOUDFLARENET	1
Hetzner Online GmbH	com.ng	169
CLOUDFLARENET	AUTOMATTIC	65
SECURITYSERVICES	SECURITYSERVICES	39
AS-VULTR	truehostcloud	4
hostgator.com	com.ng	46
Host Europe GmbH	com.ng	12
dot5hosting.com	GOOGLE	1
sirstevemedia.com	com.ng	4
NSONE	com.ng	4
HVC-AS	com.ng	11
cloudns.net	ZOHO-AS	3
hosti.ca	com.ng	2
samorabot.com	com.ng	3
resourceservers.com	com.ng	1
supremedns.com	LIQUIDNETLTD1	18
UNIFIEDLAYER-AS-1	GOOGLE	12
hosting.markets	NAMECHEAP-NET	1
tridalwave.com	com.ng	1
nocdirect.com	com.ng	1
servconfig.com	GOOGLE	3
DIGITALOCEAN-ASN	Host-Africa-AS2	10
AS-COLOCROSSING	com.ng	36
doveserver.com	com.ng	429
PONYNET	com.ng	108
NAMECHEAP-NET	com.ng	50
inmotionhosting.com	com.ng	44
cloudhosting.uk	cloudhosting.uk	4
instradns.com	com.ng	2
Contabo GmbH	com.ng	54
NSONE	ZOHO-AS	48
lytehosting.com	com.ng	76
netim.net	Eurofiber France SAS	13
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	15
inetbridgesolutions.com	com.ng	2
AS-VULTR	com.ng	21
CLOUDFLARENET	YANDEX LLC	5
technewsng.com	com.ng	1
Hydra Communications Ltd	cprapid.com	15
gfireservers.in	com.ng	3
CLOUDFLARENET	amazonaws.com	2
nsresponse.com	com.ng	5
linkservehost.com	com.ng	3
listedhosting.net	com.ng	41
mygotodns.com	com.ng	3
Safenames Ltd.	Safenames Ltd.	21
AMAZON-02	Delta HighTech Ltd.	21
ukvpshosting.com	com.ng	1
uplserver6.com	com.ng	3
flamexhosting.com	NAMECHEAP-NET	1
upperserver16.com	GOOGLE	1
co.uk	MICROSOFT-CORP-MSN-AS-BLOCK	6
richineiserver.com	com.ng	1
thundercloud.uk	com.ng	6
mynaijahost.com	com.ng	2
DIGITALOCEAN-ASN	CLOUDFLARENET	32
host-ww.net	Cloudflare London, LLC	2
Akamai Connected Cloud	fcomet.com	3
IONOS SE	NorthC Deutschland GmbH	14
servconfig.com	com.ng	13
TIER-NET	ZOHO-AS	19
ultahost.com	com.ng	11
EDNS	GOOGLE	4
directadminhostserver.com	com.ng	3
doveserver.com	GOOGLE	6
arandomserver.com	com.ng	1
multi8.com	20i Limited	1
dueseason.biz	com.ng	1
spreadweb.net	com.ng	2
OVH SAS	MICROSOFT-CORP-MSN-AS-BLOCK	1
sunflowerschoolskano.com	com.ng	2
CLOUDFLARENET	webhostbox.net	2
site4now.net	com.ng	1
bergeservers.com	com.ng	3
CLOUDFLARENET	mymangomail.com	3
DIGICERT	GOOGLE	2
xneelo	com.ng	8
sedoparking.com	localhost	15
kojoautos.com	com.ng	2
listedhosting.net	ZOHO-AS	2
TIER-NET	GOOGLE	19
hostgator.com	ZOHO-AS	3
AS-VULTR	ZOHO-AS	13
Hydra Communications Ltd	enmail.co	3
serversempire.com	com.ng	1
CLOUDFLARENET	careerjet.net	1
co.uk	com.ng	11
EDNS	easydns.com	5
247serveron.com	com.ng	1
Akamai International B.V.	klm.com	1
PONYNET	NAMECRANE	6
unknown	x-ion GmbH	2
SECURITYSERVICES	GOOGLE	12
dimedns.com	com.ng	1
hostzankeypro.com	ZOHO-AS	1
garanntor.net	ZOHO-AS	1
herosite.pro	com.ng	2
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	4
mailerwave.com	com.ng	1
zerotenhost.com	com.ng	3
awsdns-10.org	GOOGLE	1
mcreal44.net	com.ng	1
