one.com	One.com A/S	19939
GOOGLE	MICROSOFT-CORP-MSN-AS-BLOCK	769
ANEXIA Internetdienstleistungs GmbH	GOOGLE-CLOUD-PLATFORM	34
CLOUDFLARENET	Domeneshop AS	709
hyp.net	Domeneshop AS	34817
CLOUDFLARENET	20i Limited	47
Webhuset AS	GOOGLE	500
hyp.net	MICROSOFT-CORP-MSN-AS-BLOCK	15821
one.com	MICROSOFT-CORP-MSN-AS-BLOCK	4922
Globalconnect As	mini-dumper.no	1
team.blue Denmark A/S	team.blue Denmark A/S	633
hyp.net	GOOGLE	6317
DIGICERT	MICROSOFT-CORP-MSN-AS-BLOCK	272
Advania Norge As	MICROSOFT-CORP-MSN-AS-BLOCK	248
Webhuset AS	Webhuset AS	8972
Hetzner Online GmbH	monoform.no	1
SECURITYSERVICES	SECURITYSERVICES	1399
hyp.net	ppe-hosted.com	193
Eidsiva Bredband AS	MICROSOFT-CORP-MSN-AS-BLOCK	60
Hetzner Online GmbH	kurskompass.no	1
Signet B.V.	norgesgang.no	1
CLOUDFLARENET	One.com A/S	321
CLOUDFLARENET	GOOGLE	1604
ServeTheWorld AS	elghundjakt.no	1
one.com	Globalconnect As	4070
proisp.no	marketingconference.no	1
CLOUDFLARENET	hofslund-hotel.no	1
one.com	GOOGLE-CLOUD-PLATFORM	7276
Blix Solutions AS	dominic.no	1
netbox.no	energieffektivisering.no	1
Contabo GmbH	pixelwave.no	1
hyp.net	xn--norkjp-fya.no	1
ServeTheWorld AS	ServeTheWorld AS	85
dnsdomene.net	qvark.no	1
sircon.net	selfieland.no	1
Blix Solutions AS	edholmen.no	1
hyp.net	GOOGLE-CLOUD-PLATFORM	252
hyp.net	coolkidz.no	1
thc.ro	godetail.no	1
dnsdomene.net	mailchannels.net	1822
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	2753
Host Europe GmbH	GOOGLE	375
proisp.no	cocktailclub.no	1
dnsdomene.net	smartiva.no	1
AMAZON-02	AMAZON-02	88
Telenor Norge AS	MICROSOFT-CORP-MSN-AS-BLOCK	1366
hyp.net	Webhuset AS	263
halden.net	MICROSOFT-CORP-MSN-AS-BLOCK	43
proisp.no	CLOUDFLARENET	16
proisp.no	hammerfestkrisesenter.no	1
proisp.no	carbonstorage-expertise.no	1
proisp.no	lektit.no	1
Telia Norge AS	Telia Norge AS	23
one.com	GOOGLE	1660
euphoria.no	dillan.no	1
hyp.net	Proton AG	496
GOOGLE	One.com A/S	591
dnsdomene.net	mutat.no	1
Braathe AS	pphosted.com	1
one.com	mcplay.no	1
itpays.net	seefoodtv.no	1
Nexthop AS	sas.dk	1
dnsdomene.net	innbohub.no	1
ServeTheWorld AS	xn--vrradar-mxa.no	1
proisp.no	MICROSOFT-CORP-MSN-AS-BLOCK	1470
hyp.net	aksjen.no	1
ServeTheWorld AS	digici.no	1
GOOGLE	lederpartner.no	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	1815
one.com	jakob.no	1
one.com	SQUIXA PTY LIMITED	5
hyp.net	lnix.net	4
Webhuset AS	MICROSOFT-CORP-MSN-AS-BLOCK	1145
hyp.net	geotool.no	1
CLOUDFLARENET	areait.lv	1
dnsdomene.net	santim.no	1
nshost2.de	serverdomain.org	3
24web.no	fej.no	1
one.com	netclient.no	229
interhost.no	Telia Norge AS	63
