one.com	One.com A/S	10007
webshopplus.nl	MICROSOFT-CORP-MSN-AS-BLOCK	1
rzone.de	rzone.de	912
LIQUIDWEB	MICROSOFT-CORP-MSN-AS-BLOCK	20
Uniserver Internet B.V.	MICROSOFT-CORP-MSN-AS-BLOCK	21
ipcom GmbH	AMAZON-02	1440
Uniserver Internet B.V.	GOOGLE	9
CLOUDFLARENET	GOOGLE	552
CLDIN B.V.	yourfilter.nl	564
loopia.se	Loopia AB	4830
loopia.se	erip.nu	1
one.com	pairserver.com	1
oderland.com	iol.nu	1
ACTIVE 24, s.r.o.	automatch.nu	1
GleSYS AB	viridis.nu	1
nameshield.net	INCAPSULA	9
team.blue Denmark A/S	team.blue Denmark A/S	2536
loopia.se	GOOGLE	660
Signet B.V.	podcastland.nu	1
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	501
CLOUDFLARENET	xtv.nu	1
cloud86.nl	schuller.nu	1
dnsshop.org	bdp.nu	1
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	575
CLDIN B.V.	CLDIN B.V.	1486
CLOUDFLARENET	geniusscissors.nu	1
sedoparking.com	localhost	298
SECURITYSERVICES	SECURITYSERVICES	595
team.blue Denmark A/S	MICROSOFT-CORP-MSN-AS-BLOCK	460
ACTIVE 24, s.r.o.	evilgenius.nu	1
Yelles AB	highwayz.nu	1
One.com A/S	stingvision.nu	1
DIGITALOCEAN-ASN	smart-repair.nu	1
GleSYS AB	GleSYS AB	678
Signet B.V.	Signet B.V.	928
loopia.se	mille.nu	1
mdnsservice.com	hostedemail.com	135
ACTIVE 24, s.r.o.	WebSupport s.r.o.	684
lopdns.se	lopnet AB	6
Signet B.V.	reclame.nu	1
GOOGLE	AMAZON-02	35
Signet B.V.	MICROSOFT-CORP-MSN-AS-BLOCK	488
egensajt.se	Tele2 SWIPnet	148
ACTIVE 24, s.r.o.	solin.nu	1
Signet B.V.	buyback.nu	1
DIGITALOCEAN-ASN	fsh.nu	1
loopia.se	MICROSOFT-CORP-MSN-AS-BLOCK	938
CJ2 Hosting B.V.	CJ2 Hosting B.V.	4
SECURITYSERVICES	sauer-danfoss.com	2
Miss Hosting AB	STABLEHOST	3
hyp.net	GOOGLE	32
Telia Company AB	MICROSOFT-CORP-MSN-AS-BLOCK	78
Signet B.V.	skillsource.nl	6
CLOUDFLARENET	CLOUDFLARENET	533
GlobalConnect AB	syns.nu	1
ANEXIA Internetdienstleistungs GmbH	One.com A/S	3
lumik.se	GleSYS AB	65
Signet B.V.	mail	2
OVH SAS	OVH SAS	78
Signet B.V.	denhaan.nu	1
mijn.host	mijn.host B.V.	263
hostnet.nl	One.com A/S	1091
caveo.nl	MICROSOFT-CORP-MSN-AS-BLOCK	7
BIT BV	uberspace.de	1
ilait.se	GlobalConnect AB	600
CLOUDFLARENET	espinoza.nu	1
neostrada.nl	tellshowdo.nu	1
CLOUDFLARENET	sundmedia.nu	1
hostnet.nl	aankoopmakelaar.nu	1
standardbolag.se	Hagloef & Nordkvist Internet AB	10
CLOUDFLARENET	postboxen.nu	1
CLOUDFLARENET	logopedist.nu	1
Intention B.V.	Intention B.V.	93
ACTIVE 24, s.r.o.	sveakliniken.nu	1
Telia Company AB	kanal.nu	1
InterRacks B.V.	LeaseWeb Netherlands B.V.	6
TrueFullstaq B.V.	MICROSOFT-CORP-MSN-AS-BLOCK	19
Computel Standby BV	Computel Standby BV	23
CORESPACE-DAL	lovet.nu	1
DIGITALOCEAN-ASN	MICROSOFT-CORP-MSN-AS-BLOCK	138
CLOUDFLARENET	yami.nu	1
exonet.nl	rebelandrose.nu	1
european-server.com	mailprotect.be	45
CLOUDFLARENET	AUTOMATTIC	17
intermedia.nu	knoop.nl	3
CLDIN B.V.	karper.nu	1
hostnet.nl	MICROSOFT-CORP-MSN-AS-BLOCK	243
UKDedicated LTD	kopochsalj.nu	1
AMAZON-02	localhost	181
dn-s.nl	guikema.nu	1
CLOUDFLARENET	paket.nu	1
cloud86.nl	coe.nu	1
infrapod.nl	salesacademy.nu	1
Signet B.V.	royoswald.nu	1
Duocast B.V.	ca.nu	1
team.blue Denmark A/S	xn--udstdning-o8a.nu	1
oderland.com	GOOGLE	60
one.com	GOOGLE	219
Signet B.V.	eucars.nu	1
ipcom GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	271
hostonline.dk	hostonline.dk	3
Previder B.V.	CLOUDFLARENET	6
ping64.net	MICROSOFT-CORP-MSN-AS-BLOCK	1
register.it	AMAZON-02	95
Signet B.V.	belasting.nu	1
Yelles AB	priset.nu	1
BIT BV	CLDIN B.V.	48
Elisa Oyj	saunalahti.fi	2
CLDIN B.V.	ZOHO-AS	1
CLOUDFLARENET	Loopia AB	70
pakompetens.se	wk.nu	3
sitewise.nl	sitewise.nl	2
dn-s.nl	veritech.nu	1
2content.net	vvz.nu	1
Bahnhof AB	One.com A/S	1
one.com	MICROSOFT-CORP-MSN-AS-BLOCK	512
ports.se	sma.nu	1
Signet B.V.	datadokter.nu	1
neostrada.nl	voetverzorging.nu	1
Signet B.V.	cro-lab.nu	1
Telia Company AB	CLOUDFLARENET	22
vmi.se	Vaddo Media Information IS AB	14
ACTIVE 24, s.r.o.	MICROSOFT-CORP-MSN-AS-BLOCK	190
ipcom GmbH	GOOGLE	133
AMAZON-02	GOOGLE	73
oderland.com	ODERLAND Webbhotell AB	1486
NetBase BV	NetBase BV	219
LeaseWeb Netherlands B.V.	samenbewegen.nu	1
CLOUDFLARENET	greenpower.nu	1
mijndnsserver.nl	misterdot.email	5
Telenor Norge AS	Telenor Norge AS	8
IONOS SE	agenturserver.de	1
Yelles AB	puttenborg.nu	1
ports.se	planit.nu	1
loopia.se	Tutao GmbH	8
CLOUDFLARENET	colubris.nu	1
ACTIVE 24, s.r.o.	lynx.nu	1
BIT BV	Datacamp Limited	3
LIQUIDWEB	GOOGLE	58
nameshield.net	Nameshield SAS	17
CLOUDFLARENET	familjenfranzen.nu	1
Yelles AB	yogaklader.nu	1
CLOUDFLARENET	GlobalConnect AB	9
hyp.net	MICROSOFT-CORP-MSN-AS-BLOCK	52
ipcom GmbH	Proton AG	9
fiber.nu	Yelles AB	1
ballou.se	mailchannels.net	117
trouble-free.net	zartosht.nu	1
webb.net	GlobalConnect AB	39
cloud86.nl	qfort.nu	1
whixx.com	langbroek.nu	1
Trellian Pty. Limited	Trellian Pty. Limited	46
greenhost.nl	Greenhost BV	75
Signet B.V.	personeelgezocht.nu	1
mastexns.nl	MICROSOFT-CORP-MSN-AS-BLOCK	1
combell.net	mailprotect.be	149
DIGITALOCEAN-ASN	gasthuis.nu	1
NSONE	merasol.nu	1
hostnet.nl	dlineshop.nu	1
server-2.nl	nextlevelyou.nu	1
atom86 BV	vanbinnennaarbuiten.nu	1
exonet.nl	ram-vismans.nu	1
DIGITALOCEAN-ASN	Stichting DIGI NL	346
MICROSOFT-CORP-MSN-AS-BLOCK	Signet B.V.	19
e-studio.dk	Christian Ebsen ApS	14
Yelles AB	onlinebets.nu	1
hyp.net	Domeneshop AS	158
init3.eu	5566.nu	1
wpsyd.com	wpsyd.com	7
Yelles AB	GOOGLE	41
GOOGLE	service.one	8
Signet B.V.	cresce.nu	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	54
Karjaan Puhelin Oy	folkhalsan.fi	5
ServeTheWorld AS	dyrstad.nu	1
qbranch.se	qbranchonline.se	1
Yelles AB	Yelles AB	2
Signet B.V.	centraalwerken.nl	1
AMAZON-02	GOOGLE-CLOUD-PLATFORM	195
CLOUDFLARENET	QUICKPACKET	12
NUCDN	dvntr.nu	1
cloudpit.com	dogado GmbH	5
CLOUDFLARENET	timeforwood.nu	1
nscluster.es	MICROSOFT-CORP-MSN-AS-BLOCK	1
netformatie.nl	leefomgeving.nu	1
griffel.se	thorahlgren.se	1
loopia.se	Proton AG	54
ghs-hosting.nl	ghs-hosting.nl	2
nscluster.cz	MICROSOFT-CORP-MSN-AS-BLOCK	2
Routit BV	routit.net	9
vmi.se	MICROSOFT-CORP-MSN-AS-BLOCK	20
proisp.no	One.com A/S	15
mangelot-hosting.nl	oostersegeneeswijzen.nu	1
Yelles AB	desperation.nu	1
ACTIVE 24, s.r.o.	ugly.nu	1
AMAZON-02	northernrunway.nu	1
Bahnhof AB	GOOGLE	10
LIQUIDWEB	autonics.nu	1
ANEXIA Internetdienstleistungs GmbH	friway.nu	1
ACTIVE 24, s.r.o.	GOOGLE	188
GlobalConnect AB	nmu.nu	2
ACTIVE 24, s.r.o.	lindhe.nu	1
ports.se	alvstrandenutveckling.nu	1
Miss Hosting AB	avteknik.nu	1
one.com	Sentia Denmark A/S	16
griffel.se	MICROSOFT-CORP-MSN-AS-BLOCK	24
Signet B.V.	opladers.nu	1
Signet B.V.	nailart.nu	1
nmugroup.com	Nordisk Media Utveckling AB	191
Fundaments B.V.	Fundaments B.V.	105
Signet B.V.	Proton AG	25
knap-it.com	vries.nu	1
Signet B.V.	modus.nu	1
Previder B.V.	GOOGLE	2
beget.com	beget.com	2
Signet B.V.	samenwerkingsruimte.nu	1
yoursitedns.nl	rosemarie.nu	1
robini.com	kokskleding.nu	1
sbbsnet.se	Diagonal Forlags AB	4
ACTIVE 24, s.r.o.	hammarstrom.nu	1
Yelles AB	sulky.nu	1
Signet B.V.	demy.nu	1
loopia.se	gezelius.nu	1
GleSYS AB	cullberg.nu	1
Signet B.V.	GOOGLE	232
oderland.com	ventilation.nu	1
Yelles AB	you.nu	1
ACTIVE 24, s.r.o.	homeopaten.nu	1
CLOUDFLARENET	finityconsulting.nu	1
Signet B.V.	lagrand.nu	1
One.com A/S	muisjesensitief.nu	1
ballou.se	Hostek AB	95
d-server.nl	Caveo Internet BV	28
mono.net	hostedemail.com	29
CLDIN B.V.	Vancis IP B.V.	19
team.blue Denmark A/S	GOOGLE	125
yourdomainprovider.net	DIGITALOCEAN-ASN	68
inviso.se	InfraCom Managed Services AB	55
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet	38
CLOUDFLARENET	frisam.nu	1
Signet B.V.	carla.nu	1
One.com A/S	sterven.nu	1
Signet B.V.	extracare.nu	1
checkdomain.de	prezero-nordic.nu	1
one.com	GOOGLE-CLOUD-PLATFORM	35
MICROSOFT-CORP-MSN-AS-BLOCK	charge.nu	1
wk.se	Webbkonsulterna i Jamtland AB	160
team.blue Denmark A/S	humanact.nu	1
DIGITALOCEAN-ASN	Signet B.V.	4
Netsite A/S	MICROSOFT-CORP-MSN-AS-BLOCK	6
CLOUDFLARENET	lm-service.nu	1
CLOUDFLARENET	mediaweb.nl	1
Signet B.V.	performancecheck.nu	1
Signet B.V.	walnutt.nu	1
heinosoft.nl	scheermesjes.nu	1
cloud86.nl	MICROSOFT-CORP-MSN-AS-BLOCK	22
cloud86.nl	presence.nu	1
CLDIN B.V.	Art of Automation B.V.	19
ANEXIA Internetdienstleistungs GmbH	milko.se	1
Signet B.V.	cyberweerbaarheid.nu	1
ek-media.nl	ek-media.nl	1
zoneedit.com	GOOGLE	25
ports.se	xn--svensktnringsliv-2nb.nu	1
CLDIN B.V.	Accenture B. V.	15
smelink.se	GlobalConnect A/S	11
neostrada.nl	agressietraining.nu	1
Yelles AB	m-b-s.nu	1
Bahnhof AB	Bahnhof AB	22
Signet B.V.	vbdg.nu	1
CLDIN B.V.	tennisloterij.nu	1
Yelles AB	macsec.nu	1
CLOUDFLARENET	20i Limited	11
