Binero AB	rosenbergs.se	1
loopia.se	Loopia AB	40048
loopia.se	GOOGLE	7360
CLOUDFLARENET	colombiano.se	1
sedoparking.com	localhost	2929
svenskadomaner.se	Hetzner Online GmbH	1798
oderland.com	ODERLAND Webbhotell AB	8351
Yelles AB	logicator.se	1
one.com	MICROSOFT-CORP-MSN-AS-BLOCK	5460
Host Europe GmbH	GOOGLE	1556
GOOGLE	GOOGLE	1820
NUCDN	Datacenter Luxembourg S.A.	67
wk.se	Webbkonsulterna i Jamtland AB	575
CLOUDFLARENET	CLOUDFLARENET	3254
ballou.se	MICROSOFT-CORP-MSN-AS-BLOCK	368
Telia Company AB	Telia Company AB	1763
ballou.se	mailchannels.net	581
rzone.de	rzone.de	8075
ipcom GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	1730
egensajt.se	Tele2 SWIPnet	993
ACTIVE 24, s.r.o.	MICROSOFT-CORP-MSN-AS-BLOCK	2648
speedcom.se	Diagonal Forlags AB	56
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	4001
GlobalConnect AB	GlobalConnect AB	653
GlobalConnect A/S	GlobalConnect A/S	6
Bredband i Kristianstad AB	CLOUDFLARENET	38
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	4149
ACTIVE 24, s.r.o.	yonderful.se	1
one.com	One.com A/S	80467
AMAZON-02	AMAZON-02	490
mirva.io	MICROSOFT-CORP-MSN-AS-BLOCK	57
loopia.se	MICROSOFT-CORP-MSN-AS-BLOCK	14965
IONOS SE	NorthC Deutschland GmbH	1479
optinet.se	Telenor Norge AS	30
CLOUDFLARENET	apmoffice.se	1
ilait.se	GlobalConnect AB	2878
one.com	GOOGLE	2546
hyp.net	Domeneshop AS	956
ports.se	MICROSOFT-CORP-MSN-AS-BLOCK	1888
Webhuset AS	Webhuset AS	312
Yelles AB	hyperbol.se	1
ACTIVE 24, s.r.o.	iisi.se	1
LIQUIDWEB	afrikanskmango.se	1
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	2666
CLOUDFLARENET	GOOGLE	4162
SECURITYSERVICES	Telia Company AB	43
rzone.de	AMAZON-02	15
ACTIVE 24, s.r.o.	egelin.se	1
Bahnhof AB	picox.se	8
ACTIVE 24, s.r.o.	korsband.se	1
OVH SAS	OVH SAS	1434
ACTIVE 24, s.r.o.	heliosolutions.se	1
CLOUDFLARENET	kalasborgen.se	1
checkdomain.de	myelco.se	1
QUIC-CLOUD	bsbrandutbildning.se	1
Yelles AB	emac.se	1
GOOGLE	hostedemail.com	483
oderland.com	MICROSOFT-CORP-MSN-AS-BLOCK	1571
CLOUDFLARENET	iphmx.com	15
ACTIVE 24, s.r.o.	WebSupport s.r.o.	5034
Bahnhof AB	Bahnhof AB	279
aname.net	MICROSOFT-CORP-MSN-AS-BLOCK	345
SavMAN AB	MICROSOFT-CORP-MSN-AS-BLOCK	111
ACTIVE 24, s.r.o.	inhealth.se	1
cmswe.net	Hostek AB	67
Yelles AB	optavie.se	1
Yelles AB	pricecompare.se	1
Knipp Medien und Kommunikation GmbH	cnc-stenzel.se	1
serveriai.lt	UAB Interneto vizija	230
team.blue Denmark A/S	team.blue Denmark A/S	8390
CLOUDFLARENET	junext.se	1
ACTIVE 24, s.r.o.	digital4u.se	1
ACTIVE 24, s.r.o.	anchormodeling.se	1
ACTIVE 24, s.r.o.	startuplive.se	1
DIGICERT	MICROSOFT-CORP-MSN-AS-BLOCK	398
Yelles AB	mycotopia.se	1
griffel.se	MICROSOFT-CORP-MSN-AS-BLOCK	282
CLOUDFLARENET	movetosweden.se	1
team.blue Denmark A/S	epaper.se	1
egensajt.se	GOOGLE	132
GlobalConnect AB	CLOUDFLARENET	117
ipcom GmbH	AMAZON-02	235
netim.net	Eurofiber France SAS	569
lumik.se	GOOGLE	290
ssa.se	ssa.se	1
Yelles AB	karlemo.se	1
CLOUDFLARENET	adminprosolutions.se	1
ACTIVE 24, s.r.o.	whatnext.se	1
DIGICERT	qualitycare.se	1
Yelles AB	GOOGLE	379
aname.net	Hostek AB	693
one.com	ppe-hosted.com	2
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	248
AMAZON-02	GOOGLE	1364
loopia.se	baldakinen.se	1
CLOUDFLARENET	Datacamp Limited	47
loopia.se	Tele2 SWIPnet	80
ACTIVE 24, s.r.o.	memedia.se	1
CLOUDFLARENET	APPLE-ENGINEERING	305
Yelles AB	riverbay.se	1
r24cloud.se	MICROSOFT-CORP-MSN-AS-BLOCK	152
Yelles AB	MICROSOFT-CORP-MSN-AS-BLOCK	666
ports.se	Hostek AB	18
GleSYS AB	GleSYS AB	3335
is-fun.net	TelemaxX Telekommunikation GmbH	41
Yelles AB	synonymt.se	1
rzone.de	utetech.se	1
ACTIVE 24, s.r.o.	typotopia.se	1
GleSYS AB	GOOGLE	521
InfraCom Managed Services AB	InfraCom Managed Services AB	170
ACTIVE 24, s.r.o.	s4f.se	1
Miss Hosting AB	trinom.se	1
oderland.com	GOOGLE	837
co.uk	pentasa.se	1
Net-Build GmbH	power-cocktail.se	1
Yelles AB	excessit.se	1
one.com	ZOHO-AS	15
team.blue Denmark A/S	MICROSOFT-CORP-MSN-AS-BLOCK	1099
loopia.se	Proton AG	448
CLOUDFLARENET	juntadeandalucia.se	1
ACTIVE 24, s.r.o.	charities.se	1
ACTIVE 24, s.r.o.	sol-consulting.se	1
emporij.net	registriraj.se	1
comtrance.de	paclease.se	1
NUCDN	MICROSOFT-CORP-MSN-AS-BLOCK	283
ACTIVE 24, s.r.o.	salvacionhills.se	1
intendit.se	GOOGLE	46
GleSYS AB	MICROSOFT-CORP-MSN-AS-BLOCK	605
ipcom GmbH	Hetzner Online GmbH	13
SECURITYSERVICES	SECURITYSERVICES	2618
Yelles AB	silversmith.se	1
smelink.se	GlobalConnect A/S	201
net-server.de	MICROSOFT-CORP-MSN-AS-BLOCK	1
CLOUDFLARENET	OVH SAS	102
Yelles AB	naftor.se	1
Hetzner Online GmbH	reelsweet.se	1
Nazwa.pl Sp.z.o.o.	mrstatikgroup.se	1
loopia.se	GlobalConnect AB	109
GANDI SAS	GANDI SAS	1378
SECURITYSERVICES	MICROSOFT-CORP-MSN-AS-BLOCK	490
CONFLUENCE-NETWORK-INC	~	360
Yelles AB	vahatalo.se	1
ANEXIA Internetdienstleistungs GmbH	emailfiltering.com	1
MICROSOFT-CORP-MSN-AS-BLOCK	AMAZON-02	19
de-nserver.de	mini-mundus.se	1
AMAZON-02	MICROSOFT-CORP-MSN-AS-BLOCK	1096
ipcom GmbH	kostavildmarkscamp.se	1
Miss Hosting AB	publicaddress.se	1
Host Europe GmbH	GO-DADDY-COM-LLC	1328
IONOS SE	legendmodel.se	1
GANDI SAS	MICROSOFT-CORP-MSN-AS-BLOCK	88
IONOS SE	MICROSOFT-CORP-MSN-AS-BLOCK	53
team.blue Denmark A/S	GOOGLE	570
Combell NV	Combell NV	4
INTERNET CZ, a.s.	niveko.cz	1
CLOUDFLARENET	ferticon.se	1
CLOUDFLARENET	Proton AG	440
Miss Hosting AB	datanordic.se	1
SECURITYSERVICES	GOOGLE-CLOUD-PLATFORM	12
Yelles AB	jaha.se	1
Hydra Communications Ltd	junction.se	1
ACTIVE 24, s.r.o.	heden.se	1
SECURITYSERVICES	Loopia AB	11
ports.se	transportkompetens.se	1
ACTIVE 24, s.r.o.	gillblad.se	1
AMAZON-02	Loopia AB	80
Teleservice Bredband Skane AB	Teleservice Bredband Skane AB	102
forss.net	Forss IT AB	572
CLOUDFLARENET	tsdating.se	1
CLOUDFLARENET	salvatorerobuschi.se	1
InformationsTeknik i Norrbotten AB	ODERLAND Webbhotell AB	1
Miss Hosting AB	MICROSOFT-CORP-MSN-AS-BLOCK	42
Bahnhof AB	MICROSOFT-CORP-MSN-AS-BLOCK	148
aname.net	mailchannels.net	705
larshallen.com	NAMECRANE	2
proisp.no	prettyhealthy.se	1
neostrada.nl	pouches.se	1
ipcom GmbH	GOOGLE	702
ANEXIA Internetdienstleistungs GmbH	pphosted.com	23
ACTIVE 24, s.r.o.	APPLE-ENGINEERING	93
CLOUDFLARENET	smokeybear.se	1
ACTIVE 24, s.r.o.	heiwa.se	1
AMAZON-02	Elisa Oyj	19
inviso.se	InfraCom Managed Services AB	337
GOOGLE	MICROSOFT-CORP-MSN-AS-BLOCK	994
Tele2 SWIPnet	MICROSOFT-CORP-MSN-AS-BLOCK	417
GleSYS AB	extrica.se	1
aname.net	GlobalConnect A/S	5
Telia Company AB	MICROSOFT-CORP-MSN-AS-BLOCK	1113
groupdnsservice.com	essentialhosting.net	2
one.com	ZOHO Corporation B.V	118
AMAZON-02	GOOGLE-CLOUD-PLATFORM	684
AMAZON-02	freemoveyoga.se	1
ACTIVE 24, s.r.o.	swappyparking.se	1
ACTIVE 24, s.r.o.	GOOGLE-CLOUD-PLATFORM	10
GlobalConnect AB	GOOGLE	105
CLOUDFLARENET	One.com A/S	497
contabo.net	tubes.se	1
ACTIVE 24, s.r.o.	magneticfields.se	1
ACTIVE 24, s.r.o.	terranova.se	1
domainoo.fr	Planet Service SARL	27
ipcom GmbH	brewdog.se	1
ACTIVE 24, s.r.o.	fewes.se	1
webglobe.sk	SWAN, a.s.	6
joker.com	surveyland.se	1
Yelles AB	wavesandwork.se	1
Yelles AB	cogniment.se	1
one.com	elitdata.se	1
forss.net	MICROSOFT-CORP-MSN-AS-BLOCK	322
ports.se	ODERLAND Webbhotell AB	14
Hostek AB	hallerboij.se	1
Signet B.V.	sinuss.se	1
nmugroup.com	Nordisk Media Utveckling AB	428
one.com	APPLE-ENGINEERING	138
SCAAM0001	ngninfra.net	53
CLOUDFLARENET	careless.se	1
hyp.net	MICROSOFT-CORP-MSN-AS-BLOCK	635
ODERLAND Webbhotell AB	Loopia AB	4
Tele2 SWIPnet	Tele2 SWIPnet	1171
loopia.se	Fastmail Pty Ltd	77
buddyns.com	lth.se	1
direct2internet.com	GOOGLE	1
ilait.se	MICROSOFT-CORP-MSN-AS-BLOCK	1563
MICROSOFT-CORP-MSN-AS-BLOCK	actives.se	1
CLOUDFLARENET	Yelles AB	30
CLOUDFLARENET	e-mailr.com	4
Braathe AS	MICROSOFT-CORP-MSN-AS-BLOCK	11
dmsolutions.de	solbergagard.se	1
cms.se	GOOGLE-CLOUD-PLATFORM	142
ACTIVE 24, s.r.o.	brightintel.se	1
co.uk	cateringbox.se	1
ACTIVE 24, s.r.o.	lekapa.se	1
GleSYS AB	underorion.se	1
rzone.de	Cloudflare London, LLC	8
CLOUDFLARENET	modora.se	1
one.com	webgo GmbH	1
ACTIVE 24, s.r.o.	brfpropellernhagernas.se	1
Yelles AB	bettingfans.se	1
team.blue Denmark A/S	astonpolska.se	1
oderland.com	strongflex.se	1
DIGICERT	mailhero.se	1
Hetzner Online GmbH	Telia Cygate Oy	26
GOOGLE	One.com A/S	919
mono.net	hostedemail.com	121
web4u.cz	mailchannels.net	16
contentserver.be	vitafiber.be	1
CLOUDFLARENET	Fastmail Pty Ltd	362
Yelles AB	bistroperspektiv.se	1
Bahnhof AB	GOOGLE	45
aname.net	antispamgw.host	164
register.it	AMAZON-02	653
mainloop.net	MICROSOFT-CORP-MSN-AS-BLOCK	25
loopia.se	koskinen.se	1
dimac.net	MICROSOFT-CORP-MSN-AS-BLOCK	1
ACTIVE 24, s.r.o.	hannerland.se	1
one.com	CLOUDFLARENET	88
optinet.se	MICROSOFT-CORP-MSN-AS-BLOCK	29
powerhosting.se	MICROSOFT-CORP-MSN-AS-BLOCK	26
Yelles AB	evileye.se	1
ACTIVE 24, s.r.o.	moneytree.se	1
Binero AB	applove.se	1
GleSYS AB	danielnoren.se	1
ri.se	MICROSOFT-CORP-MSN-AS-BLOCK	32
is-fun.net	GOOGLE	3
ns14.net	CLOUDFLARENET	5
loopia.se	htn.se	1
CLOUDFLARENET	d-zine.se	1
Signet B.V.	islive.se	1
ACTIVE 24, s.r.o.	grymgames.se	1
CLOUDFLARENET	dhosting.pl Sp. z o.o.	5
home.pl	mobilrecykling.se	1
inviso.se	MICROSOFT-CORP-MSN-AS-BLOCK	66
ACTIVE 24, s.r.o.	GOOGLE	1949
DIGICERT	ORACLE-BMC-31898	1
ports.se	Tele2 SWIPnet	248
ANEXIA Internetdienstleistungs GmbH	psmtp.com	1
Yelles AB	sousvideguide.se	1
Yelles AB	cpro.se	1
ACTIVE 24, s.r.o.	svenskaidrottsgalan.se	1
loopia.se	kimi.se	3
abedns.net	MICROSOFT-CORP-MSN-AS-BLOCK	113
Hetzner Online GmbH	revalu.se	1
UKDedicated LTD	ventmix.se	1
ACTIVE 24, s.r.o.	emmabodafestivalen.se	1
Miss Hosting AB	aniball.se	1
fresenius.de	FASTLY	2
HURRICANE	klebom.se	1
rzone.de	Proton AG	22
ns14.net	GOOGLE	28
ACTIVE 24, s.r.o.	peppro.se	1
one.com	GOOGLE-CLOUD-PLATFORM	143
ANEXIA Internetdienstleistungs GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	436
daysoft.se	MICROSOFT-CORP-MSN-AS-BLOCK	6
ACTIVE 24, s.r.o.	milcon.se	1
ACTIVE 24, s.r.o.	nicoandco.se	1
Yelles AB	rbpartners.se	1
Signet B.V.	bikeboxer.se	1
loopia.se	GleSYS AB	50
euronic.fi	MICROSOFT-CORP-MSN-AS-BLOCK	34
Yelles AB	xn--stubbfrsarna-mcb.se	1
GleSYS AB	framtidsnat.se	1
rzone.de	MICROSOFT-CORP-MSN-AS-BLOCK	211
pulsen.se	MICROSOFT-CORP-MSN-AS-BLOCK	20
Straznet AB	MICROSOFT-CORP-MSN-AS-BLOCK	24
ACTIVE 24, s.r.o.	permalmberg.se	1
AMAZON-02	neurodiver.se	1
register.be	Combell NV	30
ACTIVE 24, s.r.o.	andreasgustafsson.se	1
one.com	Proton AG	93
ROLLERNETWORK	ryytty.se	1
Yelles AB	lessebook.se	1
ACTIVE 24, s.r.o.	nordicmarine.se	1
ports.se	thoreb.com	1
ACTIVE 24, s.r.o.	bruz.se	1
ports.se	GOOGLE	160
webone.se	MICROSOFT-CORP-MSN-AS-BLOCK	30
QD Sverige AB	MICROSOFT-CORP-MSN-AS-BLOCK	12
one.com	angest.se	1
GlobalConnect AB	MICROSOFT-CORP-MSN-AS-BLOCK	580
Yelles AB	eventkungen.se	1
Yelles AB	rltech.se	1
dotserv.com	dotserv.com	6
OVH SAS	flexicool.se	1
ipcom GmbH	GlobalConnect AB	50
Yelles AB	webeaze.se	1
Yelles AB	buenotaco.se	1
Signet B.V.	dogscompanion.se	1
ipcom GmbH	NForce Entertainment B.V.	3
Yelles AB	Yelles AB	46
Yelles AB	gratistv.se	1
ACTIVE 24, s.r.o.	interimyou.se	1
intendit.se	formu-graf.se	1
ACTIVE 24, s.r.o.	sillybloggen.se	1
oderland.com	healthypet.se	1
GleSYS AB	Fastmail Pty Ltd	15
gigahost.dk	Sentia Denmark A/S	18
ballou.se	GlobalConnect AB	49
systemdns.com	hostedemail.com	3
IONOS SE	b1-realestate.se	1
Videnca AB	MICROSOFT-CORP-MSN-AS-BLOCK	14
