ACTIVE 24, s.r.o.	spektrumb.sk	1
Webglobe, a.s.	rumshop.sk	1
ACTIVE 24, s.r.o.	WebSupport s.r.o.	21729
ACTIVE 24, s.r.o.	grz.sk	1
ACTIVE 24, s.r.o.	semprint.sk	1
ACTIVE 24, s.r.o.	klubovna.sk	1
ACTIVE 24, s.r.o.	level-ag.sk	1
thinline.cz	PRO-ZETA a.s.	195
ACTIVE 24, s.r.o.	hbcsystem.sk	1
ACTIVE 24, s.r.o.	MICROSOFT-CORP-MSN-AS-BLOCK	2251
ACTIVE 24, s.r.o.	prokennex.sk	1
ACTIVE 24, s.r.o.	helvetica-capital.sk	1
ACTIVE 24, s.r.o.	mdv.sk	1
INTERNET CZ, a.s.	lugera.com	5
ACTIVE 24, s.r.o.	prosante.sk	1
zcom.cz	ZCOM.cz s.r.o	9
ACTIVE 24, s.r.o.	grazie.sk	1
ACTIVE 24, s.r.o.	rzrent.sk	1
VNET a.s.	VNET a.s.	14892
webglobe.sk	eet.sk	1
gransy.com	Hetzner Online GmbH	12
ACTIVE 24, s.r.o.	vygo.sk	1
ACTIVE 24, s.r.o.	dvesestry.sk	1
MasterDC s.r.o.	AMAZON-02	10
hostinghouse.sk	INTERNET CZ, a.s.	12
INTERNET CZ, a.s.	MICROSOFT-CORP-MSN-AS-BLOCK	364
nameshield.net	multicomfort.sk	1
OVH SAS	zserver.cz	9
active24.cz	ACTIVE 24, s.r.o.	512
INTERNET CZ, a.s.	GOOGLE	243
Fortion Networks, s.r.o.	Fortion Networks, s.r.o.	80
ACTIVE 24, s.r.o.	filpo.sk	1
savana.cz	Webglobe, s.r.o.	176
ACTIVE 24, s.r.o.	problemsolving.sk	1
ACTIVE 24, s.r.o.	vafe.sk	1
CLOUDFLARENET	ruscona.sk	1
ACTIVE 24, s.r.o.	GOOGLE	2317
ACTIVE 24, s.r.o.	palyazatok.sk	1
dnsbackup.net	SWAN, a.s.	3807
M-SOFT, spol. s r.o.	MICROSOFT-CORP-MSN-AS-BLOCK	2
wy.sk	SWAN, a.s.	1410
networ.sk	Webglobe, s.r.o.	15
ACTIVE 24, s.r.o.	consolidas.sk	1
netio.cz	raer.sk	1
Webglobe, a.s.	Webglobe, s.r.o.	1207
ACTIVE 24, s.r.o.	dymovody.sk	1
ACTIVE 24, s.r.o.	iflex.sk	1
ACTIVE 24, s.r.o.	envue.sk	1
WEDOS Internet, a.s.	Proton AG	10
ACTIVE 24, s.r.o.	studiosirius.sk	1
ACTIVE 24, s.r.o.	apriori.sk	1
ZONER a.s.	Seznam.cz, a.s.	13
INTERNET CZ, a.s.	korkii.sk	1
A2HOSTING	ekokrajina.sk	1
AS-VULTR	VNET a.s.	4480
ACTIVE 24, s.r.o.	yaman.sk	1
smartweb.eu	SWAN, a.s.	479
ipcom GmbH	almased.sk	1
INTERNET CZ, a.s.	INTERNET CZ, a.s.	2358
cream.sk	VNET a.s.	26
ACTIVE 24, s.r.o.	mojesklo.sk	1
MasterDC s.r.o.	floxm.com	264
ACTIVE 24, s.r.o.	vkfarm.sk	1
ACTIVE 24, s.r.o.	dentalpark.sk	1
ACTIVE 24, s.r.o.	travelchannel.sk	1
ACTIVE 24, s.r.o.	rupik.sk	1
AMAZON-02	VNET a.s.	159
gransy.com	cygnett.sk	1
ACTIVE 24, s.r.o.	airandc.sk	1
ACTIVE 24, s.r.o.	twinkle.sk	1
ACTIVE 24, s.r.o.	jtaglobal.sk	1
INTERNET CZ, a.s.	skjukebox.sk	1
ACTIVE 24, s.r.o.	taxialpha.sk	1
ACTIVE 24, s.r.o.	pallotti.sk	1
CLOUDFLARENET	ZOHO-AS	39
register.it	Register S.p.A.	169
webzdarma.cz	VSHosting s.r.o.	19
awsdns-01.org	rebelant.net	1
inet.sk	VNET a.s.	435
ACTIVE 24, s.r.o.	slovakiachristiana.sk	1
AMAZON-02	ccmoore.sk	1
IONOS SE	NorthC Deutschland GmbH	846
Cyber_Folks S.A.	Cyber_Folks S.A.	9
Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET	Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET	23
exmasters.com	xbdsm.sk	1
ACTIVE 24, s.r.o.	kmall.sk	1
webglobe.sk	Webglobe, s.r.o.	1005
ACTIVE 24, s.r.o.	namenu.sk	1
wbsk.sk	VNET a.s.	900
ACTIVE 24, s.r.o.	viver.sk	1
sign.sk	SWAN, a.s.	21
platon.org	dazzler.sk	1
ACTIVE 24, s.r.o.	ginoinvest.com	1
agenturserver.co	Mittwald CM Service GmbH & Co. KG	3
ACTIVE 24, s.r.o.	kada.sk	1
ACTIVE 24, s.r.o.	filipolsovsky.sk	1
Trellian Pty. Limited	Trellian Pty. Limited	184
ACTIVE 24, s.r.o.	1051.sk	1
GANDI SAS	GANDI SAS	380
ACTIVE 24, s.r.o.	luxfm.sk	1
ACTIVE 24, s.r.o.	ataconsulting.sk	1
Host Europe GmbH	elusion.sk	4
ACTIVE 24, s.r.o.	autovago.sk	1
ACTIVE 24, s.r.o.	wtc-macro.sk	1
ACTIVE 24, s.r.o.	komodex.sk	1
gransy.com	m-life.sk	1
SWAN, a.s.	MICROSOFT-CORP-MSN-AS-BLOCK	172
ACTIVE 24, s.r.o.	somerset.sk	1
ACTIVE 24, s.r.o.	finbis.sk	1
Seonet Multimedia s.r.o.	Seonet Multimedia s.r.o.	422
nameshield.net	Nameshield SAS	89
devopshosting.online	olybetevents.sk	1
Slovanet a.s.	Slovanet a.s.	427
ACTIVE 24, s.r.o.	freza.sk	1
ACTIVE 24, s.r.o.	bmwfans.sk	1
ACTIVE 24, s.r.o.	pajko.sk	1
gransy.com	elektromotorymez.sk	1
ACTIVE 24, s.r.o.	rgl.sk	1
gransy.com	vzv-parts.sk	1
WEDOS Internet, a.s.	wedos.net	1473
web4u.cz	mailchannels.net	367
webglobe.sk	SWAN, a.s.	3507
SECURITYSERVICES	SECURITYSERVICES	694
INTERNET CZ, a.s.	schrag.eu	1
ACTIVE 24, s.r.o.	vizios.sk	1
CLOUDFLARENET	GOOGLE	666
ACTIVE 24, s.r.o.	asociaciamobilnychoperatorov.sk	1
com.ua	smartico.sk	1
ACTIVE 24, s.r.o.	deneb.sk	1
AS48707 OPS PL sp. z o.o.	AS48707 OPS PL sp. z o.o.	187
platon.org	SWAN, a.s.	550
ACTIVE 24, s.r.o.	laserbox.sk	1
register.it	AMAZON-02	1359
ACTIVE 24, s.r.o.	lekart.sk	1
ipcom GmbH	vetoquinol.sk	1
SecurityNet.cz s.r.o.	SecurityNet.cz s.r.o.	79
ACTIVE 24, s.r.o.	realityagency.sk	1
ACTIVE 24, s.r.o.	deef.sk	1
Nessus GmbH	Nessus GmbH	212
ACTIVE 24, s.r.o.	kontentino.sk	1
ACTIVE 24, s.r.o.	gardom.sk	1
ACTIVE 24, s.r.o.	lineagen.sk	1
svethostingu.cz	MasterDC s.r.o.	167
AMAZON-02	GOOGLE-CLOUD-PLATFORM	72
ACTIVE 24, s.r.o.	moneycare.sk	1
atlantis.sk	SWAN, a.s.	1304
ACTIVE 24, s.r.o.	profikrby.sk	1
gransy.com	ifinance.sk	1
CLOUDFLARENET	hostx.sk	3
mojhosting.sk	VNET a.s.	305
Nazwa.pl Sp.z.o.o.	berrto.sk	1
ACTIVE 24, s.r.o.	katanik.sk	1
ACTIVE 24, s.r.o.	seiteqservices.sk	1
ACTIVE 24, s.r.o.	vipdigital.sk	1
IONOS SE	pironet-ndh.com	1
alpiro.cz	alpiro.cz	8
ACTIVE 24, s.r.o.	businessmarketingstrategy.sk	1
ACTIVE 24, s.r.o.	bodymind.sk	1
WEDOS Internet, a.s.	miowebmail.cz	41
AMAZON-02	GOOGLE	117
SWAN, a.s.	CLOUDFLARENET	192
asix.sk	Scaleway S.a.s.	86
condns.de	wilbers.sk	1
blueboard.cz	VSHosting s.r.o.	369
CLOUDFLARENET	pphosted.com	22
domdom.net	Infotechna Ltd.	41
ACTIVE 24, s.r.o.	wfm.sk	1
ACTIVE 24, s.r.o.	babyplay.sk	1
ACTIVE 24, s.r.o.	byheart.sk	1
IMAFEX, s.r.o.	IMAFEX, s.r.o.	79
myshoptet.com	Shoptet, a.s.	419
webdom.sk	infoprojekt.sk	1
ACTIVE 24, s.r.o.	mfr.sk	1
ACTIVE 24, s.r.o.	justcreate.sk	1
wy.sk	Webglobe, s.r.o.	548
ACTIVE 24, s.r.o.	herbafarma.sk	1
webglobe.cz	Webglobe, s.r.o.	1191
ACTIVE 24, s.r.o.	outbreak.sk	1
SWAN, a.s.	co.uk	1
ACTIVE 24, s.r.o.	3arch.sk	1
ACTIVE 24, s.r.o.	kingzone.sk	1
ACTIVE 24, s.r.o.	tiko.sk	1
ACTIVE 24, s.r.o.	komin-servis.sk	1
kancel.sk	MICROSOFT-CORP-MSN-AS-BLOCK	5
ACTIVE 24, s.r.o.	ecolife.sk	1
ACTIVE 24, s.r.o.	inm.sk	1
ACTIVE 24, s.r.o.	jlservices.sk	1
ACTIVE 24, s.r.o.	yourbuddy.sk	1
ACTIVE 24, s.r.o.	everybusiness.sk	1
ACTIVE 24, s.r.o.	gtengines.sk	1
blueberry.sk	blueberry.sk	1
ACTIVE 24, s.r.o.	freecasino.sk	1
Hetzner Online GmbH	SH.cz s.r.o.	604
ACTIVE 24, s.r.o.	mna.sk	1
ACTIVE 24, s.r.o.	onepoint.sk	1
ACTIVE 24, s.r.o.	QUICKPACKET	1
ebrana.cz	ebrana.cz	1
CLOUDFLARENET	CLOUDFLARENET	867
contabo.net	myprofile.sk	1
ACTIVE 24, s.r.o.	tene.sk	1
GOOGLE	GOOGLE	234
gransy.com	revido.sk	1
ACTIVE 24, s.r.o.	oltom.sk	1
ACTIVE 24, s.r.o.	VNET a.s.	113
ACTIVE 24, s.r.o.	rontu.sk	1
nameserver.sk	SWAN, a.s.	106
ZONER a.s.	ZONER a.s.	854
ACTIVE 24, s.r.o.	bonno.sk	1
Webglobe, a.s.	aquatrading.sk	1
NUCDN	dukascopy.sk	1
ACTIVE 24, s.r.o.	premiumdrinks.sk	1
gransy.com	zakyntos.sk	1
Zdruzenie pouzivatelov Slovenskej akademickej datovej siete SANET	uakom.sk	2
suwisport.sk	VNET a.s.	2
laptopplus.nl	skikk.sk	1
ACTIVE 24, s.r.o.	jdzconsulting.sk	1
ACTIVE 24, s.r.o.	auto-ds.sk	1
ACTIVE 24, s.r.o.	quicktrans.sk	1
ACTIVE 24, s.r.o.	mp-rental.sk	1
ACTIVE 24, s.r.o.	stopshop.sk	1
ACTIVE 24, s.r.o.	sophossolutions.sk	1
VNET a.s.	GOOGLE	343
ACTIVE 24, s.r.o.	fungac.sk	1
ana.sk	MICROSOFT-CORP-MSN-AS-BLOCK	5
bluehosting.sk	HMZ RADIOKOMUNIKACIE, spol. s r.o.	13
ACTIVE 24, s.r.o.	horror.sk	1
gransy.com	mobilbazar.sk	1
ACTIVE 24, s.r.o.	ZOHO Corporation B.V	148
