IWEB-AS	vy.sy	1
PERFECT-INTERNATIONAL	sdk.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	bestsolutions.sy	1
domaincontrol.com	secureserver.net	1
com.sy	horan.sy	1
main-hosting.eu	2ravel.sy	1
CLOUDFLARENET	AUTOMATTIC	5
Syrian Telecommunication Private Closed Joint Stock Company	almouwasat.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	easybooks.sy	1
IWEB-AS	sw.sy	1
IWEB-AS	ej.sy	1
bitakat.sy	tawasul.sy	2
CLOUDFLARENET	evvoli.sy	1
Hetzner Online GmbH	mt5.sy	1
caphore.com	caphore.sy	1
CLOUDFLARENET	yandex.net	3
MK Netzdienste GmbH & Co. KG	MK Netzdienste GmbH & Co. KG	24
Syrian Telecommunication Private Closed Joint Stock Company	syriatrust.sy	1
PERFECT-INTERNATIONAL	car-market.sy	1
site4now.net	site4now.net	6
CLOUDFLARENET	host.sy	1
CLOUDFLARENET	shawagher.sy	1
IWEB-AS	xf.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	syt.sy	1
Hetzner Online GmbH	vola.sy	1
PERFECT-INTERNATIONAL	almanfoush.sy	1
IWEB-AS	qf.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	watfa.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	cementtechco.sy	1
CLOUDFLARENET	stableserver.net	1
CLOUDFLARENET	sag.sy	1
IWEB-AS	vz.sy	1
IWEB-AS	nk.sy	1
CLOUDFLARENET	artevor.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	movodelivery.sy	1
unknown	cap-x.sy	1
CLOUDFLARENET	ZOHO Corporation B.V	4
Syrian Telecommunication Private Closed Joint Stock Company	reelsmarketing.sy	1
shukra.sy	electrocity.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	wdrvm.sy	1
IWEB-AS	kt.sy	1
Hetzner Online GmbH	sham.sy	1
IWEB-AS	saa.sy	1
PERFECT-INTERNATIONAL	ig.sy	1
IWEB-AS	gh.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	ssrc.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	eclean.sy	1
linode.com	isdin.sy	1
IWEB-AS	alrasheed.sy	1
imtyaz.sy	ectc.sy	1
IWEB-AS	tp.sy	1
madargroup.sy	madargroup.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	najjar.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	levantmail.sy	1
Hetzner Online GmbH	printing.sy	1
IWEB-AS	lq.sy	1
CLOUDFLARENET	CLOUDFLARENET	34
Syrian Telecommunication Private Closed Joint Stock Company	rabbath.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	taxihon.sy	1
myfcloudde.com	armada.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	nmail.sy	1
register.it	register.it	1
Hetzner Online GmbH	delta.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	payless.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	dca.sy	1
PERFECT-INTERNATIONAL	kraken.sy	1
eolas.fr	eolas-services.com	1
IWEB-AS	jg.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	gummyhug.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	syria-visa.sy	1
IWEB-AS	qx.sy	1
IWEB-AS	ts.sy	1
SCAAM0001	ngninfra.net	8
Syrian Telecommunication Private Closed Joint Stock Company	homycourse.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	iutech.sy	1
CLOUDFLARENET	why.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	4u.sy	1
IWEB-AS	tf.sy	1
Syrian Telecommunication Private Closed Joint Stock Company	sndc.sy	1
