Host Europe GmbH	GOOGLE	926
GANDI SAS	GANDI SAS	1888
Data Communication Business Group	GOOGLE	517
NSS INTL CO., LTD.	binglife.tw	1
Data Communication Business Group	Data Communication Business Group	150
CLOUDFLARENET	medgene.tw	1
twmail.org	com.tw	464
xundns.com	orionedg.com	42
IONOS SE	NorthC Deutschland GmbH	439
jin-fu.tw	jin-fu.tw	1
OVH SAS	OVH SAS	360
SCAAM0001	ngninfra.net	16
xundns.com	egns.eu	222
hostgator.com	crafted.tw	1
Data Communication Business Group	sunrisemedical.tw	1
SECURITYSERVICES	SECURITYSERVICES	1209
AMAZON-02	Delta HighTech Ltd.	108
CLOUDFLARENET	hyl90.com	2
nadns1.com	Hetzner Online GmbH	33
netim.net	Eurofiber France SAS	71
CLOUDFLARENET	CLOUDFLARENET	1012
Register S.p.A.	Register S.p.A.	21
CLDIN B.V.	CLDIN B.V.	16
IVENUE	miaomiao.tw	1
CLOUDFLARENET	GOOGLE	1262
Safenames Ltd.	Safenames Ltd.	142
Host Europe GmbH	GO-DADDY-COM-LLC	2216
GOOGLE	hostedemail.com	58
CLOUDFLARENET	gdmask.tw	1
Yuan-Jhen Info., Co., Ltd	aceclinics.tw	1
Yuan-Jhen Info., Co., Ltd	homelife.tw	1
seeweb.it	murella.tw	1
Data Communication Business Group	knn.tw	1
SECURITYSERVICES	CLOUDFLARENET	13
MICROSOFT-CORP-MSN-AS-BLOCK	MICROSOFT-CORP-MSN-AS-BLOCK	125
ix1000.com	com.tw	8
AMAZON-02	GOOGLE	198
serveriai.lt	UAB Interneto vizija	7
dowjones.com	dowjones.com	1
ix1000.com	MICROSOFT-CORP-MSN-AS-BLOCK	8
CLOUDFLARENET	MICROSOFT-CORP-MSN-AS-BLOCK	188
CLOUDFLARENET	GANDI SAS	367
net.tw	52go.tw	1
ix1000.com	GOOGLE	60
wwdh.hu	mailserver.hu	7
dnsip.com	hhsw6688hxcdn.com	37
nameshield.net	salomon-sports.com	3
CLOUDFLARENET	AUTOMATTIC	25
CLOUDFLARENET	com.tw	50
dnspod.com	6.133	1
net.tw	GOOGLE	210
GANDI SAS	purelymail.com	1
6672.tw	scname.com	1
CLOUDFLARENET	APPLE-ENGINEERING	93
GANDI SAS	GOOGLE-CLOUD-PLATFORM	72
Yuan-Jhen Info., Co., Ltd	New Century InfoComm Tech Co., Ltd.	80
NSONE	APPLE-ENGINEERING	2
sedoparking.com	localhost	166
dn-s.nl	ibfd.tw	1
Host Europe GmbH	Tianjij,300000	16
Data Communication Business Group	chining.tw	1
Yuan-Jhen Info., Co., Ltd	princess.tw	1
GOOGLE	iwplay.tw	1
Host Europe GmbH	Proton AG	9
dnsip.com	egns.eu	273
CLOUDFLARENET	nc-star.tw	1
wt500.com	com.tw	18
CLOUDFLARENET	sella.it	1
xundns.com	img999.cc	236
CLOUDFLARENET	QUICKPACKET	27
com.tw	GOOGLE	157
AMAZON-02	GOOGLE-CLOUD-PLATFORM	143
CLOUDFLARENET	ZOHO-AS	124
shh.tw	shh.tw	1
1233dns.com	dun555.com	17
GANDI SAS	ZOHO-AS	14
885995.tw	885995.tw	1
saa.tw	com.tw	1
xundns.com	nsnx.ru	124
redhook.tw	redhook.tw	1
zoneedit.com	GOOGLE	8
GANDI SAS	GOOGLE	161
gatherhome.tw	gatherhome.tw	1
xundns.com	3bhxcdn.com	24
Yuan-Jhen Info., Co., Ltd	findpro.tw	1
GOOGLE-CLOUD-PLATFORM	queenace.tw	1
Host Europe GmbH	MICROSOFT-CORP-MSN-AS-BLOCK	499
nic.ru	hh.ru	3
CLOUDFLARENET	zx770.com	65
Yuan-Jhen Info., Co., Ltd	iqnet.tw	1
Signet B.V.	transip.email	3
Host Europe GmbH	cocloud.tw	1
ANEXIA Internetdienstleistungs GmbH	Tele2 SWIPnet	13
is-fun.net	TelemaxX Telekommunikation GmbH	29
CLOUDFLARENET	hostedemail.com	67
iptwins.com	te-dns.net	18
CLOUDFLARENET	dnfdnsddd.com	28
CLOUDFLARENET	gogohouse.tw	1
Data Communication Business Group	fivea.tw	1
register.it	Register S.p.A.	184
AS-VULTR	digu.tw	1
Yuan-Jhen Info., Co., Ltd	heatpress.tw	1
CLOUDFLARENET	twmarket.tw	1
Yuan-Jhen Info., Co., Ltd	pay-easy.tw	1
AMAZON-02	flatmates.tw	1
WEBNX	mauder.tw	1
Data Communication Business Group	ekmail.tw	1
com.tw	fcuaa.tw	1
1233dns.com	Alsycon B.V.	99
ipcom GmbH	levonline.com	1
Yuan-Jhen Info., Co., Ltd	slickbarbershop.tw	1
afraid.org	syn-tech.tw	1
dnsip.com	bofa36457562bofa.com	155
NUCDN	Datacenter Luxembourg S.A.	26
WEBNX	xn--kcr53obqt.tw	1
GMO Internet Group, Inc.	ne.jp	18
GANDI SAS	aji.tw	1
hostgo.com	xn--tkrw7rp18c.tw	1
xundns.com	nbcdn.top	94
IONOS SE	IONOS SE	8
247-hosting.com	1cash.tw	1
nameshield.net	Nameshield SAS	52
site4now.net	AMAZON-02	5
AMAZON-02	kursproduktywnosci.pl	1
Yuan-Jhen Info., Co., Ltd	jiujia.tw	1
xundns.com	skkm558.com	14
GOOGLE-CLOUD-PLATFORM	GOOGLE	390
abbeyroad.tw	abbeyroad.tw	1
CLOUDFLARENET	sika.com	1
servercoco.com	akane.tw	1
xundns.com	dljxoooocdn.com	80
Yuan-Jhen Info., Co., Ltd	allon4.tw	1
o2switch.net	cerule-vitality.tw	1
rhx.info	rhx.it	4
AS-26496-GO-DADDY-COM-LLC	yong-yu.tw	1
