=== 数据来源: uy ===
NS 域名数: 10920
MX 域名数: 10979
NS+MX 交集: 10920

=== NS -> MX 条件分布 ===

[NS 提供商] CLOUDFLARENET，域名数 2224
  MX: CLOUDFLARENET                   739  33.23%
  MX: GOOGLE                          329  14.79%
  MX: ZOHO-AS                         111   4.99%
  MX: AUTOMATTIC                       68   3.06%
  MX: RACKSPACE                        68   3.06%

[NS 提供商] com.uy，域名数 1393
  MX: GOOGLE                          420  30.15%
  MX: com.uy                          122   8.76%
  MX: ZOHO-AS                          80   5.74%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      66   4.74%
  MX: Proton AG                         9   0.65%

[NS 提供商] AMAZON-02，域名数 563
  MX: GOOGLE-CLOUD-PLATFORM           197  34.99%
  MX: GOOGLE                           54   9.59%
  MX: h-email.net                      45   7.99%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      10   1.78%
  MX: AMAZON-02                         9   1.60%

[NS 提供商] HVC-AS，域名数 480
  MX: GOOGLE                           22   4.58%
  MX: ZOHO-AS                           2   0.42%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2   0.42%
  MX: gestionempresas.uy                1   0.21%
  MX: audita.uy                         1   0.21%

[NS 提供商] netuy.net，域名数 411
  MX: GOOGLE                           32   7.79%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       6   1.46%
  MX: dinamichosting.com                4   0.97%
  MX: nty.uy                            3   0.73%
  MX: vivestar.uy                       1   0.24%

[NS 提供商] PRIVATESYSTEMS，域名数 399
  MX: GOOGLE                           18   4.51%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2   0.50%
  MX: arco.uy                           1   0.25%
  MX: praxis.uy                         1   0.25%
  MX: zuri.uy                           1   0.25%

[NS 提供商] Dattatec.com，域名数 360
  MX: GOOGLE                           18   5.00%
  MX: augedeportes.uy                   1   0.28%
  MX: nivelar.uy                        1   0.28%
  MX: glasstek.uy                       1   0.28%
  MX: mallasmetalicas.uy                1   0.28%

[NS 提供商] SECURITYSERVICES，域名数 355
  MX: SECURITYSERVICES                250  70.42%
  MX: NAMECHEAP-NET                    49  13.80%
  MX: GOOGLE                            8   2.25%
  MX: Safenames Ltd.                    6   1.69%
  MX: hostedemail.com                   4   1.13%

[NS 提供商] GOOGLE，域名数 310
  MX: GOOGLE                          228  73.55%
  MX: ZOHO-AS                          18   5.81%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      11   3.55%
  MX: GOOGLE-CLOUD-PLATFORM             3   0.97%
  MX: NAMECHEAP-NET                     2   0.65%

[NS 提供商] HOSTING EN LA WEB S.A.S.，域名数 245
  MX: GOOGLE                           15   6.12%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       6   2.45%
  MX: mge.uy                            1   0.41%
  MX: revol.uy                          1   0.41%
  MX: eccoverd.uy                       1   0.41%

[NS 提供商] Administracion Nacional de Telecomunicaciones，域名数 218
  MX: GOOGLE                           11   5.05%
  MX: com.uy                            3   1.38%
  MX: zonam.uy                          1   0.46%
  MX: elsue.uy                          1   0.46%
  MX: dinamichosting.com                1   0.46%

[NS 提供商] NETWORK-SOLUTIONS-HOSTING，域名数 198
  MX: GOOGLE                           17   8.59%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2   1.01%
  MX: ruralwifi.uy                      1   0.51%
  MX: hma.uy                            1   0.51%
  MX: bahia.uy                          1   0.51%

[NS 提供商] Hetzner Online GmbH，域名数 180
  MX: GOOGLE                            7   3.89%
  MX: ZOHO-AS                           2   1.11%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK       2   1.11%
  MX: compralo.uy                       1   0.56%
  MX: optimize.uy                       1   0.56%

[NS 提供商] hostgator.com，域名数 160
  MX: GOOGLE                           17  10.62%
  MX: cattaneo.uy                       1   0.62%
  MX: machin.uy                         1   0.62%
  MX: crepas.uy                         1   0.62%
  MX: rudastore.uy                      1   0.62%

[NS 提供商] Host Europe GmbH，域名数 158
  MX: GOOGLE                           41  25.95%
  MX: MICROSOFT-CORP-MSN-AS-BLOCK      33  20.89%
  MX: GO-DADDY-COM-LLC                 16  10.13%
  MX: ZOHO-AS                           2   1.27%
  MX: linkstudios.uy                    1   0.63%

[NS 提供商] SERVERCENTRAL，域名数 151
  MX: GOOGLE                            4   2.65%
  MX: ZOHO-AS                           2   1.32%
  MX: inesfly.uy                        1   0.66%
  MX: bilden.uy                         1   0.66%
  MX: federicomartinez.uy               1   0.66%

[NS 提供商] MICROSOFT-CORP-MSN-AS-BLOCK，域名数 143
  MX: MICROSOFT-CORP-MSN-AS-BLOCK     109  76.22%
  MX: ko.com                           12   8.39%
  MX: GOOGLE                            7   4.90%
  MX: unilever.com                      4   2.80%
  MX: GOOGLE-CLOUD-PLATFORM             2   1.40%

