sedoparking.com	localhost	18
OVH SAS	Fastmail Pty Ltd	2
OVH SAS	OVH SAS	149
Scaleway S.a.s.	Scaleway S.a.s.	8
xundns.com	3bcncdn.com	13
CLOUDFLARENET	CLOUDFLARENET	38
china.wf	GOOGLE	1
digicertdns.com	GOOGLE	1
francedns.com	Eurofiber France SAS	1
world4you.at	ubc.wf	1
CLOUDFLARENET	egn.wf	1
CLOUDFLARENET	GOOGLE-CLOUD-PLATFORM	9
siteground.net	mailspamprotection.com	2
register.it	Register S.p.A.	19
NForce Entertainment B.V.	yandex.net	2
O2switch SAS	lionel.wf	1
O2switch SAS	newwweb.wf	1
CLOUDFLARENET	GOOGLE	12
Orange Wallis & Futuna	ac-wf.wf	1
CLOUDFLARENET	101domain.com	4
Infomaniak Network SA	APPLE-ENGINEERING	1
CLOUDFLARENET	hoorn.wf	1
one.com	One.com A/S	62
iwantmyname.net	MICROSOFT-CORP-MSN-AS-BLOCK	1
ui-dns.biz	ionos.fr	2
GANDI SAS	GANDI SAS	46
CLOUDFLARENET	mxrouting.net	2
ab stract ltd	momo.wf	1
Infomaniak Network SA	Infomaniak Network SA	17
CLOUDFLARENET	dynadot.com	1
je-eigen-domein.nl	Hetzner Online GmbH	6
nameshield.net	Nameshield SAS	11
Orange Wallis & Futuna	owf.wf	1
parklogic.com	plingest.com	3
Orange Wallis & Futuna	Orange Wallis & Futuna	12
OVH SAS	Proton AG	4
ipcom GmbH	blancheporte.wf	1
GANDI SAS	zoho.eu	1
CLOUDFLARENET	xmail.wf	1
ipcom GmbH	planet.wf	1
CLOUDFLARENET	audio.wf	1
hostnet.nl	hostnet.nl	1
one.com	GOOGLE	1
SECURITYSERVICES	SECURITYSERVICES	13
1cat.io	1cat.io	1
salles.wf	salles.wf	1
Signet B.V.	transip.email	5
name.pm	cloudns.net	1
O2switch SAS	revo.wf	1
CLOUDFLARENET	nickstel.com	7
Scaleway S.a.s.	sud-ouest2.org	1
superhosting.bg	money.wf	1
OVH SAS	rbt.wf	1
ipcom GmbH	Heinlein-Support GmbH	2
inhostedns.com	mx.services	1
huaweicloud-dns.cn	96.wf	1
Scaleway S.a.s.	Heinlein-Support GmbH	2
GOOGLE-CLOUD-PLATFORM	stackmail.com	3
nic.fr	nic.fr	1
shell.com	frontbridge.com	1
markmonitor.zone	markmonitor.com	1
serverworld.uk	music.wf	1
SEDO GmbH	localhost	21
onlydomains.com	uneatlantico.wf	1
